Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-10,RJ,Itatiaia,1,0,0,32123,3302254,9.8,10,0,10,,,,,,,,,,,,,,,0.0,311.303,0.0,0.0,0.0,311.303
2020-04-11,RJ,Itatiaia,1,0,0,32123,3302254,9.8,10,0,10,,,,,,,,,,,,,,,0.0,311.303,0.0,0.0,0.0,311.303
2020-04-12,RJ,Itatiaia,1,0,0,32123,3302254,9.8,10,0,10,,,,,,,,,,,,,,,0.0,311.303,0.0,0.0,0.0,311.303
2020-04-13,RJ,Itatiaia,1,0,0,32123,3302254,9.8,10,0,10,0.0,,,,,,,,,,,,,,0.0,311.303,0.0,0.0,0.0,311.303
2020-04-14,RJ,Itatiaia,1,0,1,32123,3302254,9.8,10,1,9,0.0,,,,,,,,,,,,,0.0,0.0,311.303,0.0,31.13,31.13,280.173
2020-04-15,RJ,Itatiaia,1,0,5,32123,3302254,9.8,10,5,5,0.0,,,,,,,,,,,,,0.0,0.0,311.303,0.0,155.652,155.652,155.652
2020-04-16,RJ,Itatiaia,1,0,5,32123,3302254,9.8,10,5,5,0.0,,,,,,,,,,,,,0.0,0.0,311.303,0.0,155.652,155.652,155.652
2020-04-17,RJ,Itatiaia,1,0,4,32123,3302254,9.8,10,4,6,0.0,0.6667,,,,,,,,,,,,0.0,0.0,311.303,0.0,124.521,124.521,186.782
2020-04-18,RJ,Itatiaia,1,0,4,32123,3302254,9.8,10,4,6,0.0,0.0,,,,,,,,,,,,0.0,0.0,311.303,0.0,124.521,124.521,186.782
2020-04-19,RJ,Itatiaia,1,0,6,32123,3302254,9.8,10,6,4,1.667,1.0,,,,,,,,,,,,0.0,0.0,311.303,0.0,186.782,186.782,124.521
2020-04-20,RJ,Itatiaia,1,0,5,32123,3302254,9.8,10,5,5,3.167,1.833,,,,,0.1389,,,,,,,0.0,0.0,311.303,0.0,155.652,155.652,155.652
2020-04-21,RJ,Itatiaia,1,0,5,32123,3302254,9.8,10,5,5,3.167,1.833,,,,,,,,,,,,0.0,0.0,311.303,0.0,155.652,155.652,155.652
2020-04-22,RJ,Itatiaia,2,0,11,32123,3302254,9.8,20,11,9,3.167,1.333,,,,-0.02778,-0.11111,,,,,,,0.0,0.0,622.607,0.0,342.434,342.434,280.173
2020-04-23,RJ,Itatiaia,3,0,15,32123,3302254,9.8,29,15,14,3.167,1.5,,,,-0.52778,-0.38889,,,,,,,0.0,0.0,902.78,0.0,466.955,466.955,435.825
2020-04-24,RJ,Itatiaia,3,0,15,32123,3302254,9.8,29,15,14,3.167,1.333,,,,-0.52778,-0.38889,,,,,,,0.0,0.0,902.78,0.0,466.955,466.955,435.825
2020-04-25,RJ,Itatiaia,3,0,14,32123,3302254,9.8,29,14,15,1.5,0.3333,,,,-0.52778,-0.27778,,,,,,,0.0,0.0,902.78,0.0,435.825,435.825,466.955
2020-04-26,RJ,Itatiaia,3,0,14,32123,3302254,9.8,29,14,15,0.0,-0.5,,,,-0.52778,-0.30556,,,,,,,0.0,0.0,902.78,0.0,435.825,435.825,466.955
2020-04-27,RJ,Itatiaia,3,0,13,32123,3302254,9.8,29,13,16,0.0,-0.5,,,,-0.52778,-0.25,,,,,,,0.0,0.0,902.78,0.0,404.694,404.694,498.085
2020-04-28,RJ,Itatiaia,3,0,13,32123,3302254,9.8,29,13,16,0.0,-0.33333,,,,-0.25,-0.08333,,,,,,,0.0,0.0,902.78,0.0,404.694,404.694,498.085
2020-04-29,RJ,Itatiaia,3,0,12,32123,3302254,9.8,29,12,17,0.0,-0.33333,,,,,,,,,,,,0.0,0.0,902.78,0.0,373.564,373.564,529.216
2020-04-30,RJ,Itatiaia,3,0,12,32123,3302254,9.8,29,12,17,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,902.78,0.0,373.564,373.564,529.216
2020-05-01,RJ,Itatiaia,3,0,12,32123,3302254,9.8,29,12,17,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,902.78,0.0,373.564,373.564,529.216
2020-05-02,RJ,Itatiaia,3,0,12,32123,3302254,9.8,29,12,17,0.0,0.0,,,,,,,,,,,,0.0,0.0,902.78,0.0,373.564,373.564,529.216
2020-05-03,RJ,Itatiaia,3,0,12,32123,3302254,9.8,29,12,17,1.667,0.6667,,,,,,,,,,,,0.0,0.0,902.78,0.0,373.564,373.564,529.216
2020-05-04,RJ,Itatiaia,3,0,12,32123,3302254,9.8,29,12,17,1.667,0.6667,,,,,,,,,,,,0.0,0.0,902.78,0.0,373.564,373.564,529.216
2020-05-05,RJ,Itatiaia,3,0,12,32123,3302254,9.8,29,12,17,1.667,0.6667,,,,,,,,,,,,0.0,0.0,902.78,0.0,373.564,373.564,529.216
2020-05-06,RJ,Itatiaia,4,0,16,32123,3302254,9.8,39,16,23,1.667,0.5,,,,1.639,0.6667,,,,,,,0.0,0.0,1214.083,0.0,498.085,498.085,715.998
2020-05-07,RJ,Itatiaia,4,0,16,32123,3302254,9.8,39,16,23,9.833,3.833,,,,1.639,0.6944,,,,,,,0.0,0.0,1214.083,0.0,498.085,498.085,715.998
2020-05-08,RJ,Itatiaia,4,0,16,32123,3302254,9.8,39,16,23,11.5,4.5,,,,1.639,0.6111,,,,-0.68056,,,0.0,0.0,1214.083,0.0,498.085,498.085,715.998
2020-05-09,RJ,Itatiaia,4,0,15,32123,3302254,9.8,39,15,24,11.5,4.667,,,,1.639,0.6667,,,,-0.81944,,,0.0,0.0,1214.083,0.0,466.955,466.955,747.128
2020-05-10,RJ,Itatiaia,9,0,35,32123,3302254,9.8,88,35,53,11.5,4.833,,,,-1.08333,-0.47222,,,,-0.81944,,,0.0,0.0,2739.47,0.0,1089.562,1089.562,1649.908
2020-05-11,RJ,Itatiaia,10,0,39,32123,3302254,9.8,98,39,59,11.5,4.333,,,,-1.63889,-0.66667,,,,-0.81944,,,0.0,0.0,3050.774,0.0,1214.083,1214.083,1836.69
2020-05-12,RJ,Itatiaia,11,0,44,32123,3302254,9.8,108,44,64,11.5,4.5,,,,-1.63889,-0.72222,,,,,,,0.0,0.0,3362.077,0.0,1369.735,1369.735,1992.342
2020-05-13,RJ,Itatiaia,11,0,45,32123,3302254,9.8,108,45,63,3.333,1.0,,,,-1.63889,-0.77778,,,,,,,0.0,0.0,3362.077,0.0,1400.865,1400.865,1961.212
2020-05-14,RJ,Itatiaia,11,0,42,32123,3302254,9.8,108,42,66,1.667,0.5,,,,-3.0,-1.11111,,,,,,,0.0,0.0,3362.077,0.0,1307.474,1307.474,2054.603
2020-05-15,RJ,Itatiaia,11,0,42,32123,3302254,9.8,108,42,66,1.667,0.3333,,,,-3.0,-1.13889,,,,,,,0.0,0.0,3362.077,0.0,1307.474,1307.474,2054.603
2020-05-16,RJ,Itatiaia,11,0,41,32123,3302254,9.8,108,41,67,1.667,0.1667,,,,-1.63889,-0.52778,,,,,,,0.0,0.0,3362.077,0.0,1276.344,1276.344,2085.733
2020-05-17,RJ,Itatiaia,11,0,42,32123,3302254,9.8,108,42,66,-6.5,-2.33333,,,,-1.36111,-0.47222,,,,,,,0.0,0.0,3362.077,0.0,1307.474,1307.474,2054.603
2020-05-18,RJ,Itatiaia,12,0,46,32123,3302254,9.8,118,46,72,-6.5,-2.33333,,,,-1.63889,-0.55556,,,,,,,0.0,0.0,3673.38,0.0,1431.996,1431.996,2241.385
2020-05-19,RJ,Itatiaia,12,0,46,32123,3302254,9.8,118,46,72,-6.5,-2.16667,,,,-1.63889,-0.52778,,,,,,,0.0,0.0,3673.38,0.0,1431.996,1431.996,2241.385
2020-05-20,RJ,Itatiaia,7,0,28,32123,3302254,9.8,69,28,41,-6.5,-2.33333,,,,,,,,,,,,0.0,0.0,2147.994,0.0,871.65,871.65,1276.344
2020-05-21,RJ,Itatiaia,7,0,28,32123,3302254,9.8,69,28,41,-8.16667,-3.0,,,,,,,,,,,,0.0,0.0,2147.994,0.0,871.65,871.65,1276.344
2020-05-22,RJ,Itatiaia,7,0,28,32123,3302254,9.8,69,28,41,-8.16667,-3.0,,,,,,,,,,,,0.0,0.0,2147.994,0.0,871.65,871.65,1276.344
2020-05-23,RJ,Itatiaia,7,0,28,32123,3302254,9.8,69,28,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,2147.994,0.0,871.65,871.65,1276.344
2020-05-24,RJ,Itatiaia,7,0,28,32123,3302254,9.8,69,28,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,2147.994,0.0,871.65,871.65,1276.344
2020-05-25,RJ,Itatiaia,7,0,28,32123,3302254,9.8,69,28,41,-1.66667,-0.66667,,,,,,,,,,,,0.0,0.0,2147.994,0.0,871.65,871.65,1276.344
2020-05-26,RJ,Itatiaia,7,0,28,32123,3302254,9.8,69,28,41,-1.66667,-0.66667,,,,,,,,,,,,0.0,0.0,2147.994,0.0,871.65,871.65,1276.344
2020-05-27,RJ,Itatiaia,7,0,28,32123,3302254,9.8,69,28,41,3.167,1.167,,,,,,,,,,,,0.0,0.0,2147.994,0.0,871.65,871.65,1276.344
