Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-28,RJ,Mangaratiba,1,0,0,44913,3302601,9.8,10,0,10,,,,,,,,,,,,,,,0.0,222.653,0.0,0.0,0.0,222.653
2020-03-29,RJ,Mangaratiba,1,0,0,44913,3302601,9.8,10,0,10,,,,,,,,,,,,,,,0.0,222.653,0.0,0.0,0.0,222.653
2020-03-30,RJ,Mangaratiba,1,0,0,44913,3302601,9.8,10,0,10,,,,,,,,,,,,,,,0.0,222.653,0.0,0.0,0.0,222.653
2020-03-31,RJ,Mangaratiba,1,0,0,44913,3302601,9.8,10,0,10,0.0,,,,,,,,,,,,,,0.0,222.653,0.0,0.0,0.0,222.653
2020-04-01,RJ,Mangaratiba,1,0,0,44913,3302601,9.8,10,0,10,1.667,,,,,,,,,,,,,,0.0,222.653,0.0,0.0,0.0,222.653
2020-04-02,RJ,Mangaratiba,1,0,0,44913,3302601,9.8,10,0,10,1.667,,,,,,,,,,,,,,0.0,222.653,0.0,0.0,0.0,222.653
2020-04-03,RJ,Mangaratiba,1,0,0,44913,3302601,9.8,10,0,10,1.667,,,,,,,,,,,,,,0.0,222.653,0.0,0.0,0.0,222.653
2020-04-04,RJ,Mangaratiba,2,0,0,44913,3302601,9.8,20,0,20,1.667,,,,,-0.02778,,,,,,,,,0.0,445.305,0.0,0.0,0.0,445.305
2020-04-05,RJ,Mangaratiba,2,0,0,44913,3302601,9.8,20,0,20,1.667,,,,,-0.02778,,,,,,,,,0.0,445.305,0.0,0.0,0.0,445.305
2020-04-06,RJ,Mangaratiba,2,0,0,44913,3302601,9.8,20,0,20,1.667,,,,,-0.02778,,,,,,,,,0.0,445.305,0.0,0.0,0.0,445.305
2020-04-07,RJ,Mangaratiba,2,0,0,44913,3302601,9.8,20,0,20,1.5,,,,,-0.02778,,,,,,,,,0.0,445.305,0.0,0.0,0.0,445.305
2020-04-08,RJ,Mangaratiba,2,0,0,44913,3302601,9.8,20,0,20,1.5,,,,,0.25,,,,,,,,,0.0,445.305,0.0,0.0,0.0,445.305
2020-04-09,RJ,Mangaratiba,2,0,0,44913,3302601,9.8,20,0,20,1.5,,,,,0.5278,,,,,,,,,0.0,445.305,0.0,0.0,0.0,445.305
2020-04-10,RJ,Mangaratiba,3,1,0,44913,3302601,9.8,29,1,28,1.5,,,,,0.3056,,,,,0.01389,,,1.0,0.03448,645.693,22.265,0.0,22.265,623.428
2020-04-11,RJ,Mangaratiba,3,1,0,44913,3302601,9.8,29,1,28,3.167,,,,,0.3056,,,,,-0.05556,,,1.0,0.03448,645.693,22.265,0.0,22.265,623.428
2020-04-12,RJ,Mangaratiba,3,1,0,44913,3302601,9.8,29,1,28,4.833,,,,,0.3056,,,,,-0.13889,-0.05729,,1.0,0.03448,645.693,22.265,0.0,22.265,623.428
2020-04-13,RJ,Mangaratiba,3,1,0,44913,3302601,9.8,29,1,28,3.333,,0.1667,,,0.3056,,,,,-0.27778,,,1.0,0.03448,645.693,22.265,0.0,22.265,623.428
