Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-14,AL,Monteirópolis,1,0,2,7231,2705408,8.3,8,2,6,,,,,,,,,,,,,,0.0,0.0,1106.348,0.0,276.587,276.587,829.761
2020-05-15,AL,Monteirópolis,1,0,2,7231,2705408,8.3,8,2,6,,,,,,,,,,,,,,0.0,0.0,1106.348,0.0,276.587,276.587,829.761
2020-05-16,AL,Monteirópolis,4,0,9,7231,2705408,8.3,33,9,24,,,,,,,,,,,,,,0.0,0.0,4563.684,0.0,1244.641,1244.641,3319.043
2020-05-17,AL,Monteirópolis,4,0,10,7231,2705408,8.3,33,10,23,4.167,1.333,,,,,,,,,,,,0.0,0.0,4563.684,0.0,1382.935,1382.935,3180.75
2020-05-18,AL,Monteirópolis,4,0,10,7231,2705408,8.3,33,10,23,4.167,1.333,,,,,,,,,,,,0.0,0.0,4563.684,0.0,1382.935,1382.935,3180.75
2020-05-19,AL,Monteirópolis,4,0,10,7231,2705408,8.3,33,10,23,0.0,0.1667,,,,,,,,,,,,0.0,0.0,4563.684,0.0,1382.935,1382.935,3180.75
2020-05-20,AL,Monteirópolis,4,0,10,7231,2705408,8.3,33,10,23,0.0,0.0,,,,,,,,,,,,0.0,0.0,4563.684,0.0,1382.935,1382.935,3180.75
2020-05-21,AL,Monteirópolis,4,0,10,7231,2705408,8.3,33,10,23,0.0,0.0,,,,,,,,,,,,0.0,0.0,4563.684,0.0,1382.935,1382.935,3180.75
2020-05-22,AL,Monteirópolis,4,0,10,7231,2705408,8.3,33,10,23,4.167,2.0,,,,,,,,,,,,0.0,0.0,4563.684,0.0,1382.935,1382.935,3180.75
2020-05-23,AL,Monteirópolis,4,0,10,7231,2705408,8.3,33,10,23,,,,,,,,,,,,,,0.0,0.0,4563.684,0.0,1382.935,1382.935,3180.75
2020-05-24,AL,Monteirópolis,4,0,10,7231,2705408,8.3,33,10,23,,,,,,,,,,,,,,0.0,0.0,4563.684,0.0,1382.935,1382.935,3180.75
2020-05-25,AL,Monteirópolis,7,0,22,7231,2705408,8.3,58,22,36,,,,,,,,,,,,,,0.0,0.0,8021.021,0.0,3042.456,3042.456,4978.565
