Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-15,PA,Muaná,1,0,3,40752,1504901,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,196.309,0.0,73.616,73.616,122.693
2020-04-16,PA,Muaná,1,0,3,40752,1504901,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,196.309,0.0,73.616,73.616,122.693
2020-04-17,PA,Muaná,2,0,5,40752,1504901,8.3,17,5,12,,,,,,,,,,,,,,0.0,0.0,417.157,0.0,122.693,122.693,294.464
2020-04-18,PA,Muaná,2,0,5,40752,1504901,8.3,17,5,12,1.5,0.6667,,,,,,,,,,,,0.0,0.0,417.157,0.0,122.693,122.693,294.464
2020-04-19,PA,Muaná,2,0,7,40752,1504901,8.3,17,7,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,417.157,0.0,171.771,171.771,245.387
2020-04-20,PA,Muaná,2,0,7,40752,1504901,8.3,17,7,10,-1.5,-0.33333,,,,,,,,,,,,0.0,0.0,417.157,0.0,171.771,171.771,245.387
2020-04-21,PA,Muaná,2,0,7,40752,1504901,8.3,17,7,10,-1.5,-0.33333,,,,-0.5,-0.22222,,,,,,,0.0,0.0,417.157,0.0,171.771,171.771,245.387
2020-04-22,PA,Muaná,1,0,3,40752,1504901,8.3,8,3,5,-1.5,-0.66667,,,,,,,,,,,,0.0,0.0,196.309,0.0,73.616,73.616,122.693
2020-04-23,PA,Muaná,1,0,3,40752,1504901,8.3,8,3,5,-1.5,-0.66667,,,,,,,,,,,,0.0,0.0,196.309,0.0,73.616,73.616,122.693
2020-04-24,PA,Muaná,1,0,3,40752,1504901,8.3,8,3,5,-1.5,-0.66667,,,,,,,,,,,,0.0,0.0,196.309,0.0,73.616,73.616,122.693
2020-04-25,PA,Muaná,1,0,3,40752,1504901,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,196.309,0.0,73.616,73.616,122.693
2020-04-26,PA,Muaná,1,0,3,40752,1504901,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,196.309,0.0,73.616,73.616,122.693
2020-04-27,PA,Muaná,1,0,3,40752,1504901,8.3,8,3,5,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,196.309,0.0,73.616,73.616,122.693
2020-04-28,PA,Muaná,1,0,3,40752,1504901,8.3,8,3,5,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,196.309,0.0,73.616,73.616,122.693
2020-04-29,PA,Muaná,1,0,3,40752,1504901,8.3,8,3,5,2.833,0.8333,,,,,,,,,,,,0.0,0.0,196.309,0.0,73.616,73.616,122.693
2020-04-30,PA,Muaná,1,0,2,40752,1504901,8.3,8,2,6,2.833,0.8333,,,,,,,,,,,,0.0,0.0,196.309,0.0,49.077,49.077,147.232
2020-05-01,PA,Muaná,1,0,2,40752,1504901,8.3,8,2,6,4.167,1.167,,,,,,,,,,,,0.0,0.0,196.309,0.0,49.077,49.077,147.232
2020-05-02,PA,Muaná,3,0,8,40752,1504901,8.3,25,8,17,4.167,1.167,,,,0.6667,0.1944,,,,,,,0.0,0.0,613.467,0.0,196.309,196.309,417.157
2020-05-03,PA,Muaná,3,0,8,40752,1504901,8.3,25,8,17,7.0,2.167,,,,0.6667,0.1667,,,,,,,0.0,0.0,613.467,0.0,196.309,196.309,417.157
2020-05-04,PA,Muaná,4,0,10,40752,1504901,8.3,33,10,23,8.333,2.5,,,,0.2222,0.08333,,,,-0.34722,,,0.0,0.0,809.776,0.0,245.387,245.387,564.389
2020-05-05,PA,Muaná,4,0,10,40752,1504901,8.3,33,10,23,6.833,2.0,,,,0.2222,0.08333,,,,-0.45833,,,0.0,0.0,809.776,0.0,245.387,245.387,564.389
2020-05-06,PA,Muaná,6,0,15,40752,1504901,8.3,50,15,35,6.833,1.833,,,,-0.72222,-0.22222,,,,-0.04861,,,0.0,0.0,1226.934,0.0,368.08,368.08,858.854
2020-05-07,PA,Muaná,7,0,17,40752,1504901,8.3,58,17,41,5.5,1.667,,,,-1.16667,-0.33333,,,,-0.04861,,,0.0,0.0,1423.243,0.0,417.157,417.157,1006.086
2020-05-08,PA,Muaná,8,0,20,40752,1504901,8.3,66,20,46,5.5,1.667,,,,0.02778,-0.02778,,,,,,,0.0,0.0,1619.552,0.0,490.773,490.773,1128.779
2020-05-09,PA,Muaná,8,0,19,40752,1504901,8.3,66,19,47,2.667,0.8333,,,,0.02778,0.02778,,,,,,,0.0,0.0,1619.552,0.0,466.235,466.235,1153.318
2020-05-10,PA,Muaná,8,0,20,40752,1504901,8.3,66,20,46,1.333,0.5,,,,1.861,0.5,,,,0.6319,,,0.0,0.0,1619.552,0.0,490.773,490.773,1128.779
2020-05-11,PA,Muaná,8,0,20,40752,1504901,8.3,66,20,46,7.0,1.833,,,,1.861,0.5,,,,,,,0.0,0.0,1619.552,0.0,490.773,490.773,1128.779
2020-05-12,PA,Muaná,8,0,20,40752,1504901,8.3,66,20,46,7.0,2.0,,,,2.556,0.7222,,,,,,,0.0,0.0,1619.552,0.0,490.773,490.773,1128.779
2020-05-13,PA,Muaná,8,0,20,40752,1504901,8.3,66,20,46,16.667,4.667,,,,,,,,,,,,0.0,0.0,1619.552,0.0,490.773,490.773,1128.779
2020-05-14,PA,Muaná,13,0,31,40752,1504901,8.3,108,31,77,16.667,4.667,,,,,,,,,,,,0.0,0.0,2650.177,0.0,760.699,760.699,1889.478
2020-05-15,PA,Muaná,13,0,31,40752,1504901,8.3,108,31,77,18.0,5.167,,,,,,,,,,,,0.0,0.0,2650.177,0.0,760.699,760.699,1889.478
2020-05-16,PA,Muaná,20,0,48,40752,1504901,8.3,166,48,118,,,,,,,,,,,,,,0.0,0.0,4073.42,0.0,1177.856,1177.856,2895.563
2020-05-17,PA,Muaná,20,0,48,40752,1504901,8.3,166,48,118,,,,,,,,,,,,,,0.0,0.0,4073.42,0.0,1177.856,1177.856,2895.563
2020-05-18,PA,Muaná,21,2,51,40752,1504901,8.3,174,53,121,,,,,,,,,,,,,,0.03774,0.01149,4269.729,49.077,1251.472,1300.55,2969.179
2020-05-20,PA,Muaná,40,3,100,40752,1504901,8.3,332,103,229,,,,,,,,,,,,,,0.02913,0.00904,8146.839,73.616,2453.867,2527.483,5619.356
2020-05-21,PA,Muaná,40,3,102,40752,1504901,8.3,332,105,227,,,,,,,,,,,,,,0.02857,0.00904,8146.839,73.616,2502.945,2576.561,5570.279
2020-05-22,PA,Muaná,44,3,112,40752,1504901,8.3,365,115,250,,,,,,,,,,,,,,0.02609,0.00822,8956.616,73.616,2748.331,2821.947,6134.668
2020-05-23,PA,Muaná,44,3,115,40752,1504901,8.3,365,118,247,,,,,,,,,,,,,,0.02542,0.00822,8956.616,73.616,2821.947,2895.563,6061.052
2020-05-24,PA,Muaná,48,3,124,40752,1504901,8.3,398,127,271,,,,,,,,,,,,,,0.02362,0.00754,9766.392,73.616,3042.795,3116.411,6649.98
2020-05-25,PA,Muaná,69,5,219,40752,1504901,8.3,573,224,349,,,,,,,,,,,,,,0.02232,0.00873,14060.66,122.693,5373.969,5496.663,8563.997
