Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-02,BA,Nordestina,1,0,3,13261,2922656,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,603.273,0.0,226.227,226.227,377.045
2020-05-03,BA,Nordestina,1,0,3,13261,2922656,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,603.273,0.0,226.227,226.227,377.045
2020-05-04,BA,Nordestina,1,0,3,13261,2922656,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,603.273,0.0,226.227,226.227,377.045
2020-05-05,BA,Nordestina,1,0,3,13261,2922656,8.3,8,3,5,1.5,0.6667,,,,,,,,,,,,0.0,0.0,603.273,0.0,226.227,226.227,377.045
2020-05-06,BA,Nordestina,2,0,7,13261,2922656,8.3,17,7,10,1.5,0.6667,,,,,,,,,,,,0.0,0.0,1281.955,0.0,527.864,527.864,754.091
2020-05-07,BA,Nordestina,2,0,7,13261,2922656,8.3,17,7,10,1.5,0.6667,,,,,,,,,,,,0.0,0.0,1281.955,0.0,527.864,527.864,754.091
2020-05-08,BA,Nordestina,2,0,7,13261,2922656,8.3,17,7,10,1.5,0.6667,,,,-0.25,-0.11111,,,,,,,0.0,0.0,1281.955,0.0,527.864,527.864,754.091
2020-05-09,BA,Nordestina,2,0,7,13261,2922656,8.3,17,7,10,0.0,0.0,,,,-0.25,-0.11111,,,,,,,0.0,0.0,1281.955,0.0,527.864,527.864,754.091
2020-05-10,BA,Nordestina,2,0,7,13261,2922656,8.3,17,7,10,0.0,0.0,,,,-0.25,-0.11111,,,,,,,0.0,0.0,1281.955,0.0,527.864,527.864,754.091
2020-05-11,BA,Nordestina,2,0,7,13261,2922656,8.3,17,7,10,0.0,0.0,,,,-0.25,-0.11111,,,,,,,0.0,0.0,1281.955,0.0,527.864,527.864,754.091
2020-05-12,BA,Nordestina,2,0,7,13261,2922656,8.3,17,7,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,1281.955,0.0,527.864,527.864,754.091
2020-05-13,BA,Nordestina,2,0,7,13261,2922656,8.3,17,7,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,1281.955,0.0,527.864,527.864,754.091
2020-05-14,BA,Nordestina,2,0,7,13261,2922656,8.3,17,7,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,1281.955,0.0,527.864,527.864,754.091
2020-05-15,BA,Nordestina,2,0,7,13261,2922656,8.3,17,7,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,1281.955,0.0,527.864,527.864,754.091
2020-05-16,BA,Nordestina,2,0,7,13261,2922656,8.3,17,7,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,1281.955,0.0,527.864,527.864,754.091
