Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-20,SC,Pomerode,1,0,0,33781,4213203,0,1,,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-03-21,SC,Pomerode,1,0,0,33781,4213203,0,1,,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-03-22,SC,Pomerode,1,0,0,33781,4213203,0,1,,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-03-23,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-03-24,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-03-25,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-03-26,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-03-27,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-03-28,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-03-29,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-03-30,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-03-31,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-04-01,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-04-02,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-04-03,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-04-04,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-04-05,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-04-06,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-04-07,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-04-08,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
2020-04-09,SC,Pomerode,1,0,0,33781,4213203,0,1,0.0,,,,,,,,,,,,,,0.0,29.602,0.0,0.0,0.0,29.602
