Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-15,SP,Pratânia,2,0,8,5314,3541059,11.9,24,8,16,,,,,,,,,,,,,,0.0,0.0,4516.372,0.0,1505.457,1505.457,3010.915
2020-04-16,SP,Pratânia,2,0,8,5314,3541059,11.9,24,8,16,,,,,,,,,,,,,,0.0,0.0,4516.372,0.0,1505.457,1505.457,3010.915
2020-04-17,SP,Pratânia,2,0,7,5314,3541059,11.9,24,7,17,,,,,,,,,,,,,,0.0,0.0,4516.372,0.0,1317.275,1317.275,3199.097
2020-04-18,SP,Pratânia,2,0,7,5314,3541059,11.9,24,7,17,0.0,0.1667,,,,,,,,,,,,0.0,0.0,4516.372,0.0,1317.275,1317.275,3199.097
2020-04-19,SP,Pratânia,2,0,10,5314,3541059,11.9,24,10,14,0.0,0.3333,,,,,,,,,,,,0.0,0.0,4516.372,0.0,1881.822,1881.822,2634.55
2020-04-20,SP,Pratânia,2,0,10,5314,3541059,11.9,24,10,14,0.0,0.3333,,,,,,,,,,,,0.0,0.0,4516.372,0.0,1881.822,1881.822,2634.55
2020-04-21,SP,Pratânia,2,0,9,5314,3541059,11.9,24,9,15,0.0,0.3333,,,,,-0.05556,,,,,,,0.0,0.0,4516.372,0.0,1693.639,1693.639,2822.732
2020-04-22,SP,Pratânia,2,0,10,5314,3541059,11.9,24,10,14,0.0,-0.16667,,,,,-0.11111,,,,,,,0.0,0.0,4516.372,0.0,1881.822,1881.822,2634.55
2020-04-23,SP,Pratânia,2,0,9,5314,3541059,11.9,24,9,15,0.0,-0.16667,,,,,-0.08333,,,,,,,0.0,0.0,4516.372,0.0,1693.639,1693.639,2822.732
2020-04-24,SP,Pratânia,2,0,9,5314,3541059,11.9,24,9,15,0.0,-0.16667,,,,,-0.11111,,,,,,,0.0,0.0,4516.372,0.0,1693.639,1693.639,2822.732
2020-04-25,SP,Pratânia,2,0,9,5314,3541059,11.9,24,9,15,0.0,-0.33333,,,,,,,,,,,,0.0,0.0,4516.372,0.0,1693.639,1693.639,2822.732
