Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-14,PA,Santa Bárbara do Pará,1,0,0,21290,1506351,14.03,14,0,14,,,,,,,,,,,,,,,0.0,657.586,0.0,0.0,0.0,657.586
2020-04-15,PA,Santa Bárbara do Pará,2,0,1,21290,1506351,14.03,28,1,27,,,,,,,,,,,,,,0.0,0.0,1315.171,0.0,46.97,46.97,1268.201
2020-04-16,PA,Santa Bárbara do Pará,2,0,1,21290,1506351,14.03,28,1,27,,,,,,,,,,,,,,0.0,0.0,1315.171,0.0,46.97,46.97,1268.201
2020-04-17,PA,Santa Bárbara do Pará,2,0,1,21290,1506351,14.03,28,1,27,2.333,,,,,,,,,,,,,0.0,0.0,1315.171,0.0,46.97,46.97,1268.201
2020-04-18,PA,Santa Bárbara do Pará,2,0,1,21290,1506351,14.03,28,1,27,4.667,0.1667,,,,,,,,,,,,0.0,0.0,1315.171,0.0,46.97,46.97,1268.201
2020-04-19,PA,Santa Bárbara do Pará,2,0,1,21290,1506351,14.03,28,1,27,11.667,0.5,,,,,,,,,,,,0.0,0.0,1315.171,0.0,46.97,46.97,1268.201
2020-04-20,PA,Santa Bárbara do Pará,2,0,1,21290,1506351,14.03,28,1,27,11.667,0.5,,,,1.556,,,,,,,,0.0,0.0,1315.171,0.0,46.97,46.97,1268.201
2020-04-21,PA,Santa Bárbara do Pará,4,0,2,21290,1506351,14.03,56,2,54,11.667,0.5,,,,0.3889,0.0,,,,,,,0.0,0.0,2630.343,0.0,93.941,93.941,2536.402
2020-04-22,PA,Santa Bárbara do Pará,7,0,4,21290,1506351,14.03,98,4,94,11.667,0.3333,,,,-1.94444,-0.11111,,,,-0.77778,,,0.0,0.0,4603.1,0.0,187.882,187.882,4415.218
2020-04-23,PA,Santa Bárbara do Pará,7,0,4,21290,1506351,14.03,98,4,94,11.667,0.3333,,,,-1.94444,-0.11111,,,,-0.48611,,,0.0,0.0,4603.1,0.0,187.882,187.882,4415.218
2020-04-24,PA,Santa Bárbara do Pará,7,0,4,21290,1506351,14.03,98,4,94,7.0,0.1667,,,,-1.55556,-0.11111,,,,,,,0.0,0.0,4603.1,0.0,187.882,187.882,4415.218
2020-04-25,PA,Santa Bárbara do Pará,7,0,3,21290,1506351,14.03,98,3,95,0.0,-0.16667,,,,-1.55556,-0.05556,,,,,,,0.0,0.0,4603.1,0.0,140.911,140.911,4462.189
