Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-03,MA,Santa Helena,4,0,2,42551,2109809,2,2,,,,,,,,,,,,,,0.0,0.0,94.005,0.0,47.002,47.002,47.002
2020-05-04,MA,Santa Helena,4,0,2,42551,2109809,2,2,,,,,,,,,,,,,,0.0,0.0,94.005,0.0,47.002,47.002,47.002
2020-05-05,MA,Santa Helena,4,0,2,42551,2109809,2,2,,,,,,,,,,,,,,0.0,0.0,94.005,0.0,47.002,47.002,47.002
2020-05-06,MA,Santa Helena,4,0,2,42551,2109809,2,2,5.5,2.167,,,,,,,,,,,,0.0,0.0,94.005,0.0,47.002,47.002,47.002
2020-05-07,MA,Santa Helena,20,0,8,42551,2109809,8,12,5.5,2.167,,,,,,,,,,,,0.0,0.0,470.024,0.0,188.01,188.01,282.015
2020-05-08,MA,Santa Helena,19,0,8,42551,2109809,8,11,5.5,2.167,,,,,,,,,,,,0.0,0.0,446.523,0.0,188.01,188.01,258.513
2020-05-09,MA,Santa Helena,37,0,15,42551,2109809,15,22,5.167,2.0,,,,-0.66667,-0.27778,,,,,,,0.0,0.0,869.545,0.0,352.518,352.518,517.027
2020-05-10,MA,Santa Helena,37,0,15,42551,2109809,15,22,4.167,1.833,,,,-0.66667,-0.27778,,,,,,,0.0,0.0,869.545,0.0,352.518,352.518,517.027
2020-05-11,MA,Santa Helena,37,0,15,42551,2109809,15,22,4.5,1.667,,,,-0.66667,-0.27778,,,,,,,0.0,0.0,869.545,0.0,352.518,352.518,517.027
2020-05-12,MA,Santa Helena,35,0,14,42551,2109809,14,21,1.5,0.5,,,,1.778,0.6944,,,,,,,0.0,0.0,822.542,0.0,329.017,329.017,493.525
2020-05-13,MA,Santa Helena,45,0,19,42551,2109809,19,26,1.5,0.5,,,,1.667,0.5833,,,,,,,0.0,0.0,1057.554,0.0,446.523,446.523,611.031
2020-05-14,MA,Santa Helena,46,0,18,42551,2109809,18,28,1.5,0.5,,,,1.583,0.6667,,,,0.07639,,,0.0,0.0,1081.056,0.0,423.022,423.022,658.034
2020-05-15,MA,Santa Helena,46,0,18,42551,2109809,18,28,15.833,6.167,,,,2.083,0.8889,,,,,,,0.0,0.0,1081.056,0.0,423.022,423.022,658.034
2020-05-16,MA,Santa Helena,46,0,18,42551,2109809,18,28,14.167,5.333,,,,2.083,0.8889,,,,,,,0.0,0.0,1081.056,0.0,423.022,423.022,658.034
2020-05-17,MA,Santa Helena,46,0,18,42551,2109809,18,28,14.0,5.667,,,,,,,,,,,,0.0,0.0,1081.056,0.0,423.022,423.022,658.034
2020-05-18,MA,Santa Helena,130,0,51,42551,2109809,51,79,14.0,5.833,,,,,,,,,,,,0.0,0.0,3055.157,0.0,1198.562,1198.562,1856.596
2020-05-19,MA,Santa Helena,130,0,51,42551,2109809,51,79,14.0,5.833,,,,,,,,,,,,0.0,0.0,3055.157,0.0,1198.562,1198.562,1856.596
2020-05-20,MA,Santa Helena,130,0,52,42551,2109809,52,78,,,,,,,,,,,,,,0.0,0.0,3055.157,0.0,1222.063,1222.063,1833.094
2020-05-21,MA,Santa Helena,130,0,53,42551,2109809,53,77,,,,,,,,,,,,,,0.0,0.0,3055.157,0.0,1245.564,1245.564,1809.593
2020-05-22,MA,Santa Helena,130,0,53,42551,2109809,53,77,,,,,,,,,,,,,,0.0,0.0,3055.157,0.0,1245.564,1245.564,1809.593
2020-04-29,PB,Santa Helena,1,0,0,5948,2513307,0,1,,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-04-30,PB,Santa Helena,1,0,0,5948,2513307,0,1,,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-01,PB,Santa Helena,1,0,0,5948,2513307,0,1,,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-02,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-03,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-04,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-05,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-06,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-07,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-08,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-09,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-10,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-11,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-12,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-13,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-14,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-15,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-16,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-17,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-18,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-19,PB,Santa Helena,1,0,0,5948,2513307,0,1,0.0,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-20,PB,Santa Helena,1,0,0,5948,2513307,0,1,,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-21,PB,Santa Helena,1,0,0,5948,2513307,0,1,,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-05-22,PB,Santa Helena,1,0,0,5948,2513307,0,1,,,,,,,,,,,,,,,0.0,168.124,0.0,0.0,0.0,168.124
2020-04-28,SC,Santa Helena,1,0,0,2245,4215554,0,1,,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-04-29,SC,Santa Helena,1,0,0,2245,4215554,0,1,,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-04-30,SC,Santa Helena,1,0,0,2245,4215554,0,1,,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-01,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-02,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-03,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-04,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-05,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-06,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-07,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-08,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-09,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-10,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-11,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
2020-05-12,SC,Santa Helena,1,0,0,2245,4215554,0,1,0.0,,,,,,,,,,,,,,0.0,445.434,0.0,0.0,0.0,445.434
