Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-05,AP,Santana,2,0,0,122578,1600600,8.3,17,0,17,,,,,,,,,,,,,,,0.0,138.687,0.0,0.0,0.0,138.687
2020-04-06,AP,Santana,3,1,0,122578,1600600,8.3,25,1,24,,,,,,,,,,,,,,1.0,0.04,203.952,8.158,0.0,8.158,195.794
2020-04-07,AP,Santana,3,1,0,122578,1600600,8.3,25,1,24,,,,,,,,,,,,,,1.0,0.04,203.952,8.158,0.0,8.158,195.794
2020-04-08,AP,Santana,11,1,1,122578,1600600,8.3,91,2,89,26.167,,,,,,,,,,,,,0.5,0.01099,742.384,8.158,8.158,16.316,726.068
2020-04-09,AP,Santana,12,1,1,122578,1600600,8.3,100,2,98,38.667,,0.1667,,,,,,,,,,,0.5,0.01,815.807,8.158,8.158,16.316,799.491
2020-04-10,AP,Santana,19,1,1,122578,1600600,8.3,158,2,156,38.667,,0.1667,,,,,,,,,,,0.5,0.00633,1288.975,8.158,8.158,16.316,1272.659
2020-04-11,AP,Santana,21,2,1,122578,1600600,8.3,174,3,171,41.5,4.667,0.1667,4.833,36.667,2.556,,,,,,,,0.6667,0.01149,1419.504,16.316,8.158,24.474,1395.03
2020-04-12,AP,Santana,31,2,1,122578,1600600,8.3,257,3,254,42.833,20.833,0.1667,21.0,21.833,0.25,,-0.02778,,,,,,0.6667,0.00778,2096.624,16.316,8.158,24.474,2072.15
2020-04-13,AP,Santana,31,2,1,122578,1600600,8.3,257,3,254,40.0,21.667,0.1667,21.833,18.167,0.25,,-0.02778,,,-1.38889,,,0.6667,0.00778,2096.624,16.316,8.158,24.474,2072.15
2020-04-14,AP,Santana,41,2,29,122578,1600600,8.3,340,31,309,41.5,21.0,0.0,21.0,20.5,-2.52778,3.972,-0.02778,3.944,-6.47222,-0.97917,,,0.06452,0.00588,2773.744,16.316,236.584,252.9,2520.844
2020-04-15,AP,Santana,43,2,126,122578,1600600,8.3,357,128,229,40.167,23.0,0.0,23.0,17.167,-3.0,-1.47222,-0.02778,-1.5,-1.5,-0.75,,,0.01562,0.0056,2912.431,16.316,1027.917,1044.233,1868.198
2020-04-16,AP,Santana,48,2,131,122578,1600600,8.3,398,133,265,40.167,34.5,0.0,34.5,5.667,-3.66667,-1.5,-0.02778,-1.52778,-2.13889,,,,0.01504,0.00503,3246.912,16.316,1068.707,1085.023,2161.889
2020-04-17,AP,Santana,51,2,127,122578,1600600,8.3,423,129,294,26.333,28.5,0.0,28.5,-2.16667,-2.75,-0.75,,,,,,,0.0155,0.00473,3450.864,16.316,1036.075,1052.391,2398.473
2020-04-18,AP,Santana,60,2,139,122578,1600600,8.3,498,141,357,24.833,12.0,0.0,12.0,12.833,0.6944,0.3889,,,,,,,0.01418,0.00402,4062.719,16.316,1133.972,1150.288,2912.431
2020-04-19,AP,Santana,60,2,208,122578,1600600,8.3,498,210,288,18.0,12.667,0.0,12.667,5.333,3.222,-2.83333,,,,,,,0.00952,0.00402,4062.719,16.316,1696.879,1713.195,2349.524
2020-04-20,AP,Santana,60,2,200,122578,1600600,8.3,498,202,296,25.0,16.5,0.0,16.5,8.5,8.75,-0.69444,,,,2.306,,,0.0099,0.00402,4062.719,16.316,1631.614,1647.93,2414.789
2020-04-21,AP,Santana,61,2,198,122578,1600600,8.3,506,200,306,44.333,25.333,0.0,25.333,19.0,8.778,1.861,,,,1.382,,,0.01,0.00395,4127.984,16.316,1615.298,1631.614,2496.37
2020-04-22,AP,Santana,61,2,207,122578,1600600,8.3,506,209,297,59.5,17.5,0.3333,17.833,41.667,9.917,1.028,,,,-1.90278,-1.52778,,0.00957,0.00395,4127.984,16.316,1688.721,1705.037,2422.947
2020-04-23,AP,Santana,69,2,226,122578,1600600,8.3,573,228,345,78.833,24.333,0.3333,24.667,54.167,8.75,0.1667,,,,-2.65972,-0.20139,,0.00877,0.00349,4674.575,16.316,1843.724,1860.04,2814.534
2020-04-24,AP,Santana,92,2,291,122578,1600600,8.3,764,293,471,77.5,23.167,0.3333,23.5,54.0,1.139,-3.22222,,,,-3.80556,,,0.00683,0.00262,6232.766,16.316,2373.999,2390.315,3842.451
2020-04-25,AP,Santana,103,4,313,122578,1600600,8.3,855,317,538,77.5,18.833,0.3333,19.167,58.333,-1.86111,-1.83333,-0.02778,-1.86111,0.0,0.5764,,,0.01262,0.00468,6975.151,32.632,2553.476,2586.108,4389.042
2020-04-26,AP,Santana,117,4,346,122578,1600600,8.3,971,350,621,77.5,17.5,0.3333,17.833,59.667,-5.30556,-2.75,-0.02778,-2.77778,-2.52778,5.021,,,0.01143,0.00412,7921.487,32.632,2822.692,2855.325,5066.162
2020-04-27,AP,Santana,117,4,337,122578,1600600,8.3,971,341,630,51.167,6.0,0.3333,6.333,44.833,11.056,2.75,0.02778,2.778,8.278,,1.674,,0.01173,0.00412,7921.487,32.632,2749.27,2781.902,5139.585
2020-04-28,AP,Santana,117,4,320,122578,1600600,8.3,971,324,647,48.333,6.5,0.1667,6.667,41.667,21.222,7.139,0.05556,7.194,14.028,,-0.23264,,0.01235,0.00412,7921.487,32.632,2610.583,2643.215,5278.272
2020-04-29,AP,Santana,125,4,331,122578,1600600,8.3,1038,335,703,47.0,7.833,0.1667,8.0,39.0,31.111,10.333,0.08333,10.417,20.694,7.271,,-1.89627,0.01194,0.00385,8468.077,32.632,2700.321,2732.954,5735.124
2020-04-30,AP,Santana,129,4,327,122578,1600600,8.3,1071,331,740,143.833,39.667,0.5,40.167,103.667,37.806,12.75,0.08333,12.833,24.972,4.09,,,0.01208,0.00373,8737.294,32.632,2667.689,2700.321,6036.972
2020-05-01,AP,Santana,138,5,352,122578,1600600,8.3,1145,357,788,204.833,61.667,0.6667,62.333,142.5,40.139,13.222,0.08333,13.306,26.833,-3.73611,-5.91146,,0.01401,0.00437,9340.991,40.79,2871.641,2912.431,6428.56
