Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-01,PA,Santarém Novo,2,0,1,6776,1506906,14.03,28,1,27,,,,,,,,,,,,,,0.0,0.0,4132.231,0.0,147.58,147.58,3984.652
2020-05-02,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,,,,,,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-03,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,,,,,,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-04,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,,,,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-05,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-06,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-07,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-08,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-09,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-10,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-11,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-12,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-13,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-14,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-15,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-16,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,,,,,,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-17,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,,,,,,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-18,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,,,,,,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-20,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,,,,,,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-21,PA,Santarém Novo,2,1,1,6776,1506906,14.03,28,2,26,,,,,,,,,,,,,,0.5,0.03571,4132.231,147.58,147.58,295.159,3837.072
2020-05-22,PA,Santarém Novo,3,1,1,6776,1506906,14.03,42,2,40,,,,,,,,,,,,,,0.5,0.02381,6198.347,147.58,147.58,295.159,5903.188
2020-05-23,PA,Santarém Novo,3,1,1,6776,1506906,14.03,42,2,40,,,,,,,,,,,,,,0.5,0.02381,6198.347,147.58,147.58,295.159,5903.188
2020-05-24,PA,Santarém Novo,3,1,1,6776,1506906,14.03,42,2,40,,,,,,,,,,,,,,0.5,0.02381,6198.347,147.58,147.58,295.159,5903.188
