Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-03,RN,Santo Antônio,1,0,0,24377,2411502,14.03,14,0,14,,,,,,,,,,,,,,,0.0,574.312,0.0,0.0,0.0,574.312
2020-04-05,RN,Santo Antônio,1,0,0,24377,2411502,14.03,14,0,14,,,,,,,,,,,,,,,0.0,574.312,0.0,0.0,0.0,574.312
2020-04-07,RN,Santo Antônio,1,0,0,24377,2411502,14.03,14,0,14,,,,,,,,,,,,,,,0.0,574.312,0.0,0.0,0.0,574.312
2020-04-08,RN,Santo Antônio,1,0,0,24377,2411502,14.03,14,0,14,,,,,,,,,,,,,,,0.0,574.312,0.0,0.0,0.0,574.312
2020-04-10,RN,Santo Antônio,1,0,0,24377,2411502,14.03,14,0,14,,,,,,,,,,,,,,,0.0,574.312,0.0,0.0,0.0,574.312
2020-04-11,RN,Santo Antônio,1,0,0,24377,2411502,14.03,14,0,14,,,,,,,,,,,,,,,0.0,574.312,0.0,0.0,0.0,574.312
2020-04-12,RN,Santo Antônio,2,0,0,24377,2411502,14.03,28,0,28,,,,,,,,,,,,,,,0.0,1148.624,0.0,0.0,0.0,1148.624
2020-04-13,RN,Santo Antônio,3,0,0,24377,2411502,14.03,42,0,42,7.0,,,,,,,,,,,,,,0.0,1722.936,0.0,0.0,0.0,1722.936
2020-04-14,RN,Santo Antônio,3,0,0,24377,2411502,14.03,42,0,42,7.0,,,,,,,,,,,,,,0.0,1722.936,0.0,0.0,0.0,1722.936
2020-04-15,RN,Santo Antônio,3,0,1,24377,2411502,14.03,42,1,41,7.0,,,,,,,,,,,,,0.0,0.0,1722.936,0.0,41.022,41.022,1681.913
2020-04-16,RN,Santo Antônio,4,0,2,24377,2411502,14.03,56,2,54,4.667,,,,,-0.38889,,,,,,,,0.0,0.0,2297.247,0.0,82.045,82.045,2215.203
2020-04-17,RN,Santo Antônio,4,0,2,24377,2411502,14.03,56,2,54,4.667,,,,,-0.38889,,,,,,,,0.0,0.0,2297.247,0.0,82.045,82.045,2215.203
2020-04-18,RN,Santo Antônio,5,0,2,24377,2411502,14.03,70,2,68,4.667,0.3333,,,,-0.77778,,,,,,,,0.0,0.0,2871.559,0.0,82.045,82.045,2789.515
2020-04-19,RN,Santo Antônio,5,0,3,24377,2411502,14.03,70,3,67,4.667,0.1667,,,,-0.38889,,,,,,,,0.0,0.0,2871.559,0.0,123.067,123.067,2748.492
2020-04-20,RN,Santo Antônio,5,0,3,24377,2411502,14.03,70,3,67,4.667,0.1667,,,,-0.38889,,,,,,,,0.0,0.0,2871.559,0.0,123.067,123.067,2748.492
2020-04-21,RN,Santo Antônio,5,0,3,24377,2411502,14.03,70,3,67,2.333,0.1667,,,,-0.38889,-0.05556,,,,,,,0.0,0.0,2871.559,0.0,123.067,123.067,2748.492
2020-04-22,RN,Santo Antônio,6,0,3,24377,2411502,14.03,84,3,81,2.333,0.0,,,,0.0,0.0,,,,,,,0.0,0.0,3445.871,0.0,123.067,123.067,3322.804
2020-04-23,RN,Santo Antônio,6,0,3,24377,2411502,14.03,84,3,81,2.333,0.0,,,,0.0,-0.02778,,,,,,,0.0,0.0,3445.871,0.0,123.067,123.067,3322.804
2020-04-24,RN,Santo Antônio,6,0,3,24377,2411502,14.03,84,3,81,2.333,0.0,,,,0.7778,0.0,,,,,,,0.0,0.0,3445.871,0.0,123.067,123.067,3322.804
2020-04-25,RN,Santo Antônio,6,0,3,24377,2411502,14.03,84,3,81,4.667,0.1667,,,,0.7778,,,,,,,,0.0,0.0,3445.871,0.0,123.067,123.067,3322.804
2020-04-26,RN,Santo Antônio,6,0,3,24377,2411502,14.03,84,3,81,4.667,0.0,,,,0.7778,,,,,-0.29167,,,0.0,0.0,3445.871,0.0,123.067,123.067,3322.804
2020-04-27,RN,Santo Antônio,6,0,3,24377,2411502,14.03,84,3,81,7.0,0.1667,,,,0.7778,,,,,-0.19444,,,0.0,0.0,3445.871,0.0,123.067,123.067,3322.804
