Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-19,AC,Senador Guiomard,2,0,10,23254,1200450,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,731.057,0.0,430.034,430.034,301.023
2020-04-20,AC,Senador Guiomard,2,0,9,23254,1200450,8.3,17,9,8,,,,,,,,,,,,,,0.0,0.0,731.057,0.0,387.03,387.03,344.027
2020-04-21,AC,Senador Guiomard,2,0,9,23254,1200450,8.3,17,9,8,,,,,,,,,,,,,,0.0,0.0,731.057,0.0,387.03,387.03,344.027
2020-04-22,AC,Senador Guiomard,2,0,9,23254,1200450,8.3,17,9,8,0.0,-0.33333,,,,,,,,,,,,0.0,0.0,731.057,0.0,387.03,387.03,344.027
2020-04-23,AC,Senador Guiomard,2,0,9,23254,1200450,8.3,17,9,8,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,731.057,0.0,387.03,387.03,344.027
2020-04-24,AC,Senador Guiomard,2,0,9,23254,1200450,8.3,17,9,8,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,731.057,0.0,387.03,387.03,344.027
2020-04-25,AC,Senador Guiomard,2,0,8,23254,1200450,8.3,17,8,9,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,731.057,0.0,344.027,344.027,387.03
2020-04-26,AC,Senador Guiomard,2,0,8,23254,1200450,8.3,17,8,9,1.333,0.3333,,,,,,,,,,,,0.0,0.0,731.057,0.0,344.027,344.027,387.03
2020-04-27,AC,Senador Guiomard,2,0,8,23254,1200450,8.3,17,8,9,1.333,0.1667,,,,,,,,,,,,0.0,0.0,731.057,0.0,344.027,344.027,387.03
2020-04-28,AC,Senador Guiomard,2,0,8,23254,1200450,8.3,17,8,9,2.667,1.0,,,,,,,,,,,,0.0,0.0,731.057,0.0,344.027,344.027,387.03
2020-04-29,AC,Senador Guiomard,3,0,11,23254,1200450,8.3,25,11,14,2.667,1.0,,,,1.611,0.6944,,,,,,,0.0,0.0,1075.084,0.0,473.037,473.037,602.047
2020-04-30,AC,Senador Guiomard,3,0,10,23254,1200450,8.3,25,10,15,5.5,2.167,,,,1.861,0.8333,,,,,,,0.0,0.0,1075.084,0.0,430.034,430.034,645.05
2020-05-01,AC,Senador Guiomard,4,0,14,23254,1200450,8.3,33,14,19,11.0,4.5,,,,1.167,0.4722,,,,-0.11111,,,0.0,0.0,1419.111,0.0,602.047,602.047,817.064
2020-05-02,AC,Senador Guiomard,4,0,14,23254,1200450,8.3,33,14,19,11.0,4.5,,,,2.111,0.8333,,,,0.1111,,,0.0,0.0,1419.111,0.0,602.047,602.047,817.064
2020-05-03,AC,Senador Guiomard,6,0,21,23254,1200450,8.3,50,21,29,12.5,5.167,,,,1.167,0.4167,,,,0.2917,,,0.0,0.0,2150.168,0.0,903.07,903.07,1247.097
2020-05-04,AC,Senador Guiomard,10,0,35,23254,1200450,8.3,83,35,48,9.667,3.833,,,,2.306,0.8611,,,,0.6181,0.05729,,0.0,0.0,3569.278,0.0,1505.117,1505.117,2064.161
2020-05-05,AC,Senador Guiomard,11,0,38,23254,1200450,8.3,91,38,53,15.333,6.0,,,,2.333,0.8611,,,,1.035,-0.0191,,0.0,0.0,3913.305,0.0,1634.127,1634.127,2279.178
2020-05-06,AC,Senador Guiomard,12,0,41,23254,1200450,8.3,100,41,59,12.5,4.667,,,,4.583,1.861,,,,0.3403,-0.53993,-0.17882,0.0,0.0,4300.335,0.0,1763.138,1763.138,2537.198
2020-05-07,AC,Senador Guiomard,11,0,37,23254,1200450,8.3,91,37,54,24.833,9.667,,,,5.306,2.222,,,,0.2153,-0.67882,,0.0,0.0,3913.305,0.0,1591.124,1591.124,2322.181
