Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-13,SP,Severínia,2,0,7,17671,3551900,11.9,24,7,17,,,,,,,,,,,,,,0.0,0.0,1358.157,0.0,396.129,396.129,962.028
2020-05-14,SP,Severínia,3,0,10,17671,3551900,11.9,36,10,26,,,,,,,,,,,,,,0.0,0.0,2037.236,0.0,565.899,565.899,1471.337
2020-05-15,SP,Severínia,3,0,10,17671,3551900,11.9,36,10,26,,,,,,,,,,,,,,0.0,0.0,2037.236,0.0,565.899,565.899,1471.337
2020-05-16,SP,Severínia,4,0,14,17671,3551900,11.9,48,14,34,6.0,1.833,,,,,,,,,,,,0.0,0.0,2716.315,0.0,792.259,792.259,1924.056
2020-05-17,SP,Severínia,4,0,14,17671,3551900,11.9,48,14,34,4.0,1.333,,,,,,,,,,,,0.0,0.0,2716.315,0.0,792.259,792.259,1924.056
2020-05-18,SP,Severínia,5,0,18,17671,3551900,11.9,60,18,42,7.833,2.667,,,,,,,,,,,,0.0,0.0,3395.394,0.0,1018.618,1018.618,2376.776
2020-05-19,SP,Severínia,5,0,18,17671,3551900,11.9,60,18,42,5.833,1.833,,,,-0.36111,0.08333,,,,,,,0.0,0.0,3395.394,0.0,1018.618,1018.618,2376.776
2020-05-20,SP,Severínia,5,0,18,17671,3551900,11.9,60,18,42,5.833,2.0,,,,,,,,,,,,0.0,0.0,3395.394,0.0,1018.618,1018.618,2376.776
2020-05-21,SP,Severínia,7,0,26,17671,3551900,11.9,83,26,57,3.833,1.333,,,,,,,,,,,,0.0,0.0,4696.961,0.0,1471.337,1471.337,3225.624
2020-05-22,SP,Severínia,7,0,25,17671,3551900,11.9,83,25,58,3.833,2.333,,,,,,,,,,,,0.0,0.0,4696.961,0.0,1414.747,1414.747,3282.214
2020-05-23,SP,Severínia,7,0,26,17671,3551900,11.9,83,26,57,,,,,,,,,,,,,,0.0,0.0,4696.961,0.0,1471.337,1471.337,3225.624
2020-05-24,SP,Severínia,7,0,26,17671,3551900,11.9,83,26,57,,,,,,,,,,,,,,0.0,0.0,4696.961,0.0,1471.337,1471.337,3225.624
2020-05-25,SP,Severínia,7,0,32,17671,3551900,11.9,83,32,51,,,,,,,,,,,,,,0.0,0.0,4696.961,0.0,1810.877,1810.877,2886.085
