Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-28,RN,São José de Mipibu,1,0,0,44338,2412203,8.3,8,0,8,,,,,,,,,,,,,,,0.0,180.432,0.0,0.0,0.0,180.432
2020-03-30,RN,São José de Mipibu,1,0,0,44338,2412203,8.3,8,0,8,,,,,,,,,,,,,,,0.0,180.432,0.0,0.0,0.0,180.432
2020-03-31,RN,São José de Mipibu,1,0,0,44338,2412203,8.3,8,0,8,,,,,,,,,,,,,,,0.0,180.432,0.0,0.0,0.0,180.432
2020-04-01,RN,São José de Mipibu,1,0,0,44338,2412203,8.3,8,0,8,,,,,,,,,,,,,,,0.0,180.432,0.0,0.0,0.0,180.432
2020-04-02,RN,São José de Mipibu,1,0,0,44338,2412203,8.3,8,0,8,,,,,,,,,,,,,,,0.0,180.432,0.0,0.0,0.0,180.432
2020-04-03,RN,São José de Mipibu,1,0,0,44338,2412203,8.3,8,0,8,,,,,,,,,,,,,,,0.0,180.432,0.0,0.0,0.0,180.432
2020-04-05,RN,São José de Mipibu,1,0,0,44338,2412203,8.3,8,0,8,,,,,,,,,,,,,,,0.0,180.432,0.0,0.0,0.0,180.432
2020-04-07,RN,São José de Mipibu,1,0,0,44338,2412203,8.3,8,0,8,,,,,,,,,,,,,,,0.0,180.432,0.0,0.0,0.0,180.432
2020-04-08,RN,São José de Mipibu,1,0,0,44338,2412203,8.3,8,0,8,,,,,,,,,,,,,,,0.0,180.432,0.0,0.0,0.0,180.432
2020-04-10,RN,São José de Mipibu,1,0,0,44338,2412203,8.3,8,0,8,,,,,,,,,,,,,,,0.0,180.432,0.0,0.0,0.0,180.432
2020-04-11,RN,São José de Mipibu,2,0,0,44338,2412203,8.3,17,0,17,,,,,,,,,,,,,,,0.0,383.418,0.0,0.0,0.0,383.418
2020-04-12,RN,São José de Mipibu,0,0,0,44338,2412203,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
