Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-05,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-06,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-07,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-08,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-09,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-10,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-11,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-12,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-13,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-14,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-15,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-16,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-17,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-18,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-19,RJ,São João da Barra,1,0,1,36463,3305000,14.047,14,1,13,0.0,,,,,,,,,,,,,0.0,0.0,383.951,0.0,27.425,27.425,356.526
2020-04-20,RJ,São João da Barra,1,0,1,36463,3305000,14.047,14,1,13,0.0,,,,,,,,,,,,,0.0,0.0,383.951,0.0,27.425,27.425,356.526
2020-04-21,RJ,São João da Barra,1,0,1,36463,3305000,14.047,14,1,13,0.0,,,,,,,,,,,,,0.0,0.0,383.951,0.0,27.425,27.425,356.526
2020-04-22,RJ,São João da Barra,1,0,1,36463,3305000,14.047,14,1,13,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,383.951,0.0,27.425,27.425,356.526
2020-04-23,RJ,São João da Barra,1,0,1,36463,3305000,14.047,14,1,13,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,383.951,0.0,27.425,27.425,356.526
2020-04-24,RJ,São João da Barra,1,0,1,36463,3305000,14.047,14,1,13,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,383.951,0.0,27.425,27.425,356.526
2020-04-25,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,-0.16667,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-26,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,-0.16667,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-27,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,0.0,-0.16667,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
2020-04-28,RJ,São João da Barra,1,0,0,36463,3305000,14.047,14,0,14,32.833,,,,,,,,,,,,,,0.0,383.951,0.0,0.0,0.0,383.951
