Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-30,RJ,São João de Meriti,1,0,0,477130,3305109,9.8,10,0,10,,,,,,,,,,,,,,,0.0,20.959,0.0,0.0,0.0,20.959
2020-03-31,RJ,São João de Meriti,1,0,0,477130,3305109,9.8,10,0,10,,,,,,,,,,,,,,,0.0,20.959,0.0,0.0,0.0,20.959
2020-04-01,RJ,São João de Meriti,2,0,0,477130,3305109,9.8,20,0,20,,,,,,,,,,,,,,,0.0,41.917,0.0,0.0,0.0,41.917
2020-04-02,RJ,São João de Meriti,3,0,0,477130,3305109,9.8,29,0,29,14.667,,,,,,,,,,,,,,0.0,60.78,0.0,0.0,0.0,60.78
2020-04-03,RJ,São João de Meriti,3,1,0,477130,3305109,9.8,29,1,28,14.667,,,,,,,,,,,,,1.0,0.03448,60.78,2.096,0.0,2.096,58.684
2020-04-04,RJ,São João de Meriti,4,1,0,477130,3305109,9.8,39,1,38,16.333,,,,,,,,,,,,,1.0,0.02564,81.739,2.096,0.0,2.096,79.643
2020-04-05,RJ,São João de Meriti,10,1,1,477130,3305109,9.8,98,2,96,23.0,,,,,2.444,,,,,,,,0.5,0.0102,205.395,2.096,2.096,4.192,201.203
2020-04-06,RJ,São João de Meriti,10,1,1,477130,3305109,9.8,98,2,96,32.667,,0.1667,,,4.083,,,,,,,,0.5,0.0102,205.395,2.096,2.096,4.192,201.203
2020-04-07,RJ,São João de Meriti,12,1,1,477130,3305109,9.8,118,2,116,34.333,,0.1667,,,3.806,,,,,1.028,,,0.5,0.00847,247.312,2.096,2.096,4.192,243.12
2020-04-08,RJ,São João de Meriti,17,1,1,477130,3305109,9.8,167,2,165,29.333,0.1667,0.1667,0.3333,29.0,3.778,,,,,0.4722,,,0.5,0.00599,350.009,2.096,2.096,4.192,345.818
2020-04-09,RJ,São João de Meriti,23,2,2,477130,3305109,9.8,225,4,221,39.167,0.3333,0.1667,0.5,38.667,6.556,,0.05556,,,1.097,-0.32639,,0.5,0.00889,471.57,4.192,4.192,8.383,463.186
2020-04-10,RJ,São João de Meriti,25,2,2,477130,3305109,9.8,245,4,241,39.167,0.3333,0.1667,0.5,38.667,5.972,,0.05556,,,0.3542,-0.21875,,0.5,0.00816,513.487,4.192,4.192,8.383,505.103
2020-04-11,RJ,São João de Meriti,28,2,2,477130,3305109,9.8,274,4,270,45.667,8.667,0.3333,9.0,36.667,8.194,8.528,0.05556,8.583,-0.38889,-0.27778,-1.11111,,0.5,0.0073,574.267,4.192,4.192,8.383,565.884
2020-04-12,RJ,São João de Meriti,34,2,3,477130,3305109,9.8,333,5,328,72.0,53.833,0.5,54.333,17.667,5.194,7.889,0.08333,7.972,-2.77778,-0.40278,-0.49653,,0.4,0.00601,697.923,4.192,6.288,10.479,687.444
2020-04-13,RJ,São João de Meriti,36,2,3,477130,3305109,9.8,353,5,348,70.167,50.833,0.5,51.333,18.833,5.444,12.333,0.1389,12.472,-7.02778,-3.34722,,,0.4,0.00567,739.84,4.192,6.288,10.479,729.361
2020-04-14,RJ,São João de Meriti,45,3,53,477130,3305109,9.8,441,56,385,78.5,51.333,0.5,51.833,26.667,4.361,10.25,0.08333,10.333,-5.97222,-1.63194,,,0.05357,0.0068,924.276,6.288,111.081,117.368,806.908
