Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-21,CE,São João do Jaguaribe,1,0,1,7721,2312502,1,0,,,,,,,,,,,,,,0.0,0.0,129.517,0.0,129.517,129.517,0.0
2020-04-22,CE,São João do Jaguaribe,1,0,1,7721,2312502,1,0,,,,,,,,,,,,,,0.0,0.0,129.517,0.0,129.517,129.517,0.0
2020-04-23,CE,São João do Jaguaribe,1,0,1,7721,2312502,1,0,,,,,,,,,,,,,,0.0,0.0,129.517,0.0,129.517,129.517,0.0
2020-04-24,CE,São João do Jaguaribe,1,0,1,7721,2312502,1,0,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,129.517,0.0,129.517,129.517,0.0
2020-04-25,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.0,-0.16667,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-04-26,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.0,-0.16667,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-04-27,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.0,-0.16667,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-04-28,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.0,,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-04-29,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.0,,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-04-30,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.0,,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-05-01,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.0,,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-05-02,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.0,,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-05-03,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.0,,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-05-04,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.3333,,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-05-05,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.3333,,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-05-06,CE,São João do Jaguaribe,1,0,0,7721,2312502,0,1,0.3333,,,,,,,,,,,,,,0.0,129.517,0.0,0.0,0.0,129.517
2020-05-07,CE,São João do Jaguaribe,3,0,1,7721,2312502,1,2,0.3333,,,,,0.02778,,,,,,,,0.0,0.0,388.551,0.0,129.517,129.517,259.034
2020-05-08,CE,São João do Jaguaribe,3,0,1,7721,2312502,1,2,0.8333,,,,,0.08333,,,,,,,,0.0,0.0,388.551,0.0,129.517,129.517,259.034
2020-05-09,CE,São João do Jaguaribe,3,0,1,7721,2312502,1,2,0.8333,,,,,0.1111,,,,,-0.01389,,,0.0,0.0,388.551,0.0,129.517,129.517,259.034
2020-05-10,CE,São João do Jaguaribe,3,0,1,7721,2312502,1,2,0.5,0.1667,,,,0.1111,,,,,,,,0.0,0.0,388.551,0.0,129.517,129.517,259.034
2020-05-11,CE,São João do Jaguaribe,6,0,2,7721,2312502,2,4,0.8333,0.3333,,,,-0.02778,,,,,,,,0.0,0.0,777.101,0.0,259.034,259.034,518.068
2020-05-12,CE,São João do Jaguaribe,6,0,2,7721,2312502,2,4,1.0,0.3333,,,,,,,,,,,,0.0,0.0,777.101,0.0,259.034,259.034,518.068
2020-05-13,CE,São João do Jaguaribe,6,0,2,7721,2312502,2,4,1.0,0.3333,,,,,,,,,,,,0.0,0.0,777.101,0.0,259.034,259.034,518.068
2020-05-14,CE,São João do Jaguaribe,8,0,3,7721,2312502,3,5,0.6667,0.3333,,,,,,,,,,,,0.0,0.0,1036.135,0.0,388.551,388.551,647.585
2020-05-15,CE,São João do Jaguaribe,9,0,3,7721,2312502,3,6,,,,,,,,,,,,,,0.0,0.0,1165.652,0.0,388.551,388.551,777.101
2020-05-16,CE,São João do Jaguaribe,9,0,3,7721,2312502,3,6,,,,,,,,,,,,,,0.0,0.0,1165.652,0.0,388.551,388.551,777.101
2020-05-17,CE,São João do Jaguaribe,10,0,4,7721,2312502,4,6,,,,,,,,,,,,,,0.0,0.0,1295.169,0.0,518.068,518.068,777.101
