Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-01,RN,Taboleiro Grande,1,0,3,2592,2413805,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,3086.42,0.0,1157.407,1157.407,1929.012
2020-05-02,RN,Taboleiro Grande,1,0,3,2592,2413805,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,3086.42,0.0,1157.407,1157.407,1929.012
2020-05-03,RN,Taboleiro Grande,1,0,3,2592,2413805,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,3086.42,0.0,1157.407,1157.407,1929.012
2020-05-04,RN,Taboleiro Grande,1,0,3,2592,2413805,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,3086.42,0.0,1157.407,1157.407,1929.012
2020-05-05,RN,Taboleiro Grande,1,1,3,2592,2413805,8.3,8,4,4,1.5,0.6667,,,,,,,,,,,,0.25,0.125,3086.42,385.802,1157.407,1543.21,1543.21
2020-05-06,RN,Taboleiro Grande,1,1,3,2592,2413805,8.3,8,4,4,,,,,,,,,,,,,,0.25,0.125,3086.42,385.802,1157.407,1543.21,1543.21
2020-05-07,RN,Taboleiro Grande,1,1,3,2592,2413805,8.3,8,4,4,,,,,,,,,,,,,,0.25,0.125,3086.42,385.802,1157.407,1543.21,1543.21
2020-05-08,RN,Taboleiro Grande,2,1,7,2592,2413805,8.3,17,8,9,,,,,,,,,,,,,,0.125,0.05882,6558.642,385.802,2700.617,3086.42,3472.222
2020-05-10,RN,Taboleiro Grande,2,1,7,2592,2413805,8.3,17,8,9,,,,,,,,,,,,,,0.125,0.05882,6558.642,385.802,2700.617,3086.42,3472.222
2020-05-11,RN,Taboleiro Grande,4,1,13,2592,2413805,8.3,33,14,19,,,,,,,,,,,,,,0.07143,0.0303,12731.481,385.802,5015.432,5401.235,7330.247
2020-05-12,RN,Taboleiro Grande,4,1,13,2592,2413805,8.3,33,14,19,,,,,,,,,,,,,,0.07143,0.0303,12731.481,385.802,5015.432,5401.235,7330.247
2020-05-13,RN,Taboleiro Grande,4,1,14,2592,2413805,8.3,33,15,18,,,,,,,,,,,,,,0.06667,0.0303,12731.481,385.802,5401.235,5787.037,6944.444
2020-05-14,RN,Taboleiro Grande,4,1,13,2592,2413805,8.3,33,14,19,,,,,,,,,,,,,,0.07143,0.0303,12731.481,385.802,5015.432,5401.235,7330.247
2020-05-16,RN,Taboleiro Grande,5,1,16,2592,2413805,8.3,42,17,25,,,,,,,,,,,,,,0.05882,0.02381,16203.704,385.802,6172.84,6558.642,9645.062
2020-05-17,RN,Taboleiro Grande,5,1,16,2592,2413805,8.3,42,17,25,,,,,,,,,,,,,,0.05882,0.02381,16203.704,385.802,6172.84,6558.642,9645.062
2020-05-18,RN,Taboleiro Grande,5,1,17,2592,2413805,8.3,42,18,24,,,,,,,,,,,,,,0.05556,0.02381,16203.704,385.802,6558.642,6944.444,9259.259
2020-05-19,RN,Taboleiro Grande,5,1,16,2592,2413805,8.3,42,17,25,0.0,0.1667,0.0,0.1667,-0.16667,,,,,,,,,0.05882,0.02381,16203.704,385.802,6172.84,6558.642,9645.062
2020-05-20,RN,Taboleiro Grande,5,1,17,2592,2413805,8.3,42,18,24,,,,,,,,,,,,,,0.05556,0.02381,16203.704,385.802,6558.642,6944.444,9259.259
2020-05-21,RN,Taboleiro Grande,5,1,17,2592,2413805,8.3,42,18,24,,,,,,,,,,,,,,0.05556,0.02381,16203.704,385.802,6558.642,6944.444,9259.259
2020-05-22,RN,Taboleiro Grande,5,1,17,2592,2413805,8.3,42,18,24,,,,,,,,,,,,,,0.05556,0.02381,16203.704,385.802,6558.642,6944.444,9259.259
2020-05-24,RN,Taboleiro Grande,5,1,17,2592,2413805,8.3,42,18,24,,,,,,,,,,,,,,0.05556,0.02381,16203.704,385.802,6558.642,6944.444,9259.259
2020-05-25,RN,Taboleiro Grande,5,1,17,2592,2413805,8.3,42,18,24,,,,,,,,,,,,,,0.05556,0.02381,16203.704,385.802,6558.642,6944.444,9259.259
2020-05-26,RN,Taboleiro Grande,5,1,17,2592,2413805,8.3,42,18,24,,,,,,,,,,,,,,0.05556,0.02381,16203.704,385.802,6558.642,6944.444,9259.259
2020-05-28,RN,Taboleiro Grande,5,1,17,2592,2413805,8.3,42,18,24,,,,,,,,,,,,,,0.05556,0.02381,16203.704,385.802,6558.642,6944.444,9259.259
