Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-15,BA,Taperoá,1,0,4,21285,2931202,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,375.852,0.0,187.926,187.926,187.926
2020-04-16,BA,Taperoá,1,0,4,21285,2931202,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,375.852,0.0,187.926,187.926,187.926
2020-04-17,BA,Taperoá,1,0,3,21285,2931202,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,375.852,0.0,140.944,140.944,234.907
2020-04-18,BA,Taperoá,2,0,7,21285,2931202,8.3,17,7,10,4.167,2.333,,,,,,,,,,,,0.0,0.0,798.685,0.0,328.87,328.87,469.814
2020-04-19,BA,Taperoá,3,0,14,21285,2931202,8.3,25,14,11,4.167,2.333,,,,,,,,,,,,0.0,0.0,1174.536,0.0,657.74,657.74,516.796
2020-04-20,BA,Taperoá,3,0,14,21285,2931202,8.3,25,14,11,4.167,2.5,,,,,,,,,,,,0.0,0.0,1174.536,0.0,657.74,657.74,516.796
2020-04-21,BA,Taperoá,4,0,18,21285,2931202,8.3,33,18,15,6.833,3.833,,,,0.0,-0.13889,,,,,,,0.0,0.0,1550.388,0.0,845.666,845.666,704.722
2020-04-22,BA,Taperoá,4,0,18,21285,2931202,8.3,33,18,15,5.5,2.5,,,,0.0,-0.16667,,,,,,,0.0,0.0,1550.388,0.0,845.666,845.666,704.722
2020-04-23,BA,Taperoá,4,0,18,21285,2931202,8.3,33,18,15,5.5,2.333,,,,0.0,-0.22222,,,,,,,0.0,0.0,1550.388,0.0,845.666,845.666,704.722
2020-04-24,BA,Taperoá,7,0,30,21285,2931202,8.3,58,30,28,4.167,1.5,,,,-1.13889,-0.80556,,,,,,,0.0,0.0,2724.924,0.0,1409.443,1409.443,1315.48
2020-04-25,BA,Taperoá,7,0,29,21285,2931202,8.3,58,29,29,4.167,1.333,,,,-0.91667,-0.55556,,,,,,,0.0,0.0,2724.924,0.0,1362.462,1362.462,1362.462
2020-04-26,BA,Taperoá,7,0,28,21285,2931202,8.3,58,28,30,4.167,1.167,,,,-0.69444,-0.38889,,,,,,,0.0,0.0,2724.924,0.0,1315.48,1315.48,1409.443
2020-04-27,BA,Taperoá,7,0,27,21285,2931202,8.3,58,27,31,0.0,-1.0,,,,-0.47222,-0.22222,,,,,,,0.0,0.0,2724.924,0.0,1268.499,1268.499,1456.425
2020-04-28,BA,Taperoá,7,0,26,21285,2931202,8.3,58,26,32,0.0,-0.83333,,,,-0.47222,-0.16667,,,,,,,0.0,0.0,2724.924,0.0,1221.518,1221.518,1503.406
2020-04-29,BA,Taperoá,7,0,25,21285,2931202,8.3,58,25,33,1.333,0.0,,,,-0.47222,-0.11111,,,,,,,0.0,0.0,2724.924,0.0,1174.536,1174.536,1550.388
2020-04-30,BA,Taperoá,7,0,24,21285,2931202,8.3,58,24,34,1.333,0.1667,,,,,,,,,,,,0.0,0.0,2724.924,0.0,1127.555,1127.555,1597.369
2020-05-01,BA,Taperoá,7,0,24,21285,2931202,8.3,58,24,34,1.333,0.3333,,,,,,,,,,,,0.0,0.0,2724.924,0.0,1127.555,1127.555,1597.369
2020-05-02,BA,Taperoá,8,0,28,21285,2931202,8.3,66,28,38,1.333,0.5,,,,-0.22222,,,,,,,,0.0,0.0,3100.775,0.0,1315.48,1315.48,1785.295
2020-05-03,BA,Taperoá,8,0,28,21285,2931202,8.3,66,28,38,1.333,0.5,,,,-0.22222,-0.08333,,,,,,,0.0,0.0,3100.775,0.0,1315.48,1315.48,1785.295
2020-05-04,BA,Taperoá,8,0,28,21285,2931202,8.3,66,28,38,1.333,0.5,,,,-0.22222,-0.11111,,,,,,,0.0,0.0,3100.775,0.0,1315.48,1315.48,1785.295
2020-05-05,BA,Taperoá,8,0,28,21285,2931202,8.3,66,28,38,0.0,-0.16667,,,,-0.22222,-0.13889,,,,,,,0.0,0.0,3100.775,0.0,1315.48,1315.48,1785.295
2020-05-06,BA,Taperoá,8,0,27,21285,2931202,8.3,66,27,39,0.0,-0.33333,,,,-0.22222,-0.08333,,,,,,,0.0,0.0,3100.775,0.0,1268.499,1268.499,1832.276
2020-05-07,BA,Taperoá,8,0,27,21285,2931202,8.3,66,27,39,0.0,-0.33333,,,,-0.22222,-0.08333,,,,,,,0.0,0.0,3100.775,0.0,1268.499,1268.499,1832.276
2020-05-08,BA,Taperoá,8,0,27,21285,2931202,8.3,66,27,39,0.0,-0.33333,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1268.499,1268.499,1832.276
2020-05-09,BA,Taperoá,8,0,26,21285,2931202,8.3,66,26,40,0.0,0.0,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1221.518,1221.518,1879.258
2020-05-10,BA,Taperoá,8,0,26,21285,2931202,8.3,66,26,40,0.0,0.0,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1221.518,1221.518,1879.258
2020-05-11,BA,Taperoá,8,0,26,21285,2931202,8.3,66,26,40,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1221.518,1221.518,1879.258
2020-05-12,BA,Taperoá,8,0,27,21285,2931202,8.3,66,27,39,7.0,2.667,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1268.499,1268.499,1832.276
2020-05-13,BA,Taperoá,8,0,27,21285,2931202,8.3,66,27,39,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1268.499,1268.499,1832.276
2020-05-14,BA,Taperoá,8,0,26,21285,2931202,8.3,66,26,40,0.0,0.0,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1221.518,1221.518,1879.258
2020-05-15,BA,Taperoá,13,0,42,21285,2931202,8.3,108,42,66,0.0,-0.16667,,,,-1.86111,-0.66667,,,,,,,0.0,0.0,5073.996,0.0,1973.221,1973.221,3100.775
2020-05-16,BA,Taperoá,8,0,25,21285,2931202,8.3,66,25,41,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1174.536,1174.536,1926.239
2020-05-17,BA,Taperoá,8,0,26,21285,2931202,8.3,66,26,40,0.0,0.0,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1221.518,1221.518,1879.258
2020-05-18,BA,Taperoá,8,0,26,21285,2931202,8.3,66,26,40,-4.16667,-1.33333,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1221.518,1221.518,1879.258
2020-05-19,BA,Taperoá,8,0,26,21285,2931202,8.3,66,26,40,0.0,0.3333,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1221.518,1221.518,1879.258
2020-05-20,BA,Taperoá,8,0,26,21285,2931202,8.3,66,26,40,0.0,0.1667,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1221.518,1221.518,1879.258
2020-05-21,BA,Taperoá,10,0,34,21285,2931202,8.3,83,34,49,2.833,1.333,,,,,,,,,,,,0.0,0.0,3899.46,0.0,1597.369,1597.369,2302.091
2020-05-22,BA,Taperoá,8,0,27,21285,2931202,8.3,66,27,39,0.0,0.1667,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1268.499,1268.499,1832.276
2020-05-23,BA,Taperoá,8,0,27,21285,2931202,8.3,66,27,39,,,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1268.499,1268.499,1832.276
2020-05-24,BA,Taperoá,10,0,34,21285,2931202,8.3,83,34,49,,,,,,,,,,,,,,0.0,0.0,3899.46,0.0,1597.369,1597.369,2302.091
2020-05-25,BA,Taperoá,8,0,27,21285,2931202,8.3,66,27,39,,,,,,,,,,,,,,0.0,0.0,3100.775,0.0,1268.499,1268.499,1832.276
2020-04-14,PB,Taperoá,1,1,1,15530,2516508,8.3,8,2,6,,,,,,,,,,,,,,0.5,0.125,515.132,64.392,64.392,128.783,386.349
2020-04-15,PB,Taperoá,1,1,4,15530,2516508,8.3,8,5,3,,,,,,,,,,,,,,0.2,0.125,515.132,64.392,257.566,321.958,193.175
2020-04-16,PB,Taperoá,1,1,4,15530,2516508,8.3,8,5,3,,,,,,,,,,,,,,0.2,0.125,515.132,64.392,257.566,321.958,193.175
2020-04-17,PB,Taperoá,1,1,3,15530,2516508,8.3,8,4,4,0.0,0.5,0.0,0.5,-0.5,,,,,,,,,0.25,0.125,515.132,64.392,193.175,257.566,257.566
2020-04-18,PB,Taperoá,1,1,3,15530,2516508,8.3,8,4,4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.25,0.125,515.132,64.392,193.175,257.566,257.566
2020-04-19,PB,Taperoá,1,1,5,15530,2516508,8.3,8,6,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.1667,0.125,515.132,64.392,321.958,386.349,128.783
2020-04-20,PB,Taperoá,1,1,4,15530,2516508,8.3,8,5,3,0.0,0.1667,0.0,0.1667,-0.16667,,-0.08333,,,,,,,0.2,0.125,515.132,64.392,257.566,321.958,193.175
2020-04-21,PB,Taperoá,1,1,4,15530,2516508,8.3,8,5,3,0.0,0.1667,0.0,0.1667,-0.16667,,,,,,,,,0.2,0.125,515.132,64.392,257.566,321.958,193.175
2020-04-22,PB,Taperoá,1,1,4,15530,2516508,8.3,8,5,3,0.0,-0.16667,0.0,-0.16667,0.1667,,,,,,,,,0.2,0.125,515.132,64.392,257.566,321.958,193.175
