Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-26,AP,Tartarugalzinho,7,0,3,17488,1600709,3,4,,,,,,,,,,,,,,0.0,0.0,400.274,0.0,171.546,171.546,228.728
2020-04-27,AP,Tartarugalzinho,7,0,3,17488,1600709,3,4,,,,,,,,,,,,,,0.0,0.0,400.274,0.0,171.546,171.546,228.728
2020-04-28,AP,Tartarugalzinho,7,0,3,17488,1600709,3,4,,,,,,,,,,,,,,0.0,0.0,400.274,0.0,171.546,171.546,228.728
2020-04-29,AP,Tartarugalzinho,7,0,3,17488,1600709,3,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,400.274,0.0,171.546,171.546,228.728
2020-04-30,AP,Tartarugalzinho,7,0,3,17488,1600709,3,4,0.1667,0.0,,,,,,,,,,,,0.0,0.0,400.274,0.0,171.546,171.546,228.728
2020-05-01,AP,Tartarugalzinho,7,0,3,17488,1600709,3,4,0.3333,0.1667,,,,,,,,,,,,0.0,0.0,400.274,0.0,171.546,171.546,228.728
2020-05-02,AP,Tartarugalzinho,7,0,3,17488,1600709,3,4,0.3333,0.1667,,,,,,,,,,,,0.0,0.0,400.274,0.0,171.546,171.546,228.728
2020-05-03,AP,Tartarugalzinho,8,0,3,17488,1600709,3,5,0.5,0.1667,,,,0.02778,,,,,,,,0.0,0.0,457.457,0.0,171.546,171.546,285.91
2020-05-04,AP,Tartarugalzinho,9,0,4,17488,1600709,4,5,0.5,0.1667,,,,-0.02778,-0.02778,,,,,,,0.0,0.0,514.639,0.0,228.728,228.728,285.91
2020-05-05,AP,Tartarugalzinho,9,0,4,17488,1600709,4,5,0.5,0.1667,,,,-0.02778,-0.02778,,,,,,,0.0,0.0,514.639,0.0,228.728,228.728,285.91
2020-05-06,AP,Tartarugalzinho,10,0,4,17488,1600709,4,6,0.3333,0.1667,,,,-0.08333,-0.02778,,,,,,,0.0,0.0,571.821,0.0,228.728,228.728,343.092
2020-05-07,AP,Tartarugalzinho,10,1,4,17488,1600709,5,5,0.1667,0.0,,,,,,,,,,,,0.2,0.1,571.821,57.182,228.728,285.91,285.91
2020-05-08,AP,Tartarugalzinho,10,1,4,17488,1600709,5,5,0.1667,0.0,,,,,,,,,,,,0.2,0.1,571.821,57.182,228.728,285.91,285.91
2020-05-09,AP,Tartarugalzinho,10,1,4,17488,1600709,5,5,0.0,0.0,,,,,,,,,,,,0.2,0.1,571.821,57.182,228.728,285.91,285.91
2020-05-10,AP,Tartarugalzinho,10,1,4,17488,1600709,5,5,,,,,,,,,,,,,,0.2,0.1,571.821,57.182,228.728,285.91,285.91
2020-05-11,AP,Tartarugalzinho,10,1,4,17488,1600709,5,5,,,,,,,,,,,,,,0.2,0.1,571.821,57.182,228.728,285.91,285.91
2020-05-12,AP,Tartarugalzinho,10,1,4,17488,1600709,5,5,,,,,,,,,,,,,,0.2,0.1,571.821,57.182,228.728,285.91,285.91
