Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-24,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-03-25,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-03-26,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-03-27,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,0.0,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-03-28,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,0.0,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-03-29,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,0.0,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-03-30,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,0.0,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-03-31,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,0.0,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-04-01,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,0.0,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-04-02,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,4.167,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-04-03,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,4.167,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-04-04,SC,Tijucas,1,0,0,38791,4218004,25.0,25,0,25,4.167,,,,,,,,,,,,,,0.0,644.479,0.0,0.0,0.0,644.479
2020-04-05,SC,Tijucas,2,0,0,38791,4218004,25.0,50,0,50,4.167,,,,,0.0,,,,,,,,,0.0,1288.959,0.0,0.0,0.0,1288.959
2020-04-06,SC,Tijucas,2,0,0,38791,4218004,25.0,50,0,50,8.333,,,,,0.0,,,,,,,,,0.0,1288.959,0.0,0.0,0.0,1288.959
2020-04-07,SC,Tijucas,2,0,0,38791,4218004,25.0,50,0,50,8.333,,,,,0.6944,,,,,,,,,0.0,1288.959,0.0,0.0,0.0,1288.959
2020-04-08,SC,Tijucas,2,0,0,38791,4218004,25.0,50,0,50,4.167,,,,,0.6944,,,,,,,,,0.0,1288.959,0.0,0.0,0.0,1288.959
2020-04-09,SC,Tijucas,3,0,1,38791,4218004,25.0,75,1,74,4.167,,,,,-0.69444,,,,,-0.17361,,,0.0,0.0,1933.438,0.0,25.779,25.779,1907.659
2020-04-10,SC,Tijucas,3,0,0,38791,4218004,25.0,75,0,75,8.333,,,,,-0.69444,,,,,-0.17361,,,,0.0,1933.438,0.0,0.0,0.0,1933.438
2020-04-11,SC,Tijucas,3,0,0,38791,4218004,25.0,75,0,75,8.333,,,,,0.0,,,,,,,,,0.0,1933.438,0.0,0.0,0.0,1933.438
2020-04-12,SC,Tijucas,3,0,0,38791,4218004,25.0,75,0,75,4.167,5.667,,,,0.0,,,,,,,,,0.0,1933.438,0.0,0.0,0.0,1933.438
2020-04-13,SC,Tijucas,4,0,1,38791,4218004,25.0,100,1,99,4.167,,,,,-1.38889,,,,,,,,0.0,0.0,2577.918,0.0,25.779,25.779,2552.138
2020-04-14,SC,Tijucas,4,0,9,38791,4218004,25.0,100,9,91,4.167,,,,,-1.38889,,,,,,,,0.0,0.0,2577.918,0.0,232.013,232.013,2345.905
2020-04-15,SC,Tijucas,4,0,35,38791,4218004,25.0,100,35,65,4.167,,,,,-0.69444,-0.83333,,,,,,,0.0,0.0,2577.918,0.0,902.271,902.271,1675.646
2020-04-16,SC,Tijucas,4,0,33,38791,4218004,25.0,100,33,67,0.0,6.833,,,,-0.69444,,,,,,,,0.0,0.0,2577.918,0.0,850.713,850.713,1727.205
2020-04-17,SC,Tijucas,4,0,30,38791,4218004,25.0,100,30,70,0.0,5.167,,,,-0.69444,,,,,,,,0.0,0.0,2577.918,0.0,773.375,773.375,1804.542
2020-04-18,SC,Tijucas,4,0,28,38791,4218004,25.0,100,28,72,0.0,0.6667,,,,-0.69444,,,,,,,,0.0,0.0,2577.918,0.0,721.817,721.817,1856.101
2020-04-19,SC,Tijucas,4,0,42,38791,4218004,25.0,100,42,58,0.0,1.333,,,,,-1.27778,,,,,,,0.0,0.0,2577.918,0.0,1082.725,1082.725,1495.192
2020-04-20,SC,Tijucas,4,0,40,38791,4218004,25.0,100,40,60,0.0,1.5,,,,,-0.97222,,,,,,,0.0,0.0,2577.918,0.0,1031.167,1031.167,1546.751
2020-04-21,SC,Tijucas,4,0,39,38791,4218004,25.0,100,39,61,0.0,1.667,,,,,0.0,,,,,,,0.0,0.0,2577.918,0.0,1005.388,1005.388,1572.53
2020-04-22,SC,Tijucas,4,0,41,38791,4218004,25.0,100,41,59,0.0,-0.83333,,,,,-0.22222,,,,,,,0.0,0.0,2577.918,0.0,1056.946,1056.946,1520.971
2020-04-23,SC,Tijucas,4,0,39,38791,4218004,25.0,100,39,61,0.0,-0.66667,,,,,0.2222,,,,,,,0.0,0.0,2577.918,0.0,1005.388,1005.388,1572.53
2020-04-24,SC,Tijucas,4,0,38,38791,4218004,25.0,100,38,62,4.167,0.6667,,,,,0.1389,,,,,,,0.0,0.0,2577.918,0.0,979.609,979.609,1598.309
2020-04-25,SC,Tijucas,4,0,37,38791,4218004,25.0,100,37,63,4.167,0.0,,,,,,,,,,,,0.0,0.0,2577.918,0.0,953.829,953.829,1624.088
2020-04-26,SC,Tijucas,4,0,36,38791,4218004,25.0,100,36,64,12.5,2.833,,,,,,,,,,,,0.0,0.0,2577.918,0.0,928.05,928.05,1649.867
2020-04-27,SC,Tijucas,5,0,43,38791,4218004,25.0,125,43,82,12.5,2.5,,,,0.6944,0.2222,,,,,,,0.0,0.0,3222.397,0.0,1108.505,1108.505,2113.892
2020-04-28,SC,Tijucas,5,0,41,38791,4218004,25.0,125,41,84,12.5,2.833,,,,0.6944,,,,,,,,0.0,0.0,3222.397,0.0,1056.946,1056.946,2165.451
2020-04-29,SC,Tijucas,7,0,56,38791,4218004,25.0,175,56,119,12.5,3.167,,,,-2.08333,-0.52778,,,,0.0,,,0.0,0.0,4511.356,0.0,1443.634,1443.634,3067.722
2020-04-30,SC,Tijucas,7,0,53,38791,4218004,25.0,175,53,122,8.333,2.0,,,,-2.08333,-0.41667,,,,0.1736,,,0.0,0.0,4511.356,0.0,1366.296,1366.296,3145.059
2020-05-01,SC,Tijucas,7,0,54,38791,4218004,25.0,175,54,121,8.333,2.333,,,,0.6944,0.3333,,,,,,,0.0,0.0,4511.356,0.0,1392.075,1392.075,3119.28
2020-05-02,SC,Tijucas,7,0,55,38791,4218004,25.0,175,55,120,0.0,-0.33333,,,,1.389,0.4444,,,,,,,0.0,0.0,4511.356,0.0,1417.855,1417.855,3093.501
2020-05-03,SC,Tijucas,7,0,55,38791,4218004,25.0,175,55,120,0.0,0.0,,,,2.083,0.6111,,,,,,,0.0,0.0,4511.356,0.0,1417.855,1417.855,3093.501
2020-05-04,SC,Tijucas,7,0,55,38791,4218004,25.0,175,55,120,16.667,4.833,,,,2.083,0.5556,,,,,,,0.0,0.0,4511.356,0.0,1417.855,1417.855,3093.501
2020-05-05,SC,Tijucas,7,0,54,38791,4218004,25.0,175,54,121,20.833,5.833,,,,,,,,,-1.04167,,,0.0,0.0,4511.356,0.0,1392.075,1392.075,3119.28
2020-05-06,SC,Tijucas,7,0,53,38791,4218004,25.0,175,53,122,20.833,5.667,,,,,,,,,-1.38889,,,0.0,0.0,4511.356,0.0,1366.296,1366.296,3145.059
2020-05-07,SC,Tijucas,11,0,83,38791,4218004,25.0,275,83,192,20.833,5.667,,,,-2.08333,-0.55556,,,,,,,0.0,0.0,7089.273,0.0,2139.672,2139.672,4949.602
2020-05-08,SC,Tijucas,12,0,90,38791,4218004,25.0,300,90,210,20.833,5.833,,,,-3.47222,-1.08333,,,,,,,0.0,0.0,7733.753,0.0,2320.126,2320.126,5413.627
2020-05-09,SC,Tijucas,12,0,89,38791,4218004,25.0,300,89,211,20.833,6.333,,,,-3.47222,-1.0,,,,,,,0.0,0.0,7733.753,0.0,2294.347,2294.347,5439.406
2020-05-10,SC,Tijucas,12,0,89,38791,4218004,25.0,300,89,211,4.167,1.5,,,,-2.77778,-0.83333,,,,,,,0.0,0.0,7733.753,0.0,2294.347,2294.347,5439.406
2020-05-11,SC,Tijucas,12,0,89,38791,4218004,25.0,300,89,211,0.0,-0.66667,,,,-2.77778,-0.83333,,,,,,,0.0,0.0,7733.753,0.0,2294.347,2294.347,5439.406
2020-05-12,SC,Tijucas,12,0,91,38791,4218004,25.0,300,91,209,0.0,-0.33333,,,,-2.77778,-0.94444,,,,,,,0.0,0.0,7733.753,0.0,2345.905,2345.905,5387.848
2020-05-13,SC,Tijucas,12,0,92,38791,4218004,25.0,300,92,208,4.167,0.6667,,,,0.0,-0.02778,,,,,,,0.0,0.0,7733.753,0.0,2371.684,2371.684,5362.069
2020-05-14,SC,Tijucas,12,0,86,38791,4218004,25.0,300,86,214,4.167,0.8333,,,,,,,,,,,,0.0,0.0,7733.753,0.0,2217.009,2217.009,5516.744
2020-05-15,SC,Tijucas,12,0,87,38791,4218004,25.0,300,87,213,4.167,0.6667,,,,,,,,,,,,0.0,0.0,7733.753,0.0,2242.788,2242.788,5490.964
2020-05-16,SC,Tijucas,13,0,93,38791,4218004,25.0,325,93,232,4.167,1.333,,,,-1.38889,-0.13889,,,,,,,0.0,0.0,8378.232,0.0,2397.463,2397.463,5980.769
2020-05-17,SC,Tijucas,13,0,94,38791,4218004,25.0,325,94,231,4.167,2.0,,,,-0.69444,0.1111,,,,,,,0.0,0.0,8378.232,0.0,2423.243,2423.243,5954.99
2020-05-18,SC,Tijucas,13,0,95,38791,4218004,25.0,325,95,230,4.167,2.167,,,,0.0,0.2778,,,,,,,0.0,0.0,8378.232,0.0,2449.022,2449.022,5929.21
2020-05-19,SC,Tijucas,13,0,100,38791,4218004,25.0,325,100,225,-4.16667,-0.16667,,,,0.0,0.7222,,,,,,,0.0,0.0,8378.232,0.0,2577.918,2577.918,5800.315
2020-05-20,SC,Tijucas,13,0,98,38791,4218004,25.0,325,98,227,0.0,1.5,,,,,,,,,,,,0.0,0.0,8378.232,0.0,2526.359,2526.359,5851.873
2020-05-21,SC,Tijucas,13,0,100,38791,4218004,25.0,325,100,225,4.167,2.333,,,,,,,,,,,,0.0,0.0,8378.232,0.0,2577.918,2577.918,5800.315
2020-05-22,SC,Tijucas,12,0,92,38791,4218004,25.0,300,92,208,4.167,5.667,,,,,,,,,,,,0.0,0.0,7733.753,0.0,2371.684,2371.684,5362.069
2020-05-23,SC,Tijucas,13,0,103,38791,4218004,25.0,325,103,222,,,,,,,,,,,,,,0.0,0.0,8378.232,0.0,2655.255,2655.255,5722.977
2020-05-24,SC,Tijucas,14,0,109,38791,4218004,25.0,350,109,241,,,,,,,,,,,,,,0.0,0.0,9022.711,0.0,2809.93,2809.93,6212.781
2020-05-25,SC,Tijucas,14,0,134,38791,4218004,25.0,350,134,216,,,,,,,,,,,,,,0.0,0.0,9022.711,0.0,3454.41,3454.41,5568.302
