Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-29,MA,Tutóia,1,0,0,59449,2112506,14.047,14,0,14,,,,,,,,,,,,,,,0.0,235.496,0.0,0.0,0.0,235.496
2020-04-30,MA,Tutóia,2,0,1,59449,2112506,14.047,28,1,27,,,,,,,,,,,,,,0.0,0.0,470.992,0.0,16.821,16.821,454.171
2020-05-01,MA,Tutóia,4,2,2,59449,2112506,14.047,56,4,52,,,,,,,,,,,,,,0.5,0.03571,941.984,33.642,33.642,67.285,874.699
2020-05-02,MA,Tutóia,4,2,2,59449,2112506,14.047,56,4,52,16.333,,,,,,,,,,,,,0.5,0.03571,941.984,33.642,33.642,67.285,874.699
2020-05-03,MA,Tutóia,6,2,3,59449,2112506,14.047,84,5,79,16.333,0.5,,,,,,,,,,,,0.4,0.02381,1412.976,33.642,50.463,84.106,1328.87
2020-05-04,MA,Tutóia,8,2,3,59449,2112506,14.047,112,5,107,16.5,0.3333,0.0,0.3333,16.167,,,,,,,,,0.4,0.01786,1883.968,33.642,50.463,84.106,1799.862
2020-05-05,MA,Tutóia,8,2,3,59449,2112506,14.047,112,5,107,28.167,0.6667,0.0,0.6667,27.5,4.694,,,,,,,,0.4,0.01786,1883.968,33.642,50.463,84.106,1799.862
2020-05-06,MA,Tutóia,9,2,4,59449,2112506,14.047,126,6,120,35.167,0.8333,0.0,0.8333,34.333,7.056,0.1944,,,,,,,0.3333,0.01587,2119.464,33.642,67.285,100.927,2018.537
2020-05-07,MA,Tutóia,11,2,4,59449,2112506,14.047,155,6,149,32.833,1.0,0.0,1.0,31.833,9.722,0.3333,,,,0.3819,,,0.3333,0.0129,2607.277,33.642,67.285,100.927,2506.35
2020-05-08,MA,Tutóia,16,2,6,59449,2112506,14.047,225,8,217,44.5,1.333,0.1667,1.5,43.0,8.944,0.2778,,,,-0.20833,,,0.25,0.00889,3784.757,33.642,100.927,134.569,3650.188
2020-05-09,MA,Tutóia,21,2,8,59449,2112506,14.047,295,10,285,58.667,1.667,0.1667,1.833,56.833,6.222,0.1944,,,,-1.35417,-0.33681,,0.2,0.00678,4962.237,33.642,134.569,168.211,4794.025
2020-05-10,MA,Tutóia,22,2,9,59449,2112506,14.047,309,11,298,74.833,2.333,0.1667,2.5,72.333,6.222,0.1389,,,,-1.95139,,,0.1818,0.00647,5197.733,33.642,151.39,185.033,5012.7
2020-05-11,MA,Tutóia,27,3,11,59449,2112506,14.047,379,14,365,81.833,2.333,0.1667,2.5,79.333,4.306,0.08333,-0.02778,0.05556,4.25,-0.96528,,,0.2143,0.00792,6375.212,50.463,185.033,235.496,6139.716
2020-05-12,MA,Tutóia,34,3,14,59449,2112506,14.047,478,17,461,72.5,2.0,0.1667,2.167,70.333,1.139,0.0,-0.02778,-0.02778,1.167,-2.03472,,,0.1765,0.00628,8040.505,50.463,235.496,285.959,7754.546
2020-05-13,MA,Tutóia,43,3,18,59449,2112506,14.047,604,21,583,70.167,1.833,0.1667,2.0,68.167,2.361,0.0,-0.02778,-0.02778,2.389,-1.26389,,,0.1429,0.00497,10159.969,50.463,302.781,353.244,9806.725
2020-05-14,MA,Tutóia,51,3,20,59449,2112506,14.047,716,23,693,70.333,1.833,0.0,1.833,68.5,-1.91667,-0.05556,-0.02778,-0.08333,-1.83333,4.792,,,0.1304,0.00419,12043.937,50.463,336.423,386.886,11657.051
2020-05-15,MA,Tutóia,52,3,20,59449,2112506,14.047,730,23,707,65.5,1.667,0.0,1.667,63.833,-0.75,0.02778,-0.02778,-0.0,-0.75,5.743,,,0.1304,0.00411,12279.433,50.463,336.423,386.886,11892.547
