Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-20,MA,Vitorino Freire,1,0,1,31838,2113009,14.047,14,1,13,,,,,,,,,,,,,,0.0,0.0,439.726,0.0,31.409,31.409,408.317
2020-04-21,MA,Vitorino Freire,1,0,1,31838,2113009,14.047,14,1,13,,,,,,,,,,,,,,0.0,0.0,439.726,0.0,31.409,31.409,408.317
2020-04-22,MA,Vitorino Freire,1,0,1,31838,2113009,14.047,14,1,13,,,,,,,,,,,,,,0.0,0.0,439.726,0.0,31.409,31.409,408.317
2020-04-23,MA,Vitorino Freire,1,0,1,31838,2113009,14.047,14,1,13,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,439.726,0.0,31.409,31.409,408.317
2020-04-24,MA,Vitorino Freire,1,0,1,31838,2113009,14.047,14,1,13,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,439.726,0.0,31.409,31.409,408.317
2020-04-25,MA,Vitorino Freire,1,0,0,31838,2113009,14.047,14,0,14,0.0,-0.16667,,,,,,,,,,,,,0.0,439.726,0.0,0.0,0.0,439.726
2020-04-26,MA,Vitorino Freire,1,0,0,31838,2113009,14.047,14,0,14,0.0,-0.16667,,,,,,,,,,,,,0.0,439.726,0.0,0.0,0.0,439.726
2020-04-27,MA,Vitorino Freire,1,0,0,31838,2113009,14.047,14,0,14,0.0,-0.16667,,,,,,,,,,,,,0.0,439.726,0.0,0.0,0.0,439.726
2020-04-28,MA,Vitorino Freire,1,0,0,31838,2113009,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,439.726,0.0,0.0,0.0,439.726
2020-04-29,MA,Vitorino Freire,1,0,0,31838,2113009,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,439.726,0.0,0.0,0.0,439.726
2020-04-30,MA,Vitorino Freire,1,0,0,31838,2113009,14.047,14,0,14,0.0,,,,,,,,,,,,,,0.0,439.726,0.0,0.0,0.0,439.726
2020-05-01,MA,Vitorino Freire,1,0,0,31838,2113009,14.047,14,0,14,21.0,,,,,,,,,,,,,,0.0,439.726,0.0,0.0,0.0,439.726
2020-05-02,MA,Vitorino Freire,1,0,0,31838,2113009,14.047,14,0,14,9.333,,,,,,,,,,,,,,0.0,439.726,0.0,0.0,0.0,439.726
2020-05-03,MA,Vitorino Freire,1,0,0,31838,2113009,14.047,14,0,14,9.333,,,,,,,,,,,,,,0.0,439.726,0.0,0.0,0.0,439.726
2020-05-04,MA,Vitorino Freire,10,0,4,31838,2113009,14.047,140,4,136,9.333,,,,,-1.52778,,,,,,,,0.0,0.0,4397.261,0.0,125.636,125.636,4271.625
2020-05-05,MA,Vitorino Freire,5,0,2,31838,2113009,14.047,70,2,68,9.333,,,,,2.361,,,,,,,,0.0,0.0,2198.631,0.0,62.818,62.818,2135.813
2020-05-06,MA,Vitorino Freire,5,0,2,31838,2113009,14.047,70,2,68,9.333,,,,,2.361,,,,,,,,0.0,0.0,2198.631,0.0,62.818,62.818,2135.813
2020-05-07,MA,Vitorino Freire,5,0,2,31838,2113009,14.047,70,2,68,11.833,0.3333,,,,2.361,,,,,1.167,,,0.0,0.0,2198.631,0.0,62.818,62.818,2135.813
2020-05-08,MA,Vitorino Freire,5,1,2,31838,2113009,14.047,70,3,67,23.5,0.6667,,,,2.361,,,,,0.08333,,,0.3333,0.01429,2198.631,31.409,62.818,94.227,2104.404
2020-05-09,MA,Vitorino Freire,5,0,2,31838,2113009,14.047,70,2,68,23.5,0.6667,,,,7.028,,,,,-0.40278,-0.68403,,0.0,0.0,2198.631,0.0,62.818,62.818,2135.813
