Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-18,MA,Alcântara,1,0,0,22097,2100204,0,1,,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-04-19,MA,Alcântara,1,0,1,22097,2100204,1,0,,,,,,,,,,,,,,0.0,0.0,,45.26,0.0,45.26,45.26,0.0
2020-04-20,MA,Alcântara,1,0,1,22097,2100204,1,0,,,,,,,,,,,,,,0.0,0.0,,45.26,0.0,45.26,45.26,0.0
2020-04-21,MA,Alcântara,1,0,1,22097,2100204,1,0,0.0,,,,,,,,,,,,,0.0,0.0,,45.26,0.0,45.26,45.26,0.0
2020-04-22,MA,Alcântara,1,0,1,22097,2100204,1,0,0.0,-0.1667,,,,,,,,,,,,0.0,0.0,,45.26,0.0,45.26,45.26,0.0
2020-04-23,MA,Alcântara,1,0,1,22097,2100204,1,0,0.0,-0.1667,,,,,,,,,,,,0.0,0.0,,45.26,0.0,45.26,45.26,0.0
2020-04-24,MA,Alcântara,1,0,1,22097,2100204,1,0,0.0,-0.1667,,,,,,,,,,,,0.0,0.0,,45.26,0.0,45.26,45.26,0.0
2020-04-25,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,-0.1667,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-04-26,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,-0.1667,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-04-27,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,-0.1667,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-04-28,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-04-29,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-04-30,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-05-01,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-05-02,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-05-03,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-05-04,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-05-05,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-05-06,MA,Alcântara,1,0,0,22097,2100204,0,1,0.0,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-05-07,MA,Alcântara,1,0,0,22097,2100204,0,1,0.833,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-05-08,MA,Alcântara,1,0,0,22097,2100204,0,1,0.833,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-05-09,MA,Alcântara,1,0,0,22097,2100204,0,1,0.833,,,,,,,,,,,,,,0.0,,45.26,0.0,0.0,0.0,45.26
2020-05-10,MA,Alcântara,6,0,2,22097,2100204,2,4,,,,,,,,,,,,,,0.0,0.0,,271.53,0.0,90.51,90.51,181.02
2020-05-11,MA,Alcântara,6,0,2,22097,2100204,2,4,,,,,,,,,,,,,,0.0,0.0,,271.53,0.0,90.51,90.51,181.02
2020-05-12,MA,Alcântara,6,0,2,22097,2100204,2,4,,,,,,,,,,,,,,0.0,0.0,,271.53,0.0,90.51,90.51,181.02
