Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-19,CE,Banabuiú,1,0,1,18197,2301851,1,0,,,,,,,,,,,,,,0.0,0.0,0.034,54.95,0.0,54.95,54.95,0.0
2020-04-20,CE,Banabuiú,1,0,1,18197,2301851,1,0,,,,,,,,,,,,,,0.0,0.0,0.034,54.95,0.0,54.95,54.95,0.0
2020-04-21,CE,Banabuiú,2,0,1,18197,2301851,1,1,,,,,,,,,,,,,,0.0,0.0,0.034,109.91,0.0,54.95,54.95,54.95
2020-04-22,CE,Banabuiú,2,0,1,18197,2301851,1,1,,,,,,,,,,,,,,0.0,0.0,0.034,109.91,0.0,54.95,54.95,54.95
2020-04-23,CE,Banabuiú,2,0,1,18197,2301851,1,1,0.208,0.0,,,,,,,,,,,,0.0,0.0,0.034,109.91,0.0,54.95,54.95,54.95
2020-04-24,CE,Banabuiú,1,0,1,18197,2301851,1,0,0.219,0.104,,,,,,,,,,,,0.0,0.0,0.034,54.95,0.0,54.95,54.95,0.0
2020-04-25,CE,Banabuiú,2,0,1,18197,2301851,1,1,0.208,0.104,,,,,,,,,,,,0.0,0.0,0.034,109.91,0.0,54.95,54.95,54.95
2020-04-26,CE,Banabuiú,2,0,1,18197,2301851,1,1,0.392,0.17,,,,0.172,,,,,,,,0.0,0.0,0.034,109.91,0.0,54.95,54.95,54.95
2020-04-27,CE,Banabuiú,4,0,2,18197,2301851,2,2,0.784,0.34,,,,0.348,0.127,,,,,,,0.0,0.0,0.034,219.82,0.0,109.91,109.91,109.91
2020-04-28,CE,Banabuiú,4,0,2,18197,2301851,2,2,1.28,0.34,,,,0.587,0.127,,,,0.0104,,,0.0,0.0,0.034,219.82,0.0,109.91,109.91,109.91
2020-04-29,CE,Banabuiú,7,0,3,18197,2301851,3,4,1.37,0.51,,,,0.181,0.0053,,,,-0.1113,,,0.0,0.0,0.034,384.68,0.0,164.86,164.86,219.82
2020-04-30,CE,Banabuiú,7,0,3,18197,2301851,3,4,1.37,0.51,,,,-0.0199,-0.0614,,,,0.0047,0.0075,,0.0,0.0,0.034,384.68,0.0,164.86,164.86,219.82
2020-05-01,CE,Banabuiú,7,0,3,18197,2301851,3,4,0.729,0.179,,,,-0.2642,-0.1789,,,,0.183,,,0.0,0.0,0.034,384.68,0.0,164.86,164.86,219.82
2020-05-02,CE,Banabuiú,7,0,3,18197,2301851,3,4,0.729,0.179,,,,0.0052,0.0,,,,,,,0.0,0.0,0.034,384.68,0.0,164.86,164.86,219.82
2020-05-03,CE,Banabuiú,7,0,3,18197,2301851,3,4,0.135,0.0,,,,0.001,0.0,,,,,,,0.0,0.0,0.034,384.68,0.0,164.86,164.86,219.82
2020-05-04,CE,Banabuiú,8,0,3,18197,2301851,3,5,1.42,0.51,,,,0.203,0.119,,,,,,,0.0,0.0,0.034,439.63,0.0,164.86,164.86,274.77
2020-05-05,CE,Banabuiú,8,0,3,18197,2301851,3,5,1.42,0.51,,,,,,,,,,,,0.0,0.0,0.034,439.63,0.0,164.86,164.86,274.77
2020-05-06,CE,Banabuiú,8,0,3,18197,2301851,3,5,1.42,0.51,,,,,,,,,,,,0.0,0.0,0.034,439.63,0.0,164.86,164.86,274.77
2020-05-07,CE,Banabuiú,22,0,9,18197,2301851,9,13,,,,,,,,,,,,,,0.0,0.0,0.034,1208.99,0.0,494.59,494.59,714.4
2020-05-08,CE,Banabuiú,22,0,9,18197,2301851,9,13,,,,,,,,,,,,,,0.0,0.0,0.034,1208.99,0.0,494.59,494.59,714.4
2020-05-09,CE,Banabuiú,22,0,9,18197,2301851,9,13,,,,,,,,,,,,,,0.0,0.0,0.034,1208.99,0.0,494.59,494.59,714.4
