Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-23,PB,Igaracy,1,0,0,6117,2502607,0,1,,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-03-24,PB,Igaracy,1,0,0,6117,2502607,0,1,,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-03-25,PB,Igaracy,1,0,0,6117,2502607,0,1,,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-03-26,PB,Igaracy,1,0,0,6117,2502607,0,1,,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-03-27,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-03-28,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-03-29,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-03-30,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-03-31,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-01,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-02,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-03,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-04,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-05,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-06,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-07,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-08,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-09,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-10,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-11,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
2020-04-12,PB,Igaracy,1,0,0,6117,2502607,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,163.48,0.0,0.0,0.0,163.48
