Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-01,SP,Itanhaém,2,0,0,101816,3522109,0,2,,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-02,SP,Itanhaém,2,0,0,101816,3522109,0,2,,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-03,SP,Itanhaém,2,0,0,101816,3522109,0,2,,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-04,SP,Itanhaém,2,0,0,101816,3522109,0,2,0.0,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-05,SP,Itanhaém,2,0,0,101816,3522109,0,2,0.0,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-06,SP,Itanhaém,2,0,0,101816,3522109,0,2,0.0,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-07,SP,Itanhaém,2,0,0,101816,3522109,0,2,0.0,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-08,SP,Itanhaém,2,0,0,101816,3522109,0,2,0.0,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-09,SP,Itanhaém,2,0,0,101816,3522109,0,2,0.0,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-10,SP,Itanhaém,2,0,0,101816,3522109,0,2,0.0,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-11,SP,Itanhaém,2,0,0,101816,3522109,0,2,0.0,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-12,SP,Itanhaém,2,0,0,101816,3522109,0,2,0.167,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-13,SP,Itanhaém,2,0,0,101816,3522109,0,2,0.167,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-14,SP,Itanhaém,2,0,0,101816,3522109,0,2,0.167,,,,,,,,,,,,,,0.0,,19.64,0.0,0.0,0.0,19.64
2020-04-15,SP,Itanhaém,3,0,1,101816,3522109,1,2,0.333,,,,,0.0556,,,,,,,,0.0,0.0,,29.46,0.0,9.82,9.82,19.64
2020-04-16,SP,Itanhaém,3,0,1,101816,3522109,1,2,0.5,,,,,0.0556,,,,,,,,0.0,0.0,,29.46,0.0,9.82,9.82,19.64
2020-04-17,SP,Itanhaém,3,0,1,101816,3522109,1,2,0.667,,,,,0.0556,,,,,-0.0069,,,0.0,0.0,,29.46,0.0,9.82,9.82,19.64
2020-04-18,SP,Itanhaém,4,0,2,101816,3522109,2,2,0.5,0.333,,,,0.0278,,,,,-0.0208,,,0.0,0.0,,39.29,0.0,19.64,19.64,19.64
2020-04-19,SP,Itanhaém,5,0,3,101816,3522109,3,2,0.5,0.333,,,,0.0278,,,,,-0.0139,,,0.0,0.0,,49.11,0.0,29.46,29.46,19.64
2020-04-20,SP,Itanhaém,6,1,3,101816,3522109,4,2,0.5,0.333,,,,-0.0278,,,,,0.0278,,,0.25,0.167,,58.93,9.82,29.46,39.29,19.64
2020-04-21,SP,Itanhaém,6,1,3,101816,3522109,4,2,0.5,0.333,,,,0.0,-0.0278,,,,0.0278,,,0.25,0.167,,58.93,9.82,29.46,39.29,19.64
2020-04-22,SP,Itanhaém,6,1,3,101816,3522109,4,2,0.667,0.167,,,,0.139,0.0278,,,,,-0.0069,,0.25,0.167,,58.93,9.82,29.46,39.29,19.64
2020-04-23,SP,Itanhaém,6,1,3,101816,3522109,4,2,0.5,0.167,0.167,0.333,0.167,0.139,0.0278,,,,,-0.0069,,0.25,0.167,,58.93,9.82,29.46,39.29,19.64
2020-04-24,SP,Itanhaém,7,1,4,101816,3522109,5,2,0.5,0.167,0.167,0.333,0.167,0.194,0.0278,,,,0.0,,,0.2,0.143,,68.75,9.82,39.29,49.11,19.64
2020-04-25,SP,Itanhaém,9,2,4,101816,3522109,6,3,1.33,0.5,0.167,0.667,0.667,0.111,0.0556,,,,0.0,,,0.333,0.222,,88.39,19.64,39.29,58.93,29.46
2020-04-26,SP,Itanhaém,9,2,4,101816,3522109,6,3,1.33,0.5,0.167,0.667,0.667,0.139,0.0556,-0.0278,0.0278,0.111,-0.0764,,,0.333,0.222,,88.39,19.64,39.29,58.93,29.46
2020-04-27,SP,Itanhaém,9,2,4,101816,3522109,6,3,1.67,0.5,0.167,0.667,1.0,0.139,0.0556,-0.0278,0.0278,0.111,-0.0556,,,0.333,0.222,,88.39,19.64,39.29,58.93,29.46
2020-04-28,SP,Itanhaém,14,2,6,101816,3522109,8,6,1.33,0.5,0.0,0.5,0.833,-0.1111,-0.0278,-0.0278,-0.0556,-0.0556,-0.0972,,,0.25,0.143,,137.5,19.64,58.93,78.57,58.93
2020-04-29,SP,Itanhaém,14,2,6,101816,3522109,8,6,1.33,0.5,0.0,0.5,0.833,-0.1111,-0.0278,-0.0278,-0.0556,-0.0556,-0.0764,,,0.25,0.143,,137.5,19.64,58.93,78.57,58.93
2020-04-30,SP,Itanhaém,17,2,7,101816,3522109,9,8,1.33,0.5,0.0,0.5,0.833,-0.25,-0.0833,-0.0278,-0.1111,-0.1389,,,,0.222,0.118,,166.97,19.64,68.75,88.39,78.57
2020-05-01,SP,Itanhaém,17,2,7,101816,3522109,9,8,0.667,0.333,0.0,0.333,0.333,-0.1667,-0.0556,,,,,,,0.222,0.118,,166.97,19.64,68.75,88.39,78.57
2020-05-02,SP,Itanhaém,17,2,7,101816,3522109,9,8,0.667,0.333,0.0,0.333,0.333,-0.1389,-0.0556,,,,,,,0.222,0.118,,166.97,19.64,68.75,88.39,78.57
2020-05-03,SP,Itanhaém,17,2,7,101816,3522109,9,8,0.167,0.0,0.0,0.0,0.167,-0.1389,-0.0556,,,,,,,0.222,0.118,,166.97,19.64,68.75,88.39,78.57
2020-05-04,SP,Itanhaém,18,2,8,101816,3522109,10,8,0.333,0.167,0.0,0.167,0.167,-0.0556,-0.0556,,,,,,,0.2,0.111,,176.79,19.64,78.57,98.22,78.57
2020-05-05,SP,Itanhaém,18,2,8,101816,3522109,10,8,0.5,0.167,0.0,0.167,0.333,-0.0556,-0.0556,,,,,,,0.2,0.111,,176.79,19.64,78.57,98.22,78.57
