Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-08,SP,Laranjal Paulista,2,1,0,28516,3526407,1,1,,,,,,,,,,,,,,1.0,0.5,,70.14,35.07,0.0,35.07,35.07
2020-04-09,SP,Laranjal Paulista,2,1,0,28516,3526407,1,1,,,,,,,,,,,,,,1.0,0.5,,70.14,35.07,0.0,35.07,35.07
2020-04-10,SP,Laranjal Paulista,2,1,0,28516,3526407,1,1,,,,,,,,,,,,,,1.0,0.5,,70.14,35.07,0.0,35.07,35.07
2020-04-11,SP,Laranjal Paulista,2,1,0,28516,3526407,1,1,0.0,,0.167,,,,,,,,,,,1.0,0.5,,70.14,35.07,0.0,35.07,35.07
2020-04-12,SP,Laranjal Paulista,2,1,0,28516,3526407,1,1,0.333,,0.167,,,,,,,,,,,1.0,0.5,,70.14,35.07,0.0,35.07,35.07
2020-04-13,SP,Laranjal Paulista,2,1,0,28516,3526407,1,1,0.333,,0.167,,,,,,,,,,,1.0,0.5,,70.14,35.07,0.0,35.07,35.07
2020-04-14,SP,Laranjal Paulista,2,2,0,28516,3526407,2,0,0.5,,0.167,,,,,-0.0278,,,,,,1.0,1.0,,70.14,70.14,0.0,70.14,0.0
2020-04-15,SP,Laranjal Paulista,4,2,2,28516,3526407,4,0,0.5,,0.167,,,-0.0278,,-0.0278,,,,,,0.5,0.5,,140.27,70.14,70.14,140.27,0.0
2020-04-16,SP,Laranjal Paulista,4,2,2,28516,3526407,4,0,0.5,,0.167,,,-0.0278,,-0.0278,,,,,,0.5,0.5,,140.27,70.14,70.14,140.27,0.0
2020-04-17,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.5,,0.0,,,-0.0833,,-0.0278,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-04-18,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.167,0.167,0.0,0.167,0.0,-0.0833,,-0.0278,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-04-19,SP,Laranjal Paulista,5,2,3,28516,3526407,5,0,0.167,0.167,0.0,0.167,0.0,-0.0833,,-0.0278,,,,,,0.4,0.4,,175.34,70.14,105.2,175.34,0.0
2020-04-20,SP,Laranjal Paulista,5,2,3,28516,3526407,5,0,0.0,0.167,0.0,0.167,-0.1667,-0.0833,,,,,,,,0.4,0.4,,175.34,70.14,105.2,175.34,0.0
2020-04-21,SP,Laranjal Paulista,5,2,3,28516,3526407,5,0,0.0,0.167,0.0,0.167,-0.1667,-0.0278,-0.0556,,,,,,,0.4,0.4,,175.34,70.14,105.2,175.34,0.0
2020-04-22,SP,Laranjal Paulista,5,2,3,28516,3526407,5,0,0.0,-0.1667,0.0,-0.1667,0.167,-0.0278,-0.0556,,,,,,,0.4,0.4,,175.34,70.14,105.2,175.34,0.0
2020-04-23,SP,Laranjal Paulista,5,2,3,28516,3526407,5,0,0.0,-0.1667,0.0,-0.1667,0.167,,-0.0556,,,,,,,0.4,0.4,,175.34,70.14,105.2,175.34,0.0
2020-04-24,SP,Laranjal Paulista,5,2,3,28516,3526407,5,0,0.0,-0.1667,0.0,-0.1667,0.167,,-0.0556,,,,,,,0.4,0.4,,175.34,70.14,105.2,175.34,0.0
2020-04-25,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,-0.1667,0.0,-0.1667,0.167,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-04-26,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,-0.1667,0.0,-0.1667,0.167,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-04-27,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,-0.1667,0.0,-0.1667,0.167,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-04-28,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-04-29,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-04-30,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-01,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-02,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-03,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-04,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-05,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-06,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-07,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-08,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-09,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,0.0,,0.0,,,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-10,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,,,,,,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-11,SP,Laranjal Paulista,5,2,2,28516,3526407,4,1,,,,,,,,,,,,,,0.5,0.4,,175.34,70.14,70.14,140.27,35.07
2020-05-12,SP,Laranjal Paulista,5,2,,28516,3526407,,,,,,,,,,,,,,,,,0.4,,175.34,70.14,,,
