Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-18,PR,Maringá,1,0,0,423666,4115200,0,1,,,,,,,,,,,,,,,0.0,0.034,2.36,0.0,0.0,0.0,2.36
2020-03-19,PR,Maringá,1,0,0,423666,4115200,0,1,,,,,,,,,,,,,,,0.0,0.034,2.36,0.0,0.0,0.0,2.36
2020-03-20,PR,Maringá,1,0,0,423666,4115200,0,1,,,,,,,,,,,,,,,0.0,0.034,2.36,0.0,0.0,0.0,2.36
2020-03-21,PR,Maringá,1,0,0,423666,4115200,0,1,,,,,,,,,,,,,,,0.0,0.034,2.36,0.0,0.0,0.0,2.36
2020-03-22,PR,Maringá,1,0,0,423666,4115200,0,1,0.104,,,,,,,,,,,,,,0.0,0.034,2.36,0.0,0.0,0.0,2.36
2020-03-23,PR,Maringá,1,0,0,423666,4115200,0,1,0.17,,,,,,,,,,,,,,0.0,0.034,2.36,0.0,0.0,0.0,2.36
2020-03-24,PR,Maringá,1,0,0,423666,4115200,0,1,0.32,,,,,,,,,,,,,,0.0,0.034,2.36,0.0,0.0,0.0,2.36
2020-03-25,PR,Maringá,2,0,0,423666,4115200,0,2,0.641,,,,,0.562,,,,,,,,,0.0,0.034,4.72,0.0,0.0,0.0,4.72
2020-03-26,PR,Maringá,3,0,0,423666,4115200,0,3,1.04,,,,,0.75,,,,,,,,,0.0,0.034,7.08,0.0,0.0,0.0,7.08
2020-03-27,PR,Maringá,7,2,0,423666,4115200,2,5,2.42,,,,,1.09,,,,,0.0332,,,1.0,0.286,0.034,16.52,4.72,0.0,4.72,11.8
2020-03-28,PR,Maringá,7,2,0,423666,4115200,2,5,2.58,,,,,0.614,,,,,-0.5471,,,1.0,0.286,0.034,16.52,4.72,0.0,4.72,11.8
2020-03-29,PR,Maringá,8,2,0,423666,4115200,2,6,2.07,,,,,-0.001,,,,,0.0005,0.0002,,1.0,0.25,0.034,18.88,4.72,0.0,4.72,14.16
