Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-04,RJ,Paraíba Do Sul,2,0,0,44285,3303708,0,2,,,,,,,,,,,,,,,0.0,,45.16,0.0,0.0,0.0,45.16
2020-04-05,RJ,Paraíba Do Sul,2,0,0,44285,3303708,0,2,,,,,,,,,,,,,,,0.0,,45.16,0.0,0.0,0.0,45.16
2020-04-06,RJ,Paraíba Do Sul,2,0,0,44285,3303708,0,2,,,,,,,,,,,,,,,0.0,,45.16,0.0,0.0,0.0,45.16
2020-04-07,RJ,Paraíba Do Sul,3,0,0,44285,3303708,0,3,0.167,,,,,,,,,,,,,,0.0,,67.74,0.0,0.0,0.0,67.74
2020-04-08,RJ,Paraíba Do Sul,3,0,0,44285,3303708,0,3,0.167,,,,,,,,,,,,,,0.0,,67.74,0.0,0.0,0.0,67.74
2020-04-09,RJ,Paraíba Do Sul,3,0,0,44285,3303708,0,3,0.167,,,,,,,,,,,,,,0.0,,67.74,0.0,0.0,0.0,67.74
2020-04-10,RJ,Paraíba Do Sul,3,0,0,44285,3303708,0,3,0.0,,,,,-0.0278,,,,,,,,,0.0,,67.74,0.0,0.0,0.0,67.74
2020-04-11,RJ,Paraíba Do Sul,3,0,0,44285,3303708,0,3,0.0,,,,,-0.0278,,,,,,,,,0.0,,67.74,0.0,0.0,0.0,67.74
2020-04-12,RJ,Paraíba Do Sul,3,0,0,44285,3303708,0,3,0.0,,,,,-0.0278,,,,,,,,,0.0,,67.74,0.0,0.0,0.0,67.74
2020-04-13,RJ,Paraíba Do Sul,3,0,0,44285,3303708,0,3,0.0,,,,,,,,,,,,,,0.0,,67.74,0.0,0.0,0.0,67.74
2020-04-14,RJ,Paraíba Do Sul,3,0,0,44285,3303708,0,3,0.0,,,,,,,,,,,,,,0.0,,67.74,0.0,0.0,0.0,67.74
2020-04-15,RJ,Paraíba Do Sul,3,0,1,44285,3303708,1,2,0.0,,,,,,,,,,,,,0.0,0.0,,67.74,0.0,22.58,22.58,45.16
2020-04-16,RJ,Paraíba Do Sul,3,0,1,44285,3303708,1,2,0.0,,,,,,,,,,,,,0.0,0.0,,67.74,0.0,22.58,22.58,45.16
2020-04-17,RJ,Paraíba Do Sul,3,0,1,44285,3303708,1,2,0.0,,,,,,,,,,,,,0.0,0.0,,67.74,0.0,22.58,22.58,45.16
