Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-31,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-01,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-02,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-03,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-04,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-05,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-06,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-07,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-08,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-09,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-10,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-11,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-12,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-13,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-14,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-15,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-16,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-17,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-18,SP,São José Do Rio Pardo,1,0,0,54946,3549706,0,1,0.0,,,,,,,,,,,,,,0.0,,18.2,0.0,0.0,0.0,18.2
2020-04-19,SP,São José Do Rio Pardo,1,0,1,54946,3549706,1,0,0.0,,,,,,,,,,,,,0.0,0.0,,18.2,0.0,18.2,18.2,0.0
2020-04-20,SP,São José Do Rio Pardo,1,0,1,54946,3549706,1,0,0.0,,,,,,,,,,,,,0.0,0.0,,18.2,0.0,18.2,18.2,0.0
2020-04-21,SP,São José Do Rio Pardo,1,0,1,54946,3549706,1,0,0.167,,,,,,,,,,,,,0.0,0.0,,18.2,0.0,18.2,18.2,0.0
2020-04-22,SP,São José Do Rio Pardo,1,0,1,54946,3549706,1,0,0.333,0.0,,,,,,,,,,,,0.0,0.0,,18.2,0.0,18.2,18.2,0.0
2020-04-23,SP,São José Do Rio Pardo,1,0,1,54946,3549706,1,0,0.333,0.0,,,,,,,,,,,,0.0,0.0,,18.2,0.0,18.2,18.2,0.0
2020-04-24,SP,São José Do Rio Pardo,2,0,1,54946,3549706,1,1,0.333,0.0,,,,0.0278,,,,,,,,0.0,0.0,,36.4,0.0,18.2,18.2,18.2
2020-04-25,SP,São José Do Rio Pardo,3,0,1,54946,3549706,1,2,0.333,0.0,,,,-0.0278,,,,,,,,0.0,0.0,,54.6,0.0,18.2,18.2,36.4
