Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-01,GO,Trindade,1,0,0,127599,5221403,0,1,,,,,,,,,,,,,,,0.0,,7.84,0.0,0.0,0.0,7.84
2020-04-02,GO,Trindade,1,0,0,127599,5221403,0,1,,,,,,,,,,,,,,,0.0,,7.84,0.0,0.0,0.0,7.84
2020-04-03,GO,Trindade,1,0,0,127599,5221403,0,1,,,,,,,,,,,,,,,0.0,,7.84,0.0,0.0,0.0,7.84
2020-04-04,GO,Trindade,1,0,0,127599,5221403,0,1,0.0,,,,,,,,,,,,,,0.0,,7.84,0.0,0.0,0.0,7.84
2020-04-05,GO,Trindade,1,0,0,127599,5221403,0,1,0.167,,,,,,,,,,,,,,0.0,,7.84,0.0,0.0,0.0,7.84
2020-04-06,GO,Trindade,1,0,0,127599,5221403,0,1,0.167,,,,,,,,,,,,,,0.0,,7.84,0.0,0.0,0.0,7.84
2020-04-07,GO,Trindade,1,0,0,127599,5221403,0,1,0.167,,,,,,,,,,,,,,0.0,,7.84,0.0,0.0,0.0,7.84
2020-04-08,GO,Trindade,2,0,0,127599,5221403,0,2,0.333,,,,,0.0278,,,,,,,,,0.0,,15.67,0.0,0.0,0.0,15.67
2020-04-09,GO,Trindade,2,0,0,127599,5221403,0,2,0.333,,,,,0.0556,,,,,,,,,0.0,,15.67,0.0,0.0,0.0,15.67
2020-04-10,GO,Trindade,2,0,0,127599,5221403,0,2,0.333,,,,,0.0556,,,,,-0.0069,,,,0.0,,15.67,0.0,0.0,0.0,15.67
2020-04-11,GO,Trindade,3,0,0,127599,5221403,0,3,0.333,,,,,0.0,,,,,-0.0139,,,,0.0,,23.51,0.0,0.0,0.0,23.51
2020-04-12,GO,Trindade,3,0,0,127599,5221403,0,3,0.5,,,,,0.0,,,,,-0.0208,,,,0.0,,23.51,0.0,0.0,0.0,23.51
2020-04-13,GO,Trindade,3,0,0,127599,5221403,0,3,0.5,,,,,0.0,,,,,,,,,0.0,,23.51,0.0,0.0,0.0,23.51
2020-04-14,GO,Trindade,4,0,0,127599,5221403,0,4,0.333,,,,,-0.0278,,,,,,,,,0.0,,31.35,0.0,0.0,0.0,31.35
2020-04-15,GO,Trindade,5,0,2,127599,5221403,2,3,0.333,,,,,-0.0278,,,,,,,,0.0,0.0,,39.19,0.0,15.67,15.67,23.51
2020-04-16,GO,Trindade,5,0,2,127599,5221403,2,3,0.333,,,,,-0.0278,,,,,,,,0.0,0.0,,39.19,0.0,15.67,15.67,23.51
2020-04-17,GO,Trindade,5,0,2,127599,5221403,2,3,0.167,,,,,0.0,,,,,,,,0.0,0.0,,39.19,0.0,15.67,15.67,23.51
2020-04-18,GO,Trindade,5,0,2,127599,5221403,2,3,0.333,0.333,,,,0.0,,,,,,,,0.0,0.0,,39.19,0.0,15.67,15.67,23.51
2020-04-19,GO,Trindade,5,0,3,127599,5221403,3,2,0.333,0.333,,,,0.0,,,,,,,,0.0,0.0,,39.19,0.0,23.51,23.51,15.67
2020-04-20,GO,Trindade,5,0,3,127599,5221403,3,2,0.333,0.333,,,,0.0278,,,,,,,,0.0,0.0,,39.19,0.0,23.51,23.51,15.67
2020-04-21,GO,Trindade,7,0,4,127599,5221403,4,3,0.333,0.333,,,,0.0,-0.0556,,,,,,,0.0,0.0,,54.86,0.0,31.35,31.35,23.51
2020-04-22,GO,Trindade,7,0,4,127599,5221403,4,3,0.333,0.0,,,,0.0556,-0.0278,,,,0.0139,,,0.0,0.0,,54.86,0.0,31.35,31.35,23.51
2020-04-23,GO,Trindade,7,0,4,127599,5221403,4,3,0.333,0.0,,,,0.0556,-0.0278,,,,,,,0.0,0.0,,54.86,0.0,31.35,31.35,23.51
2020-04-24,GO,Trindade,7,0,4,127599,5221403,4,3,0.333,0.0,,,,0.0833,-0.0278,,,,0.0069,-0.0122,,0.0,0.0,,54.86,0.0,31.35,31.35,23.51
2020-04-25,GO,Trindade,7,0,3,127599,5221403,3,4,0.667,0.167,,,,0.0833,,,,,0.0,,,0.0,0.0,,54.86,0.0,23.51,23.51,31.35
2020-04-26,GO,Trindade,7,0,3,127599,5221403,3,4,0.667,0.167,,,,0.0833,,,,,-0.0347,-0.0139,,0.0,0.0,,54.86,0.0,23.51,23.51,31.35
2020-04-27,GO,Trindade,9,0,4,127599,5221403,4,5,0.833,0.167,,,,0.0556,,,,,-0.0347,,,0.0,0.0,,70.53,0.0,31.35,31.35,39.19
2020-04-28,GO,Trindade,11,0,5,127599,5221403,5,6,0.833,0.333,,,,-0.0556,-0.0278,,,,-0.0486,,,0.0,0.0,,86.21,0.0,39.19,39.19,47.02
2020-04-29,GO,Trindade,11,0,5,127599,5221403,5,6,0.833,0.333,,,,-0.0556,-0.0278,,,,0.0069,,,0.0,0.0,,86.21,0.0,39.19,39.19,47.02
2020-04-30,GO,Trindade,12,0,5,127599,5221403,5,7,0.667,0.167,,,,-0.1111,-0.0278,,,,,,,0.0,0.0,,94.04,0.0,39.19,39.19,54.86
2020-05-01,GO,Trindade,12,0,5,127599,5221403,5,7,0.333,0.0,,,,0.0833,0.0278,,,,,0.0052,,0.0,0.0,,94.04,0.0,39.19,39.19,54.86
2020-05-02,GO,Trindade,12,0,5,127599,5221403,5,7,0.333,0.0,,,,0.139,0.0556,,,,,,,0.0,0.0,,94.04,0.0,39.19,39.19,54.86
2020-05-03,GO,Trindade,13,0,5,127599,5221403,5,8,0.167,0.0,,,,0.139,0.0833,,,,0.0278,,,0.0,0.0,,101.88,0.0,39.19,39.19,62.7
2020-05-04,GO,Trindade,13,0,5,127599,5221403,5,8,1.33,0.5,,,,0.194,,,,,0.0278,,,0.0,0.0,,101.88,0.0,39.19,39.19,62.7
2020-05-05,GO,Trindade,13,0,5,127599,5221403,5,8,1.67,0.667,,,,0.194,,,,,,,,0.0,0.0,,101.88,0.0,39.19,39.19,62.7
2020-05-06,GO,Trindade,13,0,5,127599,5221403,5,8,1.5,0.667,,,,0.25,,,,,,,,0.0,0.0,,101.88,0.0,39.19,39.19,62.7
2020-05-07,GO,Trindade,20,0,8,127599,5221403,8,12,1.5,0.667,,,,,,,,,,,,0.0,0.0,,156.74,0.0,62.7,62.7,94.04
2020-05-08,GO,Trindade,22,0,9,127599,5221403,9,13,1.5,0.667,,,,,,,,,,,,0.0,0.0,,172.42,0.0,70.53,70.53,101.88
2020-05-09,GO,Trindade,22,0,9,127599,5221403,9,13,1.67,,,,,,,,,,,,,0.0,0.0,,172.42,0.0,70.53,70.53,101.88
2020-05-10,GO,Trindade,22,0,9,127599,5221403,9,13,,,,,,,,,,,,,,0.0,0.0,,172.42,0.0,70.53,70.53,101.88
2020-05-11,GO,Trindade,22,0,9,127599,5221403,9,13,,,,,,,,,,,,,,0.0,0.0,,172.42,0.0,70.53,70.53,101.88
2020-05-12,GO,Trindade,23,0,,127599,5221403,,,,,,,,,,,,,,,,,0.0,,180.25,0.0,,,
2020-04-24,PE,Trindade,1,0,1,30521,2615607,1,0,,,,,,,,,,,,,,0.0,0.0,,32.76,0.0,32.76,32.76,0.0
2020-04-25,PE,Trindade,1,1,0,30521,2615607,1,0,,,,,,,,,,,,,,1.0,1.0,,32.76,32.76,0.0,32.76,0.0
2020-04-26,PE,Trindade,2,1,1,30521,2615607,2,0,,,,,,,,,,,,,,0.5,0.5,,65.53,32.76,32.76,65.53,0.0
2020-04-27,PE,Trindade,2,1,1,30521,2615607,2,0,0.5,0.167,,,,,,,,,,,,0.5,0.5,,65.53,32.76,32.76,65.53,0.0
2020-04-28,PE,Trindade,2,1,1,30521,2615607,2,0,0.5,,0.0,,,,,,,,,,,0.5,0.5,,65.53,32.76,32.76,65.53,0.0
2020-04-29,PE,Trindade,4,1,2,30521,2615607,3,1,0.5,0.167,0.0,0.167,0.333,,,,,,,,,0.333,0.25,,131.06,32.76,65.53,98.29,32.76
2020-04-30,PE,Trindade,4,1,2,30521,2615607,3,1,0.833,0.333,0.0,0.333,0.5,0.0,0.0,,,,,,,0.333,0.25,,131.06,32.76,65.53,98.29,32.76
2020-05-01,PE,Trindade,4,1,2,30521,2615607,3,1,0.833,0.333,0.0,0.333,0.5,0.0833,,,,,,,,0.333,0.25,,131.06,32.76,65.53,98.29,32.76
2020-05-02,PE,Trindade,5,1,2,30521,2615607,3,2,0.5,0.167,0.0,0.167,0.333,0.0556,0.0278,,,,,,,0.333,0.2,,163.82,32.76,65.53,98.29,65.53
2020-05-03,PE,Trindade,7,1,3,30521,2615607,4,3,0.5,0.167,0.0,0.167,0.333,-0.0556,-0.0278,,,,-0.0208,,,0.25,0.143,,229.35,32.76,98.29,131.06,98.29
