Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-31,SP,Votorantim,1,0,0,122480,3557006,0,1,,,,,,,,,,,,,,,0.0,0.034,8.16,0.0,0.0,0.0,8.16
2020-04-01,SP,Votorantim,1,0,0,122480,3557006,0,1,,,,,,,,,,,,,,,0.0,0.034,8.16,0.0,0.0,0.0,8.16
2020-04-02,SP,Votorantim,2,0,0,122480,3557006,0,2,,,,,,,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-03,SP,Votorantim,2,0,0,122480,3557006,0,2,,,,,,,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-04,SP,Votorantim,2,0,0,122480,3557006,0,2,0.208,,,,,,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-05,SP,Votorantim,2,0,0,122480,3557006,0,2,0.208,,,,,,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-06,SP,Votorantim,2,0,0,122480,3557006,0,2,0.0,,,,,,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-07,SP,Votorantim,2,0,0,122480,3557006,0,2,0.0,,,,,-0.0,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-08,SP,Votorantim,2,0,0,122480,3557006,0,2,0.0,,,,,-0.0,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-09,SP,Votorantim,2,0,0,122480,3557006,0,2,0.0,,,,,,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-10,SP,Votorantim,2,0,0,122480,3557006,0,2,0.0,,,,,,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-11,SP,Votorantim,2,0,0,122480,3557006,0,2,0.0,,,,,,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-12,SP,Votorantim,2,0,0,122480,3557006,0,2,0.119,,,,,,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-13,SP,Votorantim,2,0,0,122480,3557006,0,2,0.208,,,,,,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-14,SP,Votorantim,2,0,0,122480,3557006,0,2,0.208,,,,,,,,,,,,,,0.0,0.034,16.33,0.0,0.0,0.0,16.33
2020-04-15,SP,Votorantim,3,0,1,122480,3557006,1,2,0.312,,,,,0.13,,,,,,,,0.0,0.0,0.034,24.49,0.0,8.16,8.16,16.33
2020-04-16,SP,Votorantim,4,1,2,122480,3557006,3,1,0.68,,,,,0.181,,,,,,,,0.333,0.25,0.034,32.66,8.16,16.33,24.49,8.16
2020-04-17,SP,Votorantim,4,1,2,122480,3557006,3,1,0.68,,,,,0.204,,,,,-0.0405,,,0.333,0.25,0.034,32.66,8.16,16.33,24.49,8.16
2020-04-18,SP,Votorantim,4,1,2,122480,3557006,3,1,0.68,,,,,0.0669,,,,,-0.0392,,,0.333,0.25,0.034,32.66,8.16,16.33,24.49,8.16
