Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-28,174,42,45,128,1,0,4,4,0
2020-06-29,181,35,48,132,1,0,2,4,0
2020-06-30,188,29,50,137,1,0,1,5,0
2020-07-01,193,24,51,141,1,0,0,5,0
2020-07-02,198,20,51,146,1,0,0,5,0
2020-07-03,201,17,50,150,1,0,0,5,0
2020-07-04,205,15,49,155,1,0,0,4,0
2020-07-05,207,13,47,159,1,0,0,4,0
2020-07-06,209,11,45,163,1,0,0,4,0
2020-07-07,211,9,43,167,1,0,0,4,0
2020-07-08,213,8,41,171,1,0,0,4,0
2020-07-09,215,7,39,175,1,0,0,4,0
2020-07-10,216,6,37,178,1,0,0,3,0
2020-07-11,218,5,35,182,1,0,0,3,0
2020-07-12,219,5,33,185,1,0,0,3,0
2020-07-13,220,4,31,188,1,0,0,3,0
2020-07-14,220,4,29,190,1,0,0,3,0
2020-07-15,221,3,27,193,1,0,0,2,0
2020-07-16,221,3,25,195,1,0,0,2,0
2020-07-17,222,3,24,197,1,0,0,2,0
2020-07-18,222,3,22,199,1,0,0,2,0
2020-07-19,224,2,21,201,2,0,0,2,0
2020-07-20,224,2,19,203,2,0,0,2,0
2020-07-21,225,2,18,205,2,0,0,2,0
2020-07-22,225,2,17,206,2,0,0,2,0
2020-07-23,226,2,16,208,2,0,0,1,0
2020-07-24,225,2,14,209,2,0,0,1,0
2020-07-25,226,1,13,211,2,0,0,1,0
2020-07-26,227,1,13,212,2,0,0,1,0
2020-07-27,227,1,12,213,2,0,0,1,0
2020-07-28,227,1,11,214,2,0,0,1,0
2020-07-29,227,1,10,215,2,0,0,1,0
2020-07-30,227,1,9,216,2,0,0,1,0
2020-07-31,227,1,9,216,2,0,0,1,0
2020-08-01,227,1,8,217,2,0,0,1,0
2020-08-02,228,1,8,218,2,0,0,1,0
2020-08-03,228,1,7,219,2,0,0,1,0
2020-08-04,228,1,7,219,2,0,0,1,0
