Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-25,1444,152,394,1049,1,26,0,36,0
2020-06-26,1475,176,390,1084,1,21,0,35,0
2020-06-27,1511,195,390,1120,1,17,3,35,0
2020-06-28,1551,210,394,1155,2,14,5,36,0
2020-06-29,1593,224,400,1191,2,12,7,36,0
2020-06-30,1639,235,409,1228,2,11,9,37,0
2020-07-01,1685,245,418,1265,2,10,10,38,0
2020-07-02,1733,255,428,1303,2,9,11,39,0
2020-07-03,1785,264,440,1343,2,9,12,40,0
2020-07-04,1837,273,452,1383,2,8,12,41,0
2020-07-05,1891,281,464,1425,2,8,13,42,0
2020-07-06,1946,289,477,1467,2,8,13,43,0
2020-07-07,2004,297,491,1511,2,8,14,45,0
2020-07-08,2063,305,505,1556,2,8,14,46,0
2020-07-09,2123,314,519,1602,2,8,14,47,0
2020-07-10,2185,322,533,1650,2,8,15,48,0
2020-07-11,2249,330,548,1699,2,8,15,50,0
2020-07-12,2314,338,563,1749,2,8,15,51,0
2020-07-13,2381,346,578,1801,2,8,15,52,0
2020-07-14,2449,354,593,1854,2,8,16,54,0
2020-07-15,2520,363,609,1908,3,8,16,55,0
2020-07-16,2592,371,625,1964,3,8,16,57,0
2020-07-17,2665,379,641,2021,3,8,16,58,0
2020-07-18,2740,387,657,2080,3,8,16,60,0
2020-07-19,2816,395,673,2140,3,8,16,61,0
2020-07-20,2895,404,690,2202,3,8,16,63,0
2020-07-21,2974,412,706,2265,3,8,17,64,0
2020-07-22,3056,420,723,2330,3,8,17,66,0
2020-07-23,3138,428,739,2396,3,8,17,67,0
2020-07-24,3222,436,756,2463,3,8,17,69,0
2020-07-25,3309,444,773,2533,3,8,17,70,0
2020-07-26,3395,451,789,2603,3,8,17,72,0
2020-07-27,3486,459,806,2676,4,7,17,73,0
2020-07-28,3576,466,823,2749,4,7,17,75,0
2020-07-29,3668,474,839,2825,4,7,17,76,0
2020-07-30,3761,481,856,2901,4,7,16,78,0
2020-07-31,3856,488,872,2980,4,7,16,79,0
2020-08-01,3952,494,889,3059,4,7,16,81,0
2020-08-02,4050,501,905,3141,4,6,16,82,0
2020-08-03,4148,507,921,3223,4,6,16,84,0
2020-08-04,4247,513,936,3307,4,6,16,85,0
2020-08-05,4349,519,952,3393,4,6,15,86,0
2020-08-06,4452,524,967,3480,5,5,15,88,0
2020-08-07,4555,530,982,3568,5,5,15,89,0
2020-08-08,4659,535,996,3658,5,5,14,90,0
2020-08-09,4764,539,1010,3749,5,4,14,92,0
2020-08-10,4870,543,1024,3841,5,4,13,93,0
2020-08-11,4976,547,1037,3934,5,4,13,94,0
2020-08-12,5084,551,1050,4029,5,3,13,95,0
2020-08-13,5192,554,1062,4125,5,3,12,96,0
2020-08-14,5301,557,1074,4221,6,3,12,98,0
2020-08-15,5411,559,1086,4319,6,2,11,99,0
2020-08-16,5520,562,1096,4418,6,2,10,100,0
