Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-23,6431,1943,1719,4697,15,0,225,156,1
2020-06-24,6805,1848,1929,4860,16,0,187,175,1
2020-06-25,7162,1798,2105,5041,16,0,161,191,1
2020-06-26,7513,1779,2259,5237,17,0,143,205,1
2020-06-27,7863,1784,2398,5447,18,16,132,217,1
2020-06-28,8212,1805,2526,5668,18,30,124,229,1
2020-06-29,8569,1839,2649,5901,19,40,120,240,1
2020-06-30,8933,1883,2768,6145,20,48,118,251,1
2020-07-01,9306,1933,2885,6400,21,54,117,261,1
2020-07-02,9690,1988,3002,6666,22,58,117,272,1
2020-07-03,10083,2048,3119,6942,22,62,118,283,1
2020-07-04,10488,2110,3237,7228,23,64,119,293,1
2020-07-05,10908,2176,3358,7526,24,67,121,304,1
2020-07-06,11339,2243,3480,7834,25,69,123,315,1
2020-07-07,11784,2312,3604,8154,26,70,126,327,1
2020-07-08,12242,2383,3731,8484,27,71,128,338,1
2020-07-09,12716,2455,3860,8827,29,72,130,350,1
2020-07-10,13202,2527,3991,9181,30,73,133,362,1
2020-07-11,13702,2601,4124,9547,31,74,135,374,1
2020-07-12,14218,2675,4260,9926,32,75,137,386,1
2020-07-13,14747,2750,4398,10316,33,75,139,399,1
2020-07-14,15294,2825,4539,10720,35,75,141,411,1
2020-07-15,15853,2900,4681,11136,36,75,143,424,1
2020-07-16,16426,2976,4824,11565,37,75,145,437,1
2020-07-17,17016,3051,4970,12007,39,75,146,450,1
2020-07-18,17619,3125,5117,12462,40,74,148,464,1
2020-07-19,18238,3199,5265,12931,42,74,149,477,2
2020-07-20,18870,3273,5414,13413,43,73,150,491,2
2020-07-21,19518,3345,5564,13909,45,72,150,504,2
2020-07-22,20179,3417,5714,14418,47,71,150,518,2
2020-07-23,20853,3487,5864,14941,48,69,151,531,2
2020-07-24,21542,3555,6015,15477,50,68,150,545,2
2020-07-25,22244,3622,6165,16027,52,66,150,559,2
2020-07-26,22959,3687,6314,16591,54,64,149,572,2
2020-07-27,23686,3750,6463,17168,55,61,148,586,2
2020-07-28,24426,3810,6610,17759,57,59,146,599,2
2020-07-29,25177,3868,6755,18363,59,56,144,612,2
2020-07-30,25940,3923,6899,18980,61,53,142,625,2
2020-07-31,26713,3976,7040,19610,63,50,140,638,2
2020-08-01,27497,4025,7179,20253,65,47,137,651,2
2020-08-02,28290,4071,7314,20908,68,44,133,663,2
2020-08-03,29091,4114,7446,21575,70,40,130,675,2
2020-08-04,29900,4153,7574,22254,72,37,126,686,2
2020-08-05,30717,4188,7698,22945,74,33,121,698,2
2020-08-06,31540,4220,7818,23646,76,29,117,708,2
2020-08-07,32371,4247,7933,24359,79,25,112,719,2
2020-08-08,33204,4271,8042,25081,81,21,106,729,2
2020-08-09,34044,4290,8147,25814,83,17,101,738,2
2020-08-10,34886,4305,8245,26555,86,12,95,747,2
2020-08-11,35731,4316,8337,27306,88,8,88,755,2
2020-08-12,36578,4322,8423,28064,91,4,82,763,2
2020-08-13,37425,4325,8502,28830,93,0,75,770,2
2020-08-14,38274,4323,8575,29603,96,0,68,777,3
2020-08-15,39120,4316,8640,30382,98,0,61,783,3
2020-08-16,39966,4305,8698,31167,101,0,53,788,3
2020-08-17,40809,4290,8749,31957,103,0,46,793,3
2020-08-18,41650,4271,8792,32752,106,0,38,797,3
2020-08-19,42485,4248,8827,33550,108,0,31,800,3
2020-08-20,43316,4221,8855,34350,111,0,23,802,3
2020-08-21,44143,4190,8875,35154,114,0,15,804,3
2020-08-22,44960,4156,8886,35958,116,0,7,805,3
2020-08-23,45773,4117,8890,36764,119,0,0,806,3
2020-08-24,46577,4076,8887,37569,121,0,0,805,3
2020-08-25,47373,4031,8875,38374,124,0,0,804,3
2020-08-26,48161,3983,8856,39178,127,0,0,802,3
2020-08-27,48937,3932,8829,39979,129,0,0,800,3
2020-08-28,49704,3878,8794,40778,132,0,0,797,3
2020-08-29,50460,3822,8752,41574,134,0,0,793,3
2020-08-30,51205,3763,8703,42365,137,0,0,789,3
2020-08-31,51938,3702,8647,43152,139,0,0,784,3
2020-09-01,52661,3640,8585,43934,142,0,0,778,3
2020-09-02,53370,3575,8516,44709,145,0,0,772,2
2020-09-03,54065,3509,8440,45478,147,0,0,765,2
2020-09-04,54748,3442,8359,46240,149,0,0,757,2
2020-09-05,55419,3373,8272,46995,152,0,0,750,2
2020-09-06,56074,3304,8179,47741,154,0,0,741,2
2020-09-07,56717,3233,8081,48479,157,0,0,732,2
2020-09-08,57346,3162,7979,49208,159,0,0,723,2
2020-09-09,57960,3091,7872,49927,161,0,0,713,2
2020-09-10,58562,3019,7761,50637,164,0,0,703,2
2020-09-11,59148,2947,7646,51336,166,0,0,693,2
2020-09-12,59720,2875,7527,52025,168,0,0,682,2
2020-09-13,60278,2803,7405,52703,170,0,0,671,2
2020-09-14,60823,2731,7281,53370,172,0,0,660,2
2020-09-15,61353,2660,7153,54025,175,0,0,648,2
2020-09-16,61870,2589,7024,54669,177,0,0,636,2
2020-09-17,62372,2519,6892,55301,179,0,0,625,2
2020-09-18,62861,2449,6759,55921,181,0,0,612,2
2020-09-19,63336,2381,6624,56529,183,0,0,600,2
2020-09-20,63799,2313,6489,57125,185,0,0,588,2
2020-09-21,64247,2246,6352,57708,187,0,0,576,2
2020-09-22,64682,2180,6215,58279,188,0,0,563,2
2020-09-23,65105,2115,6077,58838,190,0,0,551,2
2020-09-24,65515,2052,5939,59384,192,0,0,538,2
2020-09-25,65913,1989,5802,59917,194,0,0,526,2
2020-09-26,66297,1928,5664,60438,195,0,0,513,2
2020-09-27,66672,1868,5528,60947,197,0,0,501,2
2020-09-28,67034,1809,5392,61443,199,0,0,489,2
2020-09-29,67384,1751,5257,61927,200,0,0,476,2
2020-09-30,67724,1695,5123,62399,202,0,0,464,2
2020-10-01,68052,1640,4990,62859,203,0,0,452,1
2020-10-02,68369,1587,4858,63306,205,0,0,440,1
2020-10-03,68676,1535,4728,63742,206,0,0,428,1
2020-10-04,68973,1484,4600,64166,207,0,0,417,1
2020-10-05,69261,1434,4473,64579,209,0,0,405,1
2020-10-06,69539,1386,4349,64980,210,0,0,394,1
2020-10-07,69807,1339,4226,65370,211,0,0,383,1
2020-10-08,70066,1293,4105,65748,213,0,0,372,1
2020-10-09,70316,1249,3986,66116,214,0,0,361,1
2020-10-10,70559,1206,3870,66474,215,0,0,351,1
2020-10-11,70791,1164,3755,66820,216,0,0,340,1
2020-10-12,71017,1124,3643,67157,217,0,0,330,1
2020-10-13,71234,1085,3533,67483,218,0,0,320,1
2020-10-14,71444,1047,3425,67800,219,0,0,310,1
2020-10-15,71646,1010,3320,68106,220,0,0,301,1
2020-10-16,71842,974,3217,68404,221,0,0,292,1
2020-10-17,72030,939,3116,68692,222,0,0,282,1
2020-10-18,72212,906,3018,68971,223,0,0,273,1
2020-10-19,72387,873,2922,69241,224,0,0,265,1
2020-10-20,72557,842,2829,69503,225,0,0,256,1
