Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-08,1918,579,436,1473,9,0,74,39,0
2020-07-09,2029,531,504,1515,10,0,58,45,0
2020-07-10,2129,499,557,1562,10,0,47,50,0
2020-07-11,2225,479,601,1614,10,0,39,54,0
2020-07-12,2318,468,638,1669,11,0,34,58,0
2020-07-13,2409,463,670,1728,11,0,30,61,0
2020-07-14,2500,462,699,1790,11,2,27,63,0
2020-07-15,2591,465,725,1854,12,5,25,66,0
2020-07-16,2682,471,750,1920,12,7,24,68,0
2020-07-17,2776,478,774,1989,13,8,23,70,0
2020-07-18,2870,487,797,2060,13,10,23,72,0
2020-07-19,2965,497,820,2132,13,11,23,74,0
2020-07-20,3064,508,843,2207,14,11,23,76,0
2020-07-21,3164,520,866,2284,14,12,23,78,0
2020-07-22,3268,532,890,2363,15,13,23,80,1
2020-07-23,3372,545,913,2444,15,13,24,82,1
2020-07-24,3481,558,937,2528,16,13,24,85,1
2020-07-25,3591,572,962,2613,16,14,25,87,1
2020-07-26,3704,586,986,2701,17,14,25,89,1
2020-07-27,3821,600,1012,2791,18,15,26,91,1
2020-07-28,3939,615,1038,2883,18,15,26,94,1
2020-07-29,4061,630,1064,2978,19,15,27,96,1
2020-07-30,4185,645,1091,3075,19,16,27,99,1
2020-07-31,4313,661,1119,3174,20,16,28,101,1
2020-08-01,4444,677,1147,3276,21,16,29,104,1
2020-08-02,4578,694,1176,3381,21,17,29,106,1
2020-08-03,4715,710,1205,3488,22,17,30,109,1
2020-08-04,4856,727,1235,3598,23,17,30,112,1
2020-08-05,5000,745,1266,3711,23,18,31,114,1
2020-08-06,5147,763,1297,3826,24,18,32,117,1
2020-08-07,5298,781,1329,3944,25,18,32,120,1
2020-08-08,5452,799,1361,4065,26,19,33,123,1
2020-08-09,5609,818,1394,4189,26,19,34,126,1
2020-08-10,5772,837,1428,4317,27,19,34,129,1
2020-08-11,5938,856,1463,4447,28,20,35,132,1
2020-08-12,6107,876,1498,4580,29,20,36,135,1
2020-08-13,6281,896,1534,4717,30,20,36,139,1
2020-08-14,6457,916,1570,4856,31,21,37,142,1
2020-08-15,6638,937,1607,4999,32,21,38,145,1
2020-08-16,6823,958,1645,5146,32,21,38,149,1
2020-08-17,7013,979,1684,5296,33,22,39,152,1
2020-08-18,7206,1001,1723,5449,34,22,40,156,1
2020-08-19,7404,1023,1763,5606,35,22,40,159,1
2020-08-20,7607,1045,1804,5767,36,23,41,163,1
2020-08-21,7813,1068,1845,5931,37,23,42,167,1
2020-08-22,8024,1091,1887,6099,38,23,42,170,1
2020-08-23,8240,1114,1929,6271,40,23,43,174,1
2020-08-24,8461,1138,1973,6447,41,24,44,178,1
2020-08-25,8686,1162,2017,6627,42,24,44,182,1
