Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-19,951,0,171,776,4,33,0,15,0
2020-07-20,953,30,158,791,4,25,0,14,0
2020-07-21,961,53,152,805,4,19,0,14,0
2020-07-22,973,70,150,819,4,15,0,14,0
2020-07-23,987,85,151,832,4,13,3,14,0
2020-07-24,1005,97,155,846,4,11,5,14,0
2020-07-25,1025,107,160,860,5,10,6,14,0
2020-07-26,1047,117,167,875,5,9,8,15,0
2020-07-27,1070,126,175,890,5,9,9,16,0
2020-07-28,1096,135,185,906,5,9,10,17,0
2020-07-29,1123,145,195,923,5,9,11,18,0
2020-07-30,1152,154,206,941,5,9,11,19,0
2020-07-31,1182,164,217,960,5,10,12,20,0
2020-08-01,1215,173,230,980,5,10,13,21,0
2020-08-02,1250,184,243,1002,5,11,14,22,0
2020-08-03,1287,195,258,1024,5,11,15,23,0
2020-08-04,1327,206,273,1048,6,12,16,25,0
2020-08-05,1368,218,289,1073,6,12,17,26,0
2020-08-06,1412,231,306,1100,6,13,17,28,0
2020-08-07,1457,244,323,1128,6,14,18,29,0
2020-08-08,1506,258,342,1158,6,14,19,31,0
2020-08-09,1557,273,362,1189,6,15,21,33,0
2020-08-10,1613,288,383,1223,7,16,22,35,0
2020-08-11,1670,304,405,1258,7,17,23,37,0
2020-08-12,1731,321,428,1296,7,18,24,39,0
2020-08-13,1795,339,453,1335,7,18,25,41,0
2020-08-14,1863,358,479,1377,7,19,27,43,0
2020-08-15,1935,377,506,1421,8,20,28,46,0
2020-08-16,2010,398,534,1468,8,21,29,48,0
2020-08-17,2089,419,564,1517,8,22,31,51,0
2020-08-18,2173,442,596,1569,8,23,32,54,0
2020-08-19,2262,465,629,1624,9,24,34,57,0
2020-08-20,2355,490,664,1682,9,25,36,60,0
2020-08-21,2453,515,700,1744,9,26,37,63,0
2020-08-22,2556,542,738,1808,10,27,39,67,0
2020-08-23,2664,570,778,1876,10,28,41,70,0
2020-08-24,2778,599,820,1948,10,29,43,74,0
2020-08-25,2898,628,863,2024,11,31,45,78,0
