Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-21,884,96,156,726,2,0,5,14,0
2020-07-22,902,89,160,740,2,0,3,15,0
2020-07-23,920,85,163,755,2,0,2,15,0
2020-07-24,936,81,164,770,2,0,1,15,0
2020-07-25,952,77,165,785,2,0,0,15,0
2020-07-26,967,75,165,800,2,0,0,15,0
2020-07-27,981,73,164,815,2,0,0,15,0
2020-07-28,994,71,163,829,2,0,0,15,0
2020-07-29,1008,69,162,844,2,0,0,15,0
2020-07-30,1022,68,161,859,2,0,0,15,0
2020-07-31,1035,67,160,873,2,0,0,14,0
2020-08-01,1048,66,158,888,2,0,0,14,0
2020-08-02,1061,65,157,902,2,0,0,14,0
2020-08-03,1073,64,155,916,2,0,0,14,0
2020-08-04,1085,63,153,930,2,0,0,14,0
2020-08-05,1098,62,152,944,2,0,0,14,0
2020-08-06,1110,61,150,958,2,0,0,14,0
2020-08-07,1122,60,148,972,2,0,0,13,0
2020-08-08,1134,59,147,985,2,0,0,13,0
2020-08-09,1145,59,145,998,2,0,0,13,0
2020-08-10,1157,58,143,1011,3,0,0,13,0
2020-08-11,1169,57,142,1024,3,0,0,13,0
2020-08-12,1180,56,140,1037,3,0,0,13,0
2020-08-13,1191,56,138,1050,3,0,0,13,0
2020-08-14,1202,55,137,1062,3,0,0,12,0
2020-08-15,1213,54,135,1075,3,0,0,12,0
2020-08-16,1224,54,134,1087,3,0,0,12,0
2020-08-17,1234,53,132,1099,3,0,0,12,0
2020-08-18,1244,52,130,1111,3,0,0,12,0
2020-08-19,1254,52,129,1122,3,0,0,12,0
2020-08-20,1264,51,127,1134,3,0,0,12,0
2020-08-21,1275,50,126,1146,3,0,0,11,0
2020-08-22,1284,50,124,1157,3,0,0,11,0
2020-08-23,1293,49,122,1168,3,0,0,11,0
2020-08-24,1303,48,121,1179,3,0,0,11,0
2020-08-25,1312,48,119,1190,3,0,0,11,0
2020-08-26,1322,47,118,1201,3,0,0,11,0
2020-08-27,1330,46,116,1211,3,0,0,11,0
2020-08-28,1340,46,115,1222,3,0,0,10,0
2020-08-29,1348,45,113,1232,3,0,0,10,0
2020-08-30,1358,44,112,1243,3,0,0,10,0
2020-08-31,1366,44,110,1253,3,0,0,10,0
2020-09-01,1375,43,109,1263,3,0,0,10,0
2020-09-02,1383,43,108,1272,3,0,0,10,0
2020-09-03,1391,42,106,1282,3,0,0,10,0
2020-09-04,1400,42,105,1292,3,0,0,10,0
2020-09-05,1407,41,103,1301,3,0,0,9,0
2020-09-06,1416,40,102,1311,3,0,0,9,0
2020-09-07,1424,40,101,1320,3,0,0,9,0
2020-09-08,1431,39,99,1329,3,0,0,9,0
2020-09-09,1439,39,98,1338,3,0,0,9,0
2020-09-10,1447,38,97,1347,3,0,0,9,0
2020-09-11,1453,38,95,1355,3,0,0,9,0
2020-09-12,1461,37,94,1364,3,0,0,9,0
2020-09-13,1468,37,93,1372,3,0,0,8,0
2020-09-14,1476,36,92,1381,3,0,0,8,0
2020-09-15,1482,36,90,1389,3,0,0,8,0
2020-09-16,1489,35,89,1397,3,0,0,8,0
2020-09-17,1497,35,88,1405,4,0,0,8,0
2020-09-18,1504,34,87,1413,4,0,0,8,0
2020-09-19,1511,34,86,1421,4,0,0,8,0
2020-09-20,1517,33,84,1429,4,0,0,8,0
2020-09-21,1523,33,83,1436,4,0,0,8,0
2020-09-22,1530,32,82,1444,4,0,0,7,0
2020-09-23,1536,32,81,1451,4,0,0,7,0
2020-09-24,1543,31,80,1459,4,0,0,7,0
2020-09-25,1549,31,79,1466,4,0,0,7,0
2020-09-26,1555,30,78,1473,4,0,0,7,0
2020-09-27,1561,30,77,1480,4,0,0,7,0
2020-09-28,1566,30,75,1487,4,0,0,7,0
2020-09-29,1572,29,74,1494,4,0,0,7,0
2020-09-30,1577,29,73,1500,4,0,0,7,0
2020-10-01,1583,28,72,1507,4,0,0,7,0
2020-10-02,1589,28,71,1514,4,0,0,6,0
2020-10-03,1594,27,70,1520,4,0,0,6,0
2020-10-04,1599,27,69,1526,4,0,0,6,0
2020-10-05,1605,27,68,1533,4,0,0,6,0
2020-10-06,1610,26,67,1539,4,0,0,6,0
2020-10-07,1615,26,66,1545,4,0,0,6,0
2020-10-08,1620,26,65,1551,4,0,0,6,0
2020-10-09,1625,25,64,1557,4,0,0,6,0
2020-10-10,1630,25,64,1562,4,0,0,6,0
2020-10-11,1635,24,63,1568,4,0,0,6,0
2020-10-12,1640,24,62,1574,4,0,0,6,0
2020-10-13,1644,24,61,1579,4,0,0,6,0
2020-10-14,1649,23,60,1585,4,0,0,5,0
2020-10-15,1653,23,59,1590,4,0,0,5,0
2020-10-16,1658,23,58,1596,4,0,0,5,0
2020-10-17,1662,22,57,1601,4,0,0,5,0
2020-10-18,1667,22,57,1606,4,0,0,5,0
2020-10-19,1671,22,56,1611,4,0,0,5,0
2020-10-20,1675,21,55,1616,4,0,0,5,0
2020-10-21,1679,21,54,1621,4,0,0,5,0
2020-10-22,1683,21,53,1626,4,0,0,5,0
2020-10-23,1688,20,53,1631,4,0,0,5,0
2020-10-24,1692,20,52,1636,4,0,0,5,0
2020-10-25,1695,20,51,1640,4,0,0,5,0
2020-10-26,1699,19,50,1645,4,0,0,5,0
2020-10-27,1703,19,50,1649,4,0,0,4,0
2020-10-28,1707,19,49,1654,4,0,0,4,0
2020-10-29,1710,19,48,1658,4,0,0,4,0
2020-10-30,1714,18,47,1663,4,0,0,4,0
2020-10-31,1718,18,47,1667,4,0,0,4,0
2020-11-01,1721,18,46,1671,4,0,0,4,0
2020-11-02,1724,18,45,1675,4,0,0,4,0
2020-11-03,1728,17,45,1679,4,0,0,4,0
2020-11-04,1731,17,44,1683,4,0,0,4,0
2020-11-05,1734,17,43,1687,4,0,0,4,0
2020-11-06,1738,16,43,1691,4,0,0,4,0
2020-11-07,1741,16,42,1695,4,0,0,4,0
2020-11-08,1744,16,41,1699,4,0,0,4,0
2020-11-09,1748,16,41,1703,4,0,0,4,0
2020-11-10,1750,16,40,1706,4,0,0,4,0
2020-11-11,1754,15,40,1710,4,0,0,4,0
2020-11-12,1756,15,39,1713,4,0,0,4,0
2020-11-13,1759,15,38,1717,4,0,0,3,0
2020-11-14,1762,15,38,1720,4,0,0,3,0
2020-11-15,1765,14,37,1724,4,0,0,3,0
2020-11-16,1768,14,37,1727,4,0,0,3,0
2020-11-17,1770,14,36,1730,4,0,0,3,0
2020-11-18,1774,14,36,1734,4,0,0,3,0
2020-11-19,1776,13,35,1737,4,0,0,3,0
2020-11-20,1778,13,34,1740,4,0,0,3,0
2020-11-21,1781,13,34,1743,4,0,0,3,0
2020-11-22,1783,13,33,1746,4,0,0,3,0
2020-11-23,1786,13,33,1749,4,0,0,3,0
2020-11-24,1788,12,32,1752,4,0,0,3,0
2020-11-25,1791,12,32,1755,4,0,0,3,0
2020-11-26,1793,12,31,1758,4,0,0,3,0
2020-11-27,1796,12,31,1761,4,0,0,3,0
2020-11-28,1798,12,30,1764,4,0,0,3,0
2020-11-29,1800,12,30,1766,4,0,0,3,0
2020-11-30,1803,11,30,1769,4,0,0,3,0
2020-12-01,1805,11,29,1772,4,0,0,3,0
2020-12-02,1807,11,29,1774,4,0,0,3,0
2020-12-03,1809,11,28,1777,4,0,0,3,0
2020-12-04,1811,11,28,1779,4,0,0,3,0
2020-12-05,1813,11,27,1782,4,0,0,2,0
2020-12-06,1815,10,27,1784,4,0,0,2,0
2020-12-07,1817,10,26,1787,4,0,0,2,0
2020-12-08,1819,10,26,1789,4,0,0,2,0
2020-12-09,1822,10,26,1792,4,0,0,2,0
2020-12-10,1823,10,25,1794,4,0,0,2,0
2020-12-11,1825,10,25,1796,4,0,0,2,0
2020-12-12,1827,9,25,1798,4,0,0,2,0
2020-12-13,1829,9,24,1801,4,0,0,2,0
2020-12-14,1831,9,24,1803,4,0,0,2,0
2020-12-15,1832,9,23,1805,4,0,0,2,0
2020-12-16,1835,9,23,1807,5,0,0,2,0
2020-12-17,1837,9,23,1809,5,0,0,2,0
2020-12-18,1838,9,22,1811,5,0,0,2,0
2020-12-19,1840,8,22,1813,5,0,0,2,0
2020-12-20,1842,8,22,1815,5,0,0,2,0
2020-12-21,1843,8,21,1817,5,0,0,2,0
2020-12-22,1845,8,21,1819,5,0,0,2,0
2020-12-23,1847,8,21,1821,5,0,0,2,0
2020-12-24,1848,8,20,1823,5,0,0,2,0
2020-12-25,1850,8,20,1825,5,0,0,2,0
2020-12-26,1851,8,20,1826,5,0,0,2,0
2020-12-27,1852,7,19,1828,5,0,0,2,0
2020-12-28,1854,7,19,1830,5,0,0,2,0
2020-12-29,1856,7,19,1832,5,0,0,2,0
2020-12-30,1856,7,18,1833,5,0,0,2,0
2020-12-31,1858,7,18,1835,5,0,0,2,0
2021-01-01,1860,7,18,1837,5,0,0,2,0
2021-01-02,1861,7,18,1838,5,0,0,2,0
2021-01-03,1862,7,17,1840,5,0,0,2,0
2021-01-04,1863,7,17,1841,5,0,0,2,0
2021-01-05,1865,6,17,1843,5,0,0,2,0
2021-01-06,1867,6,17,1845,5,0,0,2,0
2021-01-07,1867,6,16,1846,5,0,0,1,0
2021-01-08,1868,6,16,1847,5,0,0,1,0
2021-01-09,1870,6,16,1849,5,0,0,1,0
2021-01-10,1871,6,16,1850,5,0,0,1,0
2021-01-11,1872,6,15,1852,5,0,0,1,0
2021-01-12,1873,6,15,1853,5,0,0,1,0
2021-01-13,1874,6,15,1854,5,0,0,1,0
2021-01-14,1876,6,15,1856,5,0,0,1,0
2021-01-15,1876,5,14,1857,5,0,0,1,0
2021-01-16,1877,5,14,1858,5,0,0,1,0
2021-01-17,1879,5,14,1860,5,0,0,1,0
2021-01-18,1880,5,14,1861,5,0,0,1,0
2021-01-19,1880,5,13,1862,5,0,0,1,0
2021-01-20,1881,5,13,1863,5,0,0,1,0
2021-01-21,1883,5,13,1865,5,0,0,1,0
2021-01-22,1884,5,13,1866,5,0,0,1,0
2021-01-23,1885,5,13,1867,5,0,0,1,0
2021-01-24,1885,5,12,1868,5,0,0,1,0
2021-01-25,1886,5,12,1869,5,0,0,1,0
2021-01-26,1887,5,12,1870,5,0,0,1,0
2021-01-27,1888,5,12,1871,5,0,0,1,0
2021-01-28,1889,4,12,1872,5,0,0,1,0
2021-01-29,1890,4,11,1874,5,0,0,1,0
2021-01-30,1891,4,11,1875,5,0,0,1,0
2021-01-31,1892,4,11,1876,5,0,0,1,0
2021-02-01,1893,4,11,1877,5,0,0,1,0
2021-02-02,1894,4,11,1878,5,0,0,1,0
2021-02-03,1895,4,11,1879,5,0,0,1,0
2021-02-04,1894,4,10,1879,5,0,0,1,0
2021-02-05,1895,4,10,1880,5,0,0,1,0
2021-02-06,1896,4,10,1881,5,0,0,1,0
2021-02-07,1897,4,10,1882,5,0,0,1,0
2021-02-08,1898,4,10,1883,5,0,0,1,0
2021-02-09,1899,4,10,1884,5,0,0,1,0
2021-02-10,1899,4,9,1885,5,0,0,1,0
2021-02-11,1900,4,9,1886,5,0,0,1,0
2021-02-12,1901,4,9,1887,5,0,0,1,0
2021-02-13,1901,3,9,1887,5,0,0,1,0
2021-02-14,1902,3,9,1888,5,0,0,1,0
2021-02-15,1903,3,9,1889,5,0,0,1,0
2021-02-16,1904,3,9,1890,5,0,0,1,0
2021-02-17,1904,3,8,1891,5,0,0,1,0
2021-02-18,1904,3,8,1891,5,0,0,1,0
2021-02-19,1905,3,8,1892,5,0,0,1,0
2021-02-20,1906,3,8,1893,5,0,0,1,0
2021-02-21,1907,3,8,1894,5,0,0,1,0
2021-02-22,1907,3,8,1894,5,0,0,1,0
2021-02-23,1908,3,8,1895,5,0,0,1,0
2021-02-24,1909,3,8,1896,5,0,0,1,0
2021-02-25,1908,3,7,1896,5,0,0,1,0
2021-02-26,1909,3,7,1897,5,0,0,1,0
2021-02-27,1910,3,7,1898,5,0,0,1,0
2021-02-28,1910,3,7,1898,5,0,0,1,0
2021-03-01,1911,3,7,1899,5,0,0,1,0
2021-03-02,1912,3,7,1900,5,0,0,1,0
2021-03-03,1912,3,7,1900,5,0,0,1,0
2021-03-04,1913,3,7,1901,5,0,0,1,0
2021-03-05,1913,3,7,1901,5,0,0,1,0
2021-03-06,1913,2,6,1902,5,0,0,1,0
2021-03-07,1914,2,6,1903,5,0,0,1,0
2021-03-08,1914,2,6,1903,5,0,0,1,0
2021-03-09,1915,2,6,1904,5,0,0,1,0
2021-03-10,1915,2,6,1904,5,0,0,1,0
2021-03-11,1916,2,6,1905,5,0,0,1,0
2021-03-12,1916,2,6,1905,5,0,0,1,0
2021-03-13,1917,2,6,1906,5,0,0,1,0
2021-03-14,1917,2,6,1906,5,0,0,1,0
2021-03-15,1918,2,6,1907,5,0,0,1,0
2021-03-16,1917,2,5,1907,5,0,0,0,0
2021-03-17,1918,2,5,1908,5,0,0,0,0
2021-03-18,1918,2,5,1908,5,0,0,0,0
2021-03-19,1919,2,5,1909,5,0,0,0,0
2021-03-20,1919,2,5,1909,5,0,0,0,0
2021-03-21,1920,2,5,1910,5,0,0,0,0
2021-03-22,1920,2,5,1910,5,0,0,0,0
2021-03-23,1921,2,5,1911,5,0,0,0,0
2021-03-24,1921,2,5,1911,5,0,0,0,0
2021-03-25,1922,2,5,1912,5,0,0,0,0
2021-03-26,1922,2,5,1912,5,0,0,0,0
2021-03-27,1923,2,5,1913,5,0,0,0,0
2021-03-28,1923,2,5,1913,5,0,0,0,0
2021-03-29,1922,2,4,1913,5,0,0,0,0
2021-03-30,1923,2,4,1914,5,0,0,0,0
2021-03-31,1923,2,4,1914,5,0,0,0,0
2021-04-01,1924,2,4,1915,5,0,0,0,0
2021-04-02,1924,2,4,1915,5,0,0,0,0
2021-04-03,1924,2,4,1915,5,0,0,0,0
2021-04-04,1925,2,4,1916,5,0,0,0,0
2021-04-05,1925,2,4,1916,5,0,0,0,0
2021-04-06,1925,1,4,1916,5,0,0,0,0
2021-04-07,1926,1,4,1917,5,0,0,0,0
2021-04-08,1926,1,4,1917,5,0,0,0,0
2021-04-09,1926,1,4,1917,5,0,0,0,0
2021-04-10,1927,1,4,1918,5,0,0,0,0
2021-04-11,1927,1,4,1918,5,0,0,0,0
2021-04-12,1927,1,4,1918,5,0,0,0,0
2021-04-13,1927,1,3,1919,5,0,0,0,0
2021-04-14,1927,1,3,1919,5,0,0,0,0
2021-04-15,1927,1,3,1919,5,0,0,0,0
2021-04-16,1928,1,3,1920,5,0,0,0,0
2021-04-17,1928,1,3,1920,5,0,0,0,0
2021-04-18,1928,1,3,1920,5,0,0,0,0
2021-04-19,1929,1,3,1921,5,0,0,0,0
2021-04-20,1929,1,3,1921,5,0,0,0,0
2021-04-21,1929,1,3,1921,5,0,0,0,0
2021-04-22,1929,1,3,1921,5,0,0,0,0
2021-04-23,1930,1,3,1922,5,0,0,0,0
2021-04-24,1930,1,3,1922,5,0,0,0,0
2021-04-25,1930,1,3,1922,5,0,0,0,0
2021-04-26,1930,1,3,1922,5,0,0,0,0
2021-04-27,1931,1,3,1923,5,0,0,0,0
