Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-18,5264,60,1476,3784,4,219,0,134,0
2020-06-19,5292,257,1373,3914,5,164,0,125,0
2020-06-20,5353,406,1312,4036,5,125,0,119,0
2020-06-21,5442,520,1283,4154,5,98,0,116,0
2020-06-22,5550,610,1275,4270,5,79,4,116,0
2020-06-23,5675,683,1284,4386,5,65,17,117,0
2020-06-24,5814,745,1306,4503,5,56,27,119,0
2020-06-25,5964,799,1336,4623,5,50,35,121,0
2020-06-26,6125,847,1374,4745,6,46,41,125,0
2020-06-27,6295,893,1417,4872,6,44,46,129,0
2020-06-28,6473,936,1465,5002,6,42,50,133,0
2020-06-29,6659,978,1516,5137,6,42,54,138,0
2020-06-30,6853,1019,1571,5276,6,41,57,143,0
2020-07-01,7056,1061,1629,5421,6,42,60,148,0
2020-07-02,7268,1102,1690,5571,7,42,63,153,0
2020-07-03,7487,1145,1754,5726,7,43,65,159,0
2020-07-04,7715,1189,1820,5888,7,44,68,165,0
2020-07-05,7950,1233,1888,6055,7,45,70,171,0
2020-07-06,8195,1279,1959,6229,7,46,73,178,0
2020-07-07,8451,1326,2033,6410,8,48,75,185,0
2020-07-08,8714,1374,2109,6597,8,49,78,192,0
2020-07-09,8987,1423,2188,6791,8,50,80,199,0
2020-07-10,9269,1474,2269,6992,8,52,83,206,0
2020-07-11,9562,1526,2353,7201,8,53,85,214,0
2020-07-12,9866,1580,2439,7418,9,54,88,221,0
2020-07-13,10179,1635,2528,7642,9,56,91,230,0
2020-07-14,10504,1691,2620,7875,9,57,93,238,0
2020-07-15,10840,1749,2714,8116,10,59,96,246,0
2020-07-16,11187,1808,2811,8366,10,60,99,255,0
2020-07-17,11545,1869,2911,8624,10,62,102,264,0
2020-07-18,11916,1931,3014,8892,10,63,105,274,0
2020-07-19,12300,1995,3120,9169,11,64,107,283,0
2020-07-20,12696,2060,3229,9456,11,66,110,293,0
2020-07-21,13104,2126,3340,9753,11,67,113,303,0
2020-07-22,13527,2193,3454,10061,12,68,116,314,0
2020-07-23,13961,2262,3571,10378,12,70,119,324,0
2020-07-24,14410,2333,3691,10706,13,71,122,335,0
2020-07-25,14873,2404,3814,11046,13,72,125,346,0
2020-07-26,15349,2476,3940,11396,13,73,127,358,0
2020-07-27,15841,2550,4068,11759,14,74,130,369,0
2020-07-28,16346,2625,4200,12132,14,75,133,381,0
2020-07-29,16866,2701,4333,12518,15,76,136,393,0
2020-07-30,17401,2777,4470,12916,15,77,138,406,0
2020-07-31,17952,2855,4609,13327,16,78,141,419,0
2020-08-01,18517,2933,4751,13750,16,79,143,431,1
2020-08-02,19099,3012,4895,14187,17,79,146,444,1
2020-08-03,19694,3091,5041,14636,17,80,148,458,1
2020-08-04,20307,3171,5190,15099,18,80,150,471,1
2020-08-05,20934,3251,5341,15575,18,80,152,485,1
2020-08-06,21577,3331,5493,16065,19,80,154,499,1
2020-08-07,22237,3412,5648,16569,20,80,156,513,1
2020-08-08,22911,3492,5804,17087,20,80,157,527,1
2020-08-09,23602,3572,5961,17620,21,80,158,541,1
2020-08-10,24308,3652,6120,18167,21,79,160,556,1
2020-08-11,25030,3731,6280,18728,22,79,161,570,1
2020-08-12,25767,3809,6441,19303,23,78,161,585,1
2020-08-13,26520,3887,6603,19894,23,77,162,600,1
2020-08-14,27288,3963,6765,20499,24,76,162,614,1
2020-08-15,28071,4039,6927,21119,25,75,162,629,1
2020-08-16,28868,4113,7089,21753,26,73,162,644,1
2020-08-17,29679,4185,7251,22402,26,71,161,658,1
2020-08-18,30505,4256,7412,23066,27,70,161,673,1
2020-08-19,31345,4325,7572,23745,28,68,160,688,1
2020-08-20,32198,4391,7731,24438,29,65,158,702,1
2020-08-21,33064,4456,7889,25145,30,63,157,716,1
2020-08-22,33942,4518,8045,25867,30,60,155,730,1
2020-08-23,34833,4577,8199,26603,31,58,152,744,1
2020-08-24,35734,4634,8350,27352,32,55,150,758,1
2020-08-25,36646,4688,8498,28115,33,52,147,772,1
2020-08-26,37570,4738,8644,28892,34,49,143,785,1
2020-08-27,38503,4786,8786,29682,35,45,140,798,1
2020-08-28,39444,4830,8924,30484,36,42,136,810,1
2020-08-29,40394,4870,9058,31299,37,38,131,822,1
2020-08-30,41352,4907,9188,32126,38,35,127,834,1
2020-08-31,42317,4940,9313,32965,39,31,122,846,1
2020-09-01,43288,4969,9433,33815,40,27,117,857,1
2020-09-02,44264,4995,9548,34675,41,23,111,867,1
2020-09-03,45245,5016,9657,35546,42,19,106,877,1
2020-09-04,46230,5033,9761,36426,43,15,100,886,1
2020-09-05,47218,5046,9858,37316,44,10,93,895,1
2020-09-06,48208,5055,9949,38214,45,6,87,903,1
2020-09-07,49199,5060,10033,39120,46,2,80,911,1
2020-09-08,50191,5060,10110,40034,47,0,73,918,1
2020-09-09,51184,5056,10181,40955,48,0,66,924,1
2020-09-10,52174,5049,10244,41881,49,0,59,930,1
2020-09-11,53163,5036,10300,42813,50,0,51,935,1
2020-09-12,54150,5020,10348,43750,52,0,44,940,1
2020-09-13,55133,5000,10389,44691,53,0,36,943,1
2020-09-14,56112,4976,10422,45636,54,0,28,946,1
2020-09-15,57085,4948,10447,46583,55,0,20,949,1
2020-09-16,58053,4916,10465,47532,56,0,13,950,1
2020-09-17,59015,4881,10475,48483,57,0,5,951,1
2020-09-18,59969,4842,10477,49434,58,0,0,951,1
2020-09-19,60915,4800,10471,50385,59,0,0,951,1
2020-09-20,61853,4754,10457,51336,60,0,0,950,1
2020-09-21,62783,4705,10436,52285,62,0,0,948,1
2020-09-22,63701,4654,10407,53231,63,0,0,945,1
2020-09-23,64609,4599,10370,54175,64,0,0,942,1
2020-09-24,65507,4542,10327,55115,65,0,0,938,1
2020-09-25,66393,4482,10276,56051,66,0,0,933,1
2020-09-26,67267,4421,10218,56982,67,0,0,928,1
2020-09-27,68129,4356,10153,57908,68,0,0,922,1
2020-09-28,68979,4290,10082,58828,69,0,0,915,1
2020-09-29,69815,4223,10004,59741,70,0,0,908,1
2020-09-30,70638,4153,9921,60646,71,0,0,901,1
2020-10-01,71448,4082,9831,61544,73,0,0,893,1
2020-10-02,72243,4010,9736,62433,74,0,0,884,1
2020-10-03,73024,3937,9635,63314,75,0,0,875,1
2020-10-04,73790,3863,9529,64185,76,0,0,865,1
2020-10-05,74542,3787,9418,65047,77,0,0,855,1
2020-10-06,75279,3712,9303,65898,78,0,0,845,1
2020-10-07,76002,3636,9184,66739,79,0,0,834,1
2020-10-08,76709,3559,9060,67569,80,0,0,823,1
2020-10-09,77401,3482,8933,68387,81,0,0,811,1
2020-10-10,78079,3406,8803,69194,82,0,0,799,1
2020-10-11,78739,3329,8669,69988,82,0,0,787,1
2020-10-12,79387,3252,8533,70771,83,0,0,775,1
2020-10-13,80019,3176,8394,71541,84,0,0,762,1
2020-10-14,80636,3100,8253,72298,85,0,0,749,1
2020-10-15,81238,3025,8109,73043,86,0,0,736,1
2020-10-16,81826,2950,7965,73774,87,0,0,723,1
2020-10-17,82400,2876,7819,74493,88,0,0,710,1
2020-10-18,82957,2802,7671,75197,89,0,0,697,1
2020-10-19,83501,2730,7523,75889,89,0,0,683,1
2020-10-20,84031,2658,7374,76567,90,0,0,670,1
2020-10-21,84548,2587,7225,77232,91,0,0,656,1
2020-10-22,85049,2517,7075,77882,92,0,0,642,1
2020-10-23,85539,2449,6926,78520,93,0,0,629,1
2020-10-24,86013,2381,6776,79144,93,0,0,615,1
2020-10-25,86475,2315,6627,79754,94,0,0,602,1
2020-10-26,86924,2249,6479,80350,95,0,0,588,1
2020-10-27,87360,2185,6331,80934,95,0,0,575,1
2020-10-28,87784,2122,6184,81504,96,0,0,562,1
2020-10-29,88196,2061,6039,82060,97,0,0,548,1
2020-10-30,88595,2000,5894,82604,97,0,0,535,1
2020-10-31,88983,1941,5751,83134,98,0,0,522,1
2020-11-01,89360,1884,5610,83651,99,0,0,509,1
2020-11-02,89725,1827,5470,84156,99,0,0,497,1
2020-11-03,90079,1772,5331,84648,100,0,0,484,1
2020-11-04,90422,1718,5195,85127,100,0,0,472,1
2020-11-05,90755,1665,5060,85594,101,0,0,459,1
2020-11-06,91077,1614,4927,86049,101,0,0,447,1
2020-11-07,91391,1564,4797,86492,102,0,0,436,1
2020-11-08,91693,1515,4668,86923,102,0,0,424,0
2020-11-09,91988,1468,4542,87343,103,0,0,412,0
2020-11-10,92271,1422,4417,87751,103,0,0,401,0
2020-11-11,92547,1377,4295,88148,104,0,0,390,0
2020-11-12,92814,1333,4176,88534,104,0,0,379,0
2020-11-13,93072,1290,4058,88909,105,0,0,368,0
2020-11-14,93322,1249,3943,89274,105,0,0,358,0
2020-11-15,93564,1208,3830,89628,106,0,0,348,0
2020-11-16,93798,1169,3720,89972,106,0,0,338,0
2020-11-17,94024,1131,3612,90306,106,0,0,328,0
2020-11-18,94243,1094,3506,90630,107,0,0,318,0
2020-11-19,94455,1059,3403,90945,107,0,0,309,0
2020-11-20,94661,1024,3302,91251,108,0,0,300,0
2020-11-21,94859,990,3204,91547,108,0,0,291,0
2020-11-22,95050,957,3107,91835,108,0,0,282,0
2020-11-23,95237,926,3014,92114,109,0,0,274,0
2020-11-24,95415,895,2922,92384,109,0,0,265,0
2020-11-25,95589,865,2833,92647,109,0,0,257,0
2020-11-26,95756,836,2746,92901,109,0,0,249,0
2020-11-27,95918,808,2661,93147,110,0,0,242,0
2020-11-28,96074,781,2578,93386,110,0,0,234,0
2020-11-29,96225,755,2498,93617,110,0,0,227,0
2020-11-30,96373,729,2420,93842,111,0,0,220,0
2020-12-01,96513,705,2343,94059,111,0,0,213,0
2020-12-02,96649,681,2269,94269,111,0,0,206,0
2020-12-03,96780,658,2197,94472,111,0,0,200,0
2020-12-04,96909,636,2127,94670,112,0,0,193,0
2020-12-05,97031,614,2059,94860,112,0,0,187,0
2020-12-06,97150,593,1993,95045,112,0,0,181,0
2020-12-07,97265,573,1929,95224,112,0,0,175,0
2020-12-08,97376,553,1867,95397,112,0,0,169,0
2020-12-09,97483,534,1806,95564,113,0,0,164,0
2020-12-10,97586,516,1747,95726,113,0,0,159,0
2020-12-11,97686,498,1690,95883,113,0,0,153,0
2020-12-12,97783,481,1635,96035,113,0,0,148,0
2020-12-13,97875,465,1581,96181,113,0,0,144,0
2020-12-14,97965,449,1529,96323,113,0,0,139,0
2020-12-15,98053,433,1479,96460,114,0,0,134,0
2020-12-16,98137,418,1430,96593,114,0,0,130,0
2020-12-17,98217,404,1382,96721,114,0,0,126,0
