Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-12,184,144,184,0,0,0,12,0,0
2020-07-13,194,136,194,0,0,0,9,0,0
2020-07-14,203,130,203,0,0,0,7,0,0
2020-07-15,209,126,209,0,0,0,6,0,0
2020-07-16,214,123,214,0,0,0,5,0,0
2020-07-17,219,121,219,0,0,0,4,0,0
2020-07-18,222,119,222,0,0,0,3,0,0
2020-07-19,225,119,225,0,0,0,3,0,0
2020-07-20,228,118,228,0,0,0,3,0,0
2020-07-21,230,118,230,0,0,0,2,0,0
2020-07-22,232,118,232,0,0,0,2,0,0
2020-07-23,235,119,235,0,0,0,2,0,0
2020-07-24,236,119,236,0,0,0,2,0,0
2020-07-25,238,120,238,0,0,0,2,0,0
2020-07-26,240,120,240,0,0,1,2,0,0
2020-07-27,242,121,242,0,0,1,2,0,0
2020-07-28,243,121,243,0,0,1,2,0,0
2020-07-29,245,122,245,0,0,1,2,0,0
2020-07-30,247,122,247,0,0,1,2,0,0
2020-07-31,248,123,248,0,0,1,2,0,0
2020-08-01,250,124,250,0,0,1,2,0,0
2020-08-02,251,124,251,0,0,1,2,0,0
2020-08-03,253,125,253,0,0,1,1,0,0
2020-08-04,254,125,254,0,0,1,1,0,0
2020-08-05,256,126,256,0,0,1,1,0,0
2020-08-06,257,126,257,0,0,1,1,0,0
2020-08-07,259,127,259,0,0,1,1,0,0
2020-08-08,260,128,260,0,0,1,1,0,0
2020-08-09,261,128,261,0,0,1,1,0,0
2020-08-10,263,129,263,0,0,1,1,0,0
2020-08-11,264,129,264,0,0,0,1,0,0
2020-08-12,265,130,265,0,0,0,1,0,0
2020-08-13,267,130,267,0,0,0,1,0,0
2020-08-14,268,131,268,0,0,0,1,0,0
2020-08-15,269,131,269,0,0,0,1,0,0
2020-08-16,270,131,270,0,0,0,1,0,0
2020-08-17,271,132,271,0,0,0,1,0,0
2020-08-18,273,132,273,0,0,0,1,0,0
2020-08-19,274,133,274,0,0,0,1,0,0
2020-08-20,275,133,275,0,0,0,1,0,0
2020-08-21,276,133,276,0,0,0,1,0,0
2020-08-22,277,134,277,0,0,0,1,0,0
2020-08-23,278,134,278,0,0,0,1,0,0
2020-08-24,279,134,279,0,0,0,1,0,0
2020-08-25,280,135,280,0,0,0,1,0,0
2020-08-26,281,135,281,0,0,0,1,0,0
2020-08-27,282,135,282,0,0,0,1,0,0
2020-08-28,283,136,283,0,0,0,1,0,0
2020-08-29,284,136,284,0,0,0,1,0,0
2020-08-30,285,136,285,0,0,0,1,0,0
2020-08-31,285,136,285,0,0,0,1,0,0
2020-09-01,286,137,286,0,0,0,1,0,0
2020-09-02,287,137,287,0,0,0,1,0,0
2020-09-03,288,137,288,0,0,0,1,0,0
2020-09-04,288,137,288,0,0,0,1,0,0
2020-09-05,289,137,289,0,0,0,1,0,0
2020-09-06,290,137,290,0,0,0,1,0,0
2020-09-07,290,137,290,0,0,0,1,0,0
2020-09-08,291,138,291,0,0,0,1,0,0
2020-09-09,291,138,291,0,0,0,1,0,0
2020-09-10,292,138,292,0,0,0,0,0,0
2020-09-11,292,138,292,0,0,0,0,0,0
2020-09-12,293,138,293,0,0,0,0,0,0
2020-09-13,293,138,293,0,0,0,0,0,0
2020-09-14,293,138,293,0,0,0,0,0,0
2020-09-15,294,138,294,0,0,0,0,0,0
2020-09-16,294,138,294,0,0,0,0,0,0
2020-09-17,294,138,294,0,0,0,0,0,0
2020-09-18,294,138,294,0,0,0,0,0,0
2020-09-19,295,138,295,0,0,0,0,0,0
2020-09-20,295,137,295,0,0,0,0,0,0
2020-09-21,295,137,295,0,0,0,0,0,0
2020-09-22,295,137,295,0,0,0,0,0,0
2020-09-23,295,137,295,0,0,0,0,0,0
2020-09-24,295,137,295,0,0,0,0,0,0
2020-09-25,295,137,295,0,0,0,0,0,0
2020-09-26,295,136,295,0,0,0,0,0,0
2020-09-27,295,136,295,0,0,0,0,0,0
2020-09-28,295,136,295,0,0,0,0,0,0
2020-09-29,295,136,295,0,0,0,0,0,0
2020-09-30,295,136,295,0,0,0,0,0,0
2020-10-01,294,135,294,0,0,0,0,0,0
2020-10-02,294,135,294,0,0,0,0,0,0
2020-10-03,294,135,294,0,0,0,0,0,0
2020-10-04,294,134,294,0,0,0,0,0,0
2020-10-05,293,134,293,0,0,0,0,0,0
2020-10-06,293,134,293,0,0,0,0,0,0
2020-10-07,292,133,292,0,0,0,0,0,0
2020-10-08,292,133,292,0,0,0,0,0,0
2020-10-09,291,133,291,0,0,0,0,0,0
2020-10-10,291,132,291,0,0,0,0,0,0
2020-10-11,290,132,290,0,0,0,0,0,0
2020-10-12,290,131,290,0,0,0,0,0,0
2020-10-13,289,131,289,0,0,0,0,0,0
2020-10-14,289,130,289,0,0,0,0,0,0
2020-10-15,288,130,288,0,0,0,0,0,0
2020-10-16,287,129,287,0,0,0,0,0,0
2020-10-17,286,129,286,0,0,0,0,0,0
2020-10-18,286,128,286,0,0,0,0,0,0
2020-10-19,285,128,285,0,0,0,0,0,0
2020-10-20,284,127,284,0,0,0,0,0,0
