date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-06-15,1253,0,358,892,3,97,0,51,0
2020-06-16,1260,85,317,940,3,67,0,45,0
2020-06-17,1285,144,298,984,3,48,0,42,0
2020-06-18,1321,187,292,1026,3,36,0,41,0
2020-06-19,1365,220,295,1067,3,29,7,42,0
2020-06-20,1416,248,304,1109,3,25,12,43,0
2020-06-21,1474,272,317,1153,4,23,15,45,0
2020-06-22,1535,294,333,1198,4,22,18,47,0
2020-06-23,1602,315,352,1246,4,21,20,50,0
2020-06-24,1674,336,373,1297,4,21,22,53,0
2020-06-25,1751,358,396,1351,4,22,23,56,0
2020-06-26,1832,379,420,1408,4,22,25,59,0
2020-06-27,1919,402,445,1469,5,23,26,63,0
2020-06-28,2010,424,472,1533,5,23,27,67,0
2020-06-29,2105,448,499,1601,5,24,29,71,0
2020-06-30,2207,472,529,1673,5,24,30,75,0
2020-07-01,2314,496,559,1750,5,25,31,79,0
2020-07-02,2426,522,590,1830,6,25,32,83,0
2020-07-03,2545,547,623,1916,6,26,33,88,0
2020-07-04,2668,573,657,2005,6,26,34,93,0
2020-07-05,2798,600,691,2100,7,26,35,98,0
2020-07-06,2934,626,727,2200,7,27,36,103,0
2020-07-07,3074,652,763,2304,7,26,37,108,0
2020-07-08,3222,679,800,2414,8,26,37,113,0
2020-07-09,3375,705,838,2529,8,26,38,118,0
2020-07-10,3534,731,876,2650,8,25,38,124,0
2020-07-11,3699,756,914,2776,9,25,38,129,0
2020-07-12,3869,781,953,2907,9,24,38,135,0
2020-07-13,4044,804,991,3043,10,23,38,140,0
2020-07-14,4225,827,1029,3186,10,22,38,145,0
2020-07-15,4409,848,1066,3333,10,20,37,151,0
2020-07-16,4600,867,1103,3486,11,19,36,156,0
2020-07-17,4794,886,1139,3644,11,17,35,161,1
2020-07-18,4992,902,1174,3806,12,15,34,166,1
2020-07-19,5193,916,1207,3974,12,13,32,171,1
2020-07-20,5399,929,1239,4147,13,11,31,175,1
2020-07-21,5606,939,1269,4323,14,9,29,179,1
2020-07-22,5815,947,1297,4504,14,6,26,183,1
2020-07-23,6027,952,1323,4689,15,4,24,187,1
2020-07-24,6238,955,1346,4877,15,2,21,190,1
2020-07-25,6450,956,1366,5068,16,0,19,193,1
2020-07-26,6663,954,1384,5263,16,0,16,196,1
2020-07-27,6875,950,1399,5459,17,0,13,198,1
2020-07-28,7085,944,1410,5657,18,0,10,199,1
2020-07-29,7294,935,1419,5857,18,0,7,201,1
2020-07-30,7501,924,1424,6058,19,0,3,201,1
2020-07-31,7706,911,1427,6259,20,0,0,202,1
2020-08-01,7907,896,1426,6461,20,0,0,202,1
2020-08-02,8105,880,1422,6662,21,0,0,201,1
2020-08-03,8299,861,1414,6863,22,0,0,200,1
2020-08-04,8488,842,1404,7062,22,0,0,198,1
2020-08-05,8674,821,1391,7260,23,0,0,197,1
2020-08-06,8854,798,1375,7456,23,0,0,194,1
2020-08-07,9030,775,1357,7649,24,0,0,192,1
2020-08-08,9201,751,1336,7840,25,0,0,189,1
2020-08-09,9365,727,1312,8028,25,0,0,185,1
2020-08-10,9525,702,1287,8212,26,0,0,182,1
2020-08-11,9678,676,1260,8392,26,0,0,178,1
2020-08-12,9827,651,1231,8569,27,0,0,174,1
2020-08-13,9968,625,1200,8741,27,0,0,170,1
2020-08-14,10106,600,1169,8909,28,0,0,165,1
2020-08-15,10237,575,1136,9073,28,0,0,161,1
2020-08-16,10362,550,1102,9231,29,0,0,156,0
2020-08-17,10482,525,1068,9385,29,0,0,151,0
2020-08-18,10597,501,1033,9534,30,0,0,146,0
2020-08-19,10707,478,998,9679,30,0,0,141,0
2020-08-20,10812,455,963,9818,31,0,0,136,0
2020-08-21,10910,433,927,9952,31,0,0,131,0
2020-08-22,11005,412,892,10081,32,0,0,126,0
2020-08-23,11094,391,857,10205,32,0,0,121,0
2020-08-24,11180,371,823,10325,32,0,0,116,0
2020-08-25,11261,352,789,10439,33,0,0,111,0
2020-08-26,11337,333,755,10549,33,0,0,107,0
2020-08-27,11409,315,722,10654,33,0,0,102,0
2020-08-28,11478,298,690,10754,34,0,0,98,0
2020-08-29,11543,282,659,10850,34,0,0,93,0
2020-08-30,11605,267,629,10942,34,0,0,89,0
2020-08-31,11663,252,599,11029,35,0,0,85,0
2020-09-01,11717,238,570,11112,35,0,0,81,0
2020-09-02,11769,224,543,11191,35,0,0,77,0
2020-09-03,11818,212,516,11267,35,0,0,73,0
2020-09-04,11864,200,490,11338,36,0,0,69,0
2020-09-05,11908,188,466,11406,36,0,0,66,0
2020-09-06,11949,177,442,11471,36,0,0,62,0
2020-09-07,11987,167,419,11532,36,0,0,59,0
2020-09-08,12023,157,397,11590,36,0,0,56,0
2020-09-09,12058,148,376,11645,37,0,0,53,0
2020-09-10,12090,140,356,11697,37,0,0,50,0
2020-09-11,12120,131,337,11746,37,0,0,48,0
2020-09-12,12149,124,319,11793,37,0,0,45,0
2020-09-13,12175,116,301,11837,37,0,0,43,0
2020-09-14,12201,109,285,11879,37,0,0,40,0
2020-09-15,12224,103,269,11918,37,0,0,38,0
2020-09-16,12246,97,254,11955,37,0,0,36,0
2020-09-17,12268,91,240,11990,38,0,0,34,0
2020-09-18,12288,86,226,12024,38,0,0,32,0
2020-09-19,12306,80,213,12055,38,0,0,30,0
2020-09-20,12323,76,201,12084,38,0,0,28,0
2020-09-21,12340,71,190,12112,38,0,0,27,0
2020-09-22,12355,67,179,12138,38,0,0,25,0
2020-09-23,12370,63,169,12163,38,0,0,24,0
2020-09-24,12383,59,159,12186,38,0,0,22,0
2020-09-25,12396,55,150,12208,38,0,0,21,0
2020-09-26,12408,52,141,12229,38,0,0,20,0
2020-09-27,12420,49,133,12249,38,0,0,19,0
2020-09-28,12430,46,125,12267,38,0,0,18,0
2020-09-29,12440,43,117,12284,39,0,0,17,0
2020-09-30,12450,41,111,12300,39,0,0,16,0
2020-10-01,12459,38,104,12316,39,0,0,15,0
2020-10-02,12467,36,98,12330,39,0,0,14,0
2020-10-03,12475,34,92,12344,39,0,0,13,0
2020-10-04,12482,32,87,12356,39,0,0,12,0
2020-10-05,12488,30,81,12368,39,0,0,12,0
2020-10-06,12495,28,77,12379,39,0,0,11,0
2020-10-07,12501,26,72,12390,39,0,0,10,0
2020-10-08,12507,25,68,12400,39,0,0,10,0
2020-10-09,12512,23,64,12409,39,0,0,9,0
2020-10-10,12517,22,60,12418,39,0,0,8,0
2020-10-11,12521,20,56,12426,39,0,0,8,0
2020-10-12,12526,19,53,12434,39,0,0,7,0
2020-10-13,12530,18,50,12441,39,0,0,7,0
2020-10-14,12534,17,47,12448,39,0,0,7,0
2020-10-15,12538,16,44,12455,39,0,0,6,0
2020-10-16,12541,15,41,12461,39,0,0,6,0
2020-10-17,12544,14,39,12466,39,0,0,5,0
2020-10-18,12547,13,36,12472,39,0,0,5,0
2020-10-19,12550,12,34,12477,39,0,0,5,0
2020-10-20,12553,11,32,12482,39,0,0,5,0
2020-10-21,12555,11,30,12486,39,0,0,4,0
2020-10-22,12557,10,28,12490,39,0,0,4,0
2020-10-23,12560,10,27,12494,39,0,0,4,0
2020-10-24,12562,9,25,12498,39,0,0,4,0
2020-10-25,12563,8,23,12501,39,0,0,3,0
2020-10-26,12565,8,22,12504,39,0,0,3,0
2020-10-27,12567,7,21,12507,39,0,0,3,0
2020-10-28,12568,7,19,12510,39,0,0,3,0
2020-10-29,12570,7,18,12513,39,0,0,3,0
2020-10-30,12571,6,17,12515,39,0,0,2,0
2020-10-31,12573,6,16,12518,39,0,0,2,0
2020-11-01,12574,5,15,12520,39,0,0,2,0
2020-11-02,12575,5,14,12522,39,0,0,2,0
2020-11-03,12576,5,13,12524,39,0,0,2,0
2020-11-04,12577,4,12,12526,39,0,0,2,0
2020-11-05,12579,4,12,12528,39,0,0,2,0
2020-11-06,12579,4,11,12529,39,0,0,2,0
