Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-12,16313,3409,3505,12778,30,0,350,318,1
2020-07-13,16957,3099,3819,13107,31,0,261,346,1
2020-07-14,17547,2870,4053,13462,32,0,194,368,1
2020-07-15,18097,2699,4228,13836,33,0,145,383,1
2020-07-16,18616,2573,4358,14224,34,0,108,395,1
2020-07-17,19114,2479,4456,14623,35,0,81,404,1
2020-07-18,19593,2409,4528,15029,36,0,61,411,1
2020-07-19,20062,2356,4583,15442,37,0,45,416,1
2020-07-20,20521,2317,4624,15859,38,0,34,419,1
2020-07-21,20973,2288,4654,16280,39,0,25,422,1
2020-07-22,21420,2265,4677,16703,40,0,19,424,1
2020-07-23,21862,2248,4694,17127,41,0,14,426,1
2020-07-24,22303,2234,4707,17554,42,0,10,427,1
2020-07-25,22740,2224,4716,17981,43,0,7,428,1
2020-07-26,23175,2215,4722,18409,44,0,5,428,1
2020-07-27,23609,2208,4727,18837,45,0,3,429,1
2020-07-28,24041,2202,4729,19266,46,0,2,429,1
2020-07-29,24473,2196,4731,19695,47,0,1,429,1
2020-07-30,24903,2191,4731,20124,48,0,0,429,1
2020-07-31,25332,2186,4730,20553,49,0,0,429,1
2020-08-01,25760,2182,4728,20982,50,0,0,429,1
2020-08-02,26188,2177,4726,21411,51,0,0,429,1
2020-08-03,26614,2173,4723,21839,52,0,0,428,1
2020-08-04,27041,2168,4720,22268,53,0,0,428,1
2020-08-05,27465,2164,4716,22695,54,0,0,428,1
2020-08-06,27889,2159,4711,23123,55,0,0,427,1
2020-08-07,28312,2154,4706,23550,56,0,0,427,1
2020-08-08,28734,2149,4700,23977,57,0,0,426,1
2020-08-09,29155,2144,4694,24403,58,0,0,426,1
2020-08-10,29574,2138,4687,24828,59,0,0,425,1
2020-08-11,29993,2133,4680,25253,60,0,0,424,1
2020-08-12,30411,2127,4673,25677,61,0,0,424,1
2020-08-13,30828,2121,4665,26101,62,0,0,423,1
2020-08-14,31244,2115,4657,26524,63,0,0,422,1
2020-08-15,31658,2109,4648,26946,64,0,0,422,1
2020-08-16,32071,2103,4639,27367,65,0,0,421,1
2020-08-17,32482,2096,4629,27787,66,0,0,420,1
2020-08-18,32893,2089,4619,28207,67,0,0,419,1
2020-08-19,33302,2083,4609,28625,68,0,0,418,1
2020-08-20,33710,2076,4598,29043,69,0,0,417,1
2020-08-21,34117,2068,4587,29460,70,0,0,416,1
2020-08-22,34521,2061,4575,29875,71,0,0,415,1
2020-08-23,34925,2053,4563,30290,72,0,0,414,1
2020-08-24,35327,2046,4551,30703,73,0,0,413,1
2020-08-25,35728,2038,4538,31116,74,0,0,412,1
2020-08-26,36127,2030,4525,31527,75,0,0,410,1
2020-08-27,36525,2022,4512,31937,76,0,0,409,1
2020-08-28,36920,2014,4498,32345,77,0,0,408,1
2020-08-29,37315,2005,4484,32753,78,0,0,407,1
2020-08-30,37707,1997,4469,33159,79,0,0,405,1
2020-08-31,38098,1988,4454,33564,80,0,0,404,1
2020-09-01,38487,1979,4439,33967,81,0,0,403,1
2020-09-02,38873,1970,4423,34369,81,0,0,401,1
2020-09-03,39259,1961,4407,34770,82,0,0,400,1
2020-09-04,39643,1952,4391,35169,83,0,0,398,1
2020-09-05,40026,1943,4375,35567,84,0,0,397,1
2020-09-06,40406,1933,4358,35963,85,0,0,395,1
2020-09-07,40785,1924,4341,36358,86,0,0,394,1
2020-09-08,41161,1914,4323,36751,87,0,0,392,1
2020-09-09,41535,1904,4305,37142,88,0,0,390,1
