Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-20,224,30,64,159,1,6,0,6,0
2020-06-21,231,36,65,164,2,5,1,6,0
2020-06-22,238,41,66,170,2,5,2,6,0
2020-06-23,246,45,68,176,2,4,3,6,0
2020-06-24,255,49,71,182,2,4,3,6,0
2020-06-25,266,53,75,189,2,4,4,7,0
2020-06-26,276,57,78,196,2,4,4,7,0
2020-06-27,288,61,83,203,2,4,4,7,0
2020-06-28,300,65,87,211,2,4,5,8,0
2020-06-29,313,68,92,219,2,4,5,8,0
2020-06-30,326,73,97,227,2,4,5,9,0
2020-07-01,341,77,103,236,2,4,6,9,0
2020-07-02,355,81,108,245,2,5,6,10,0
2020-07-03,372,86,115,255,2,5,6,10,0
2020-07-04,389,91,121,266,2,5,7,11,0
2020-07-05,408,96,128,277,3,5,7,12,0
2020-07-06,427,101,135,289,3,6,8,12,0
2020-07-07,447,107,143,301,3,6,8,13,0
2020-07-08,469,113,151,315,3,6,8,14,0
2020-07-09,491,120,160,328,3,7,9,14,0
2020-07-10,515,126,169,343,3,7,9,15,0
2020-07-11,541,133,179,359,3,7,10,16,0
2020-07-12,567,141,189,375,3,8,10,17,0
2020-07-13,595,148,199,392,4,8,11,18,0
2020-07-14,625,156,210,411,4,8,12,19,0
2020-07-15,656,165,222,430,4,9,12,20,0
2020-07-16,690,174,235,451,4,9,13,21,0
2020-07-17,724,183,248,472,4,10,13,22,0
2020-07-18,761,193,261,495,5,10,14,24,0
2020-07-19,800,203,276,519,5,11,15,25,0
2020-07-20,840,214,291,544,5,11,16,26,0
2020-07-21,883,226,307,571,5,12,16,28,0
2020-07-22,928,237,323,599,6,12,17,29,0
2020-07-23,976,250,341,629,6,13,18,31,0
2020-07-24,1025,263,359,660,6,13,19,32,0
2020-07-25,1077,276,378,693,6,14,20,34,0
2020-07-26,1133,290,398,728,7,14,21,36,0
2020-07-27,1190,304,419,764,7,15,22,38,0
2020-07-28,1251,320,441,803,7,15,23,40,0
2020-07-29,1315,335,464,843,8,16,24,42,0
2020-07-30,1382,352,488,886,8,17,25,44,0
2020-07-31,1453,369,513,931,9,17,26,46,0
2020-08-01,1526,386,539,978,9,18,27,49,0
2020-08-02,1602,404,566,1027,9,18,28,51,0
2020-08-03,1683,423,594,1079,10,19,29,54,0
2020-08-04,1768,442,624,1134,10,20,30,56,1
2020-08-05,1856,462,654,1191,11,20,31,59,1
2020-08-06,1949,482,686,1251,12,21,32,62,1
2020-08-07,2044,503,718,1314,12,21,33,65,1
2020-08-08,2145,524,752,1380,13,22,34,68,1
2020-08-09,2249,546,787,1449,13,22,36,71,1
2020-08-10,2358,568,823,1521,14,22,37,74,1
2020-08-11,2471,591,860,1596,15,23,38,77,1
2020-08-12,2588,614,898,1675,15,23,39,81,1
2020-08-13,2710,637,937,1757,16,23,40,84,1
2020-08-14,2837,661,977,1843,17,24,41,88,1
2020-08-15,2968,685,1018,1932,18,24,42,92,1
2020-08-16,3104,708,1060,2025,19,24,42,96,1
2020-08-17,3245,732,1103,2122,20,24,43,99,1
2020-08-18,3391,756,1147,2223,21,24,44,103,1
2020-08-19,3540,779,1191,2328,21,23,45,107,1
2020-08-20,3695,803,1236,2437,22,23,45,111,1
2020-08-21,3854,826,1281,2549,24,23,45,115,1
2020-08-22,4017,848,1326,2666,25,22,46,119,1
2020-08-23,4185,871,1372,2787,26,22,46,124,1
2020-08-24,4358,892,1418,2913,27,21,46,128,1
2020-08-25,4534,913,1464,3042,28,20,46,132,1
2020-08-26,4714,933,1510,3175,29,19,46,136,1
2020-08-27,4900,952,1556,3313,31,18,45,140,1
2020-08-28,5088,970,1601,3455,32,17,45,144,1
2020-08-29,5278,987,1645,3600,33,16,44,148,1
2020-08-30,5474,1002,1689,3750,35,15,43,152,1
2020-08-31,5670,1017,1731,3903,36,13,42,156,1
2020-09-01,5871,1030,1773,4061,37,12,41,160,1
2020-09-02,6074,1041,1813,4222,39,11,39,163,2
2020-09-03,6278,1051,1852,4386,40,9,38,167,2
2020-09-04,6486,1059,1889,4555,42,7,36,170,2
2020-09-05,6694,1066,1924,4726,44,6,34,173,2
2020-09-06,6903,1071,1958,4900,45,4,32,176,2
2020-09-07,7114,1075,1989,5078,47,2,30,179,2
2020-09-08,7325,1076,2018,5258,49,0,28,182,2
2020-09-09,7535,1076,2044,5441,50,0,25,184,2
2020-09-10,7747,1074,2069,5626,52,0,23,186,2
2020-09-11,7957,1070,2090,5813,54,0,20,188,2
2020-09-12,8166,1065,2109,6002,55,0,17,190,2
2020-09-13,8374,1058,2125,6192,57,0,14,191,2
2020-09-14,8581,1049,2138,6384,59,0,11,193,2
2020-09-15,8787,1039,2149,6577,61,0,8,194,2
2020-09-16,8990,1028,2156,6771,63,0,6,194,2
2020-09-17,9189,1015,2160,6965,64,0,3,195,2
2020-09-18,9388,1000,2162,7160,66,0,0,195,2
2020-09-19,9582,985,2160,7354,68,0,0,195,2
2020-09-20,9775,968,2156,7549,70,0,0,194,2
2020-09-21,9963,950,2149,7743,71,0,0,194,2
2020-09-22,10148,932,2139,7936,73,0,0,193,2
2020-09-23,10329,912,2126,8128,75,0,0,191,2
2020-09-24,10506,892,2110,8319,77,0,0,190,2
2020-09-25,10680,871,2092,8509,79,0,0,188,2
2020-09-26,10849,849,2072,8697,80,0,0,187,2
2020-09-27,11014,827,2049,8883,82,0,0,185,2
2020-09-28,11175,805,2025,9066,84,0,0,182,2
2020-09-29,11331,782,1998,9248,85,0,0,180,2
2020-09-30,11483,760,1969,9427,87,0,0,177,2
2020-10-01,11630,737,1938,9603,89,0,0,175,2
2020-10-02,11773,714,1906,9777,90,0,0,172,2
2020-10-03,11911,691,1872,9947,92,0,0,169,2
2020-10-04,12045,669,1837,10115,93,0,0,165,2
2020-10-05,12175,646,1801,10279,95,0,0,162,1
2020-10-06,12299,624,1763,10440,96,0,0,159,1
2020-10-07,12420,602,1725,10597,98,0,0,155,1
2020-10-08,12536,580,1686,10751,99,0,0,152,1
2020-10-09,12649,559,1646,10902,101,0,0,148,1
2020-10-10,12757,538,1606,11049,102,0,0,145,1
2020-10-11,12860,518,1565,11192,103,0,0,141,1
2020-10-12,12962,498,1525,11332,105,0,0,137,1
2020-10-13,13058,479,1484,11468,106,0,0,134,1
2020-10-14,13150,460,1443,11600,107,0,0,130,1
2020-10-15,13239,441,1402,11729,108,0,0,126,1
2020-10-16,13323,423,1361,11853,109,0,0,123,1
2020-10-17,13406,406,1320,11975,111,0,0,119,1
2020-10-18,13484,389,1280,12092,112,0,0,115,1
