Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-25,199,60,53,146,0,0,7,5,0
2020-06-26,211,59,60,151,0,0,6,5,0
2020-06-27,223,60,66,156,1,1,6,6,0
2020-06-28,234,61,71,162,1,2,6,6,0
2020-06-29,247,64,77,169,1,3,6,7,0
2020-06-30,259,67,82,176,1,3,6,7,0
2020-07-01,273,70,88,184,1,4,6,8,0
2020-07-02,287,74,94,192,1,4,6,9,0
2020-07-03,302,78,100,201,1,4,6,9,0
2020-07-04,317,83,106,210,1,5,7,10,0
2020-07-05,334,87,113,220,1,5,7,10,0
2020-07-06,351,93,120,230,1,5,7,11,0
2020-07-07,369,98,127,241,1,6,8,12,0
2020-07-08,389,104,135,253,1,6,8,12,0
2020-07-09,411,110,144,266,1,7,9,13,0
2020-07-10,432,117,152,279,1,7,9,14,0
2020-07-11,456,124,162,293,1,7,10,15,0
2020-07-12,480,132,171,308,1,8,10,16,0
2020-07-13,507,140,182,324,1,8,11,16,0
2020-07-14,535,148,193,341,1,9,11,17,0
2020-07-15,565,157,205,359,1,9,12,19,0
2020-07-16,596,166,217,378,1,10,13,20,0
2020-07-17,629,176,230,398,1,10,14,21,0
2020-07-18,664,186,244,419,1,11,14,22,0
2020-07-19,702,197,259,442,1,11,15,23,0
2020-07-20,742,209,274,466,2,12,16,25,0
2020-07-21,784,221,291,491,2,13,17,26,0
2020-07-22,828,234,308,518,2,13,18,28,0
2020-07-23,875,248,326,547,2,14,19,30,0
2020-07-24,925,262,346,577,2,15,20,31,0
2020-07-25,977,278,366,609,2,16,21,33,0
2020-07-26,1033,293,388,643,2,16,22,35,0
2020-07-27,1091,310,410,679,2,17,24,37,0
2020-07-28,1153,328,434,717,2,18,25,39,0
2020-07-29,1219,346,460,757,2,19,26,42,0
2020-07-30,1288,366,486,799,3,20,28,44,0
2020-07-31,1361,386,514,844,3,21,29,47,0
2020-08-01,1439,408,544,892,3,22,30,49,0
2020-08-02,1520,430,575,942,3,23,32,52,0
2020-08-03,1607,453,608,996,3,24,34,55,0
2020-08-04,1697,478,642,1052,3,25,35,58,0
2020-08-05,1793,503,678,1111,4,26,37,61,0
2020-08-06,1894,530,716,1174,4,27,39,65,0
2020-08-07,1999,558,755,1240,4,28,41,68,0
2020-08-08,2111,587,797,1310,4,30,43,72,0
2020-08-09,2228,617,840,1383,5,31,45,76,0
2020-08-10,2351,648,885,1461,5,32,47,80,0
2020-08-11,2481,680,933,1543,5,33,49,85,0
2020-08-12,2616,714,982,1629,5,34,51,89,0
2020-08-13,2760,748,1034,1720,6,35,53,94,0
2020-08-14,2908,784,1087,1815,6,36,55,99,0
2020-08-15,3065,821,1143,1916,6,37,57,104,0
2020-08-16,3229,859,1201,2021,7,38,59,109,0
2020-08-17,3400,897,1261,2132,7,39,61,114,0
2020-08-18,3578,937,1323,2248,7,40,63,120,0
2020-08-19,3765,978,1387,2370,8,41,66,126,0
2020-08-20,3960,1019,1454,2498,8,42,68,132,0
2020-08-21,4163,1061,1522,2632,9,42,70,138,0
2020-08-22,4374,1104,1592,2773,9,43,72,144,0
2020-08-23,4594,1147,1665,2919,10,43,74,151,0
2020-08-24,4822,1190,1739,3073,10,44,75,158,1
2020-08-25,5059,1234,1815,3233,11,44,77,164,1
2020-08-26,5303,1277,1892,3400,11,44,78,171,1
2020-08-27,5557,1321,1971,3574,12,43,80,179,1
2020-08-28,5819,1364,2052,3755,12,43,81,186,1
2020-08-29,6090,1407,2133,3944,13,42,82,193,1
2020-08-30,6369,1449,2215,4140,14,42,83,201,1
2020-08-31,6656,1490,2298,4344,14,41,83,208,1
2020-09-01,6952,1531,2382,4555,15,39,84,216,1
2020-09-02,7254,1569,2465,4773,16,38,84,223,1
2020-09-03,7565,1607,2549,5000,16,36,83,231,1
2020-09-04,7882,1643,2632,5233,17,35,83,238,1
2020-09-05,8208,1677,2715,5475,18,33,82,246,1
2020-09-06,8538,1708,2796,5723,19,30,81,253,1
2020-09-07,8875,1738,2876,5979,20,28,79,261,1
2020-09-08,9219,1765,2955,6243,21,25,77,268,1
2020-09-09,9566,1789,3032,6513,21,23,75,275,1
2020-09-10,9918,1811,3106,6790,22,20,73,281,1
2020-09-11,10274,1829,3177,7074,23,17,70,288,1
2020-09-12,10634,1845,3246,7364,24,14,67,294,1
2020-09-13,10997,1857,3311,7661,25,10,63,300,1
2020-09-14,11362,1866,3373,7963,26,7,59,306,1
2020-09-15,11729,1872,3431,8271,27,4,55,311,1
2020-09-16,12095,1874,3484,8583,28,0,51,316,1
2020-09-17,12463,1873,3533,8901,29,0,46,320,1
2020-09-18,12831,1869,3578,9223,30,0,41,324,1
2020-09-19,13196,1861,3617,9548,31,0,36,328,1
2020-09-20,13560,1850,3651,9877,32,0,31,331,1
2020-09-21,13923,1836,3680,10209,34,0,25,333,1
2020-09-22,14281,1819,3703,10543,35,0,20,336,1
2020-09-23,14636,1799,3721,10879,36,0,14,337,1
2020-09-24,14988,1776,3734,11217,37,0,9,338,1
2020-09-25,15334,1750,3740,11556,38,0,3,339,1
2020-09-26,15674,1722,3741,11894,39,0,0,339,1
2020-09-27,16010,1692,3737,12233,40,0,0,339,1
2020-09-28,16340,1660,3727,12572,41,0,0,338,1
2020-09-29,16663,1626,3712,12909,42,0,0,336,1
2020-09-30,16980,1590,3691,13245,44,0,0,334,1
2020-10-01,17288,1553,3665,13578,45,0,0,332,1
2020-10-02,17590,1514,3635,13909,46,0,0,329,1
2020-10-03,17883,1475,3599,14237,47,0,0,326,1
2020-10-04,18170,1434,3560,14562,48,0,0,323,1
2020-10-05,18448,1393,3516,14883,49,0,0,319,1
2020-10-06,18718,1352,3468,15200,50,0,0,314,1
2020-10-07,18980,1310,3416,15513,51,0,0,310,1
2020-10-08,19234,1268,3361,15821,52,0,0,305,1
2020-10-09,19479,1226,3303,16123,53,0,0,299,1
2020-10-10,19716,1184,3242,16420,54,0,0,294,1
2020-10-11,19946,1143,3179,16712,55,0,0,288,1
2020-10-12,20167,1102,3113,16998,56,0,0,282,1
2020-10-13,20380,1061,3045,17278,57,0,0,276,1
2020-10-14,20585,1021,2976,17551,58,0,0,270,1
2020-10-15,20782,982,2905,17818,59,0,0,263,1
2020-10-16,20971,943,2833,18079,59,0,0,257,1
2020-10-17,21154,906,2760,18334,60,0,0,250,1
2020-10-18,21329,869,2687,18581,61,0,0,243,1
2020-10-19,21497,834,2613,18822,62,0,0,237,1
2020-10-20,21658,799,2539,19056,63,0,0,230,1
2020-10-21,21812,765,2465,19284,63,0,0,223,1
2020-10-22,21960,733,2391,19505,64,0,0,217,1
2020-10-23,22101,701,2317,19719,65,0,0,210,1
2020-10-24,22236,670,2244,19926,66,0,0,203,1
2020-10-25,22365,641,2172,20127,66,0,0,197,1
2020-10-26,22488,612,2100,20321,67,0,0,190,1
2020-10-27,22606,585,2030,20509,67,0,0,184,1
2020-10-28,22719,559,1960,20691,68,0,0,178,1
2020-10-29,22827,533,1892,20866,69,0,0,171,1
2020-10-30,22929,509,1825,21035,69,0,0,165,1
2020-10-31,23029,485,1760,21199,70,0,0,159,1
2020-11-01,23121,463,1695,21356,70,0,0,154,1
2020-11-02,23211,442,1633,21507,71,0,0,148,0
2020-11-03,23295,421,1571,21653,71,0,0,142,0
2020-11-04,23377,401,1512,21793,72,0,0,137,0
2020-11-05,23453,382,1453,21928,72,0,0,132,0
2020-11-06,23528,364,1397,22058,73,0,0,127,0
2020-11-07,23598,347,1342,22183,73,0,0,122,0
2020-11-08,23665,331,1289,22303,73,0,0,117,0
2020-11-09,23729,315,1237,22418,74,0,0,112,0
2020-11-10,23789,300,1187,22528,74,0,0,108,0
2020-11-11,23846,286,1138,22634,74,0,0,103,0
2020-11-12,23901,272,1091,22735,75,0,0,99,0
2020-11-13,23954,259,1046,22833,75,0,0,95,0
2020-11-14,24003,246,1002,22926,75,0,0,91,0
2020-11-15,24051,235,960,23015,76,0,0,87,0
2020-11-16,24096,223,919,23101,76,0,0,83,0
2020-11-17,24139,213,880,23183,76,0,0,80,0
2020-11-18,24180,202,842,23261,77,0,0,76,0
2020-11-19,24220,193,806,23337,77,0,0,73,0
2020-11-20,24256,183,771,23408,77,0,0,70,0
2020-11-21,24291,174,737,23477,77,0,0,67,0
2020-11-22,24325,166,705,23543,77,0,0,64,0
2020-11-23,24358,158,674,23606,78,0,0,61,0
2020-11-24,24388,150,644,23666,78,0,0,58,0
2020-11-25,24416,143,615,23723,78,0,0,56,0
2020-11-26,24444,136,588,23778,78,0,0,53,0
2020-11-27,24469,129,561,23830,78,0,0,51,0
2020-11-28,24495,123,536,23880,79,0,0,49,0
2020-11-29,24519,117,512,23928,79,0,0,46,0
2020-11-30,24542,112,489,23974,79,0,0,44,0
2020-12-01,24563,106,467,24017,79,0,0,42,0
2020-12-02,24583,101,445,24059,79,0,0,40,0
2020-12-03,24602,96,425,24098,79,0,0,39,0
2020-12-04,24621,91,406,24136,79,0,0,37,0
2020-12-05,24639,87,387,24172,80,0,0,35,0
2020-12-06,24656,83,369,24207,80,0,0,33,0
2020-12-07,24671,79,352,24239,80,0,0,32,0
2020-12-08,24687,75,336,24271,80,0,0,30,0
2020-12-09,24701,71,320,24301,80,0,0,29,0
2020-12-10,24714,68,305,24329,80,0,0,28,0
2020-12-11,24727,65,291,24356,80,0,0,26,0
2020-12-12,24740,61,278,24382,80,0,0,25,0
2020-12-13,24752,58,265,24407,80,0,0,24,0
2020-12-14,24763,56,252,24431,80,0,0,23,0
2020-12-15,24773,53,240,24453,80,0,0,22,0
2020-12-16,24784,50,229,24474,81,0,0,21,0
2020-12-17,24794,48,218,24495,81,0,0,20,0
2020-12-18,24803,46,208,24514,81,0,0,19,0
2020-12-19,24812,43,198,24533,81,0,0,18,0
2020-12-20,24820,41,189,24550,81,0,0,17,0
2020-12-21,24828,39,180,24567,81,0,0,16,0
