Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-21,326,41,57,268,1,0,3,5,0
2020-07-22,335,41,60,274,1,0,3,5,0
2020-07-23,342,41,62,279,1,0,2,6,0
2020-07-24,351,41,65,285,1,1,2,6,0
2020-07-25,359,42,67,291,1,1,2,6,0
2020-07-26,367,43,69,297,1,1,2,6,0
2020-07-27,375,44,71,303,1,1,2,6,0
2020-07-28,384,45,73,310,1,1,2,7,0
2020-07-29,393,46,75,317,1,1,2,7,0
2020-07-30,401,47,77,323,1,1,2,7,0
2020-07-31,412,48,80,331,1,1,2,7,0
2020-08-01,421,49,82,338,1,1,2,7,0
2020-08-02,430,50,84,345,1,1,2,8,0
2020-08-03,440,52,86,353,1,1,2,8,0
2020-08-04,450,53,88,361,1,1,2,8,0
2020-08-05,461,54,91,369,1,1,2,8,0
2020-08-06,471,56,93,377,1,1,2,8,0
2020-08-07,483,57,96,386,1,1,3,9,0
2020-08-08,494,59,98,395,1,2,3,9,0
2020-08-09,506,60,101,404,1,2,3,9,0
2020-08-10,517,62,103,413,1,2,3,9,0
2020-08-11,529,63,106,422,1,2,3,10,0
2020-08-12,542,65,109,432,1,2,3,10,0
2020-08-13,555,67,112,442,1,2,3,10,0
2020-08-14,568,68,115,452,1,2,3,10,0
2020-08-15,582,70,118,463,1,2,3,11,0
2020-08-16,596,72,121,474,1,2,3,11,0
2020-08-17,610,74,124,485,1,2,3,11,0
2020-08-18,624,75,127,496,1,2,3,12,0
2020-08-19,639,77,130,508,1,2,3,12,0
2020-08-20,655,79,134,520,1,2,3,12,0
2020-08-21,670,81,137,532,1,2,3,12,0
2020-08-22,686,83,141,544,1,2,4,13,0
2020-08-23,702,85,144,557,1,2,4,13,0
2020-08-24,720,87,148,571,1,2,4,13,0
2020-08-25,737,90,152,584,1,2,4,14,0
2020-08-26,754,92,155,598,1,2,4,14,0
2020-08-27,772,94,159,612,1,2,4,14,0
2020-08-28,791,96,163,627,1,2,4,15,0
2020-08-29,810,99,167,642,1,2,4,15,0
2020-08-30,830,101,172,657,1,2,4,16,0
2020-08-31,850,103,176,673,1,2,4,16,0
2020-09-01,870,106,180,689,1,3,4,16,0
2020-09-02,891,108,185,705,1,3,4,17,0
2020-09-03,912,111,189,722,1,3,5,17,0
