Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-17,759,60,150,608,1,8,0,14,0
2020-07-18,772,68,149,622,1,7,0,14,0
2020-07-19,785,74,149,635,1,5,1,14,0
2020-07-20,800,79,150,649,1,4,2,14,0
2020-07-21,816,83,152,663,1,4,2,14,0
2020-07-22,832,86,155,676,1,3,3,14,0
2020-07-23,850,90,158,691,1,3,3,14,0
2020-07-24,867,92,161,705,1,3,3,15,0
2020-07-25,886,95,165,720,1,3,4,15,0
2020-07-26,904,98,168,735,1,2,4,15,0
2020-07-27,923,100,172,750,1,2,4,16,0
2020-07-28,943,103,176,766,1,2,4,16,0
2020-07-29,963,105,180,782,1,2,4,16,0
2020-07-30,985,107,185,799,1,2,4,17,0
2020-07-31,1006,109,189,816,1,2,4,17,0
2020-08-01,1027,112,193,833,1,2,4,18,0
2020-08-02,1050,114,198,851,1,2,4,18,0
2020-08-03,1072,116,202,869,1,2,4,18,0
2020-08-04,1094,118,206,887,1,2,4,19,0
2020-08-05,1118,120,211,906,1,2,4,19,0
2020-08-06,1141,123,215,925,1,2,4,20,0
2020-08-07,1166,125,220,945,1,2,4,20,0
2020-08-08,1190,127,224,965,1,2,4,20,0
2020-08-09,1216,129,229,986,1,2,4,21,0
2020-08-10,1241,131,233,1007,1,2,4,21,0
2020-08-11,1267,133,238,1028,1,2,4,22,0
2020-08-12,1293,135,242,1050,1,2,4,22,0
2020-08-13,1319,136,246,1072,1,2,4,22,0
2020-08-14,1346,138,251,1094,1,2,4,23,0
2020-08-15,1373,140,255,1117,1,2,4,23,0
2020-08-16,1400,142,259,1140,1,2,4,24,0
2020-08-17,1429,143,263,1164,2,2,4,24,0
2020-08-18,1458,145,268,1188,2,2,4,24,0
2020-08-19,1487,147,272,1213,2,1,4,25,0
2020-08-20,1515,148,276,1237,2,1,4,25,0
2020-08-21,1545,149,280,1263,2,1,4,25,0
2020-08-22,1573,151,283,1288,2,1,4,26,0
2020-08-23,1603,152,287,1314,2,1,4,26,0
2020-08-24,1633,153,291,1340,2,1,4,26,0
2020-08-25,1663,154,294,1367,2,1,3,27,0
2020-08-26,1694,155,298,1394,2,1,3,27,0
2020-08-27,1724,156,301,1421,2,1,3,27,0
2020-08-28,1754,157,304,1448,2,1,3,28,0
2020-08-29,1785,157,307,1476,2,1,3,28,0
2020-08-30,1816,158,310,1504,2,1,3,28,0
2020-08-31,1847,159,313,1532,2,0,3,28,0
2020-09-01,1879,159,316,1561,2,0,3,29,0
2020-09-02,1909,159,318,1589,2,0,2,29,0
2020-09-03,1940,160,320,1618,2,0,2,29,0
2020-09-04,1971,160,322,1647,2,0,2,29,0
2020-09-05,2003,160,324,1677,2,0,2,29,0
2020-09-06,2034,160,326,1706,2,0,2,30,0
2020-09-07,2066,160,328,1736,2,0,1,30,0
2020-09-08,2097,159,329,1766,2,0,1,30,0
2020-09-09,2128,159,330,1796,2,0,1,30,0
2020-09-10,2159,159,331,1826,2,0,1,30,0
2020-09-11,2190,158,332,1856,2,0,1,30,0
2020-09-12,2221,157,333,1886,2,0,1,30,0
2020-09-13,2253,157,334,1916,3,0,0,30,0
2020-09-14,2284,156,334,1947,3,0,0,30,0
2020-09-15,2314,155,334,1977,3,0,0,30,0
2020-09-16,2344,154,334,2007,3,0,0,30,0
2020-09-17,2375,153,334,2038,3,0,0,30,0
2020-09-18,2404,152,333,2068,3,0,0,30,0
2020-09-19,2434,151,333,2098,3,0,0,30,0
2020-09-20,2463,149,332,2128,3,0,0,30,0
2020-09-21,2492,148,331,2158,3,0,0,30,0
2020-09-22,2521,146,330,2188,3,0,0,30,0
2020-09-23,2549,145,328,2218,3,0,0,30,0
2020-09-24,2578,143,327,2248,3,0,0,30,0
2020-09-25,2606,142,325,2278,3,0,0,30,0
2020-09-26,2633,140,323,2307,3,0,0,29,0
2020-09-27,2660,138,321,2336,3,0,0,29,0
2020-09-28,2688,137,319,2366,3,0,0,29,0
2020-09-29,2714,135,317,2394,3,0,0,29,0
2020-09-30,2741,133,315,2423,3,0,0,29,0
2020-10-01,2767,131,312,2452,3,0,0,28,0
2020-10-02,2792,129,309,2480,3,0,0,28,0
2020-10-03,2817,127,306,2508,3,0,0,28,0
2020-10-04,2842,125,303,2536,3,0,0,28,0
2020-10-05,2866,123,300,2563,3,0,0,27,0
2020-10-06,2890,121,297,2590,3,0,0,27,0
2020-10-07,2914,119,294,2617,3,0,0,27,0
2020-10-08,2938,117,291,2644,3,0,0,26,0
2020-10-09,2961,115,287,2670,4,0,0,26,0
2020-10-10,2983,113,283,2696,4,0,0,26,0
2020-10-11,3005,111,280,2721,4,0,0,25,0
2020-10-12,3027,109,276,2747,4,0,0,25,0
2020-10-13,3048,107,272,2772,4,0,0,25,0
2020-10-14,3068,105,268,2796,4,0,0,24,0
2020-10-15,3089,103,265,2820,4,0,0,24,0
2020-10-16,3109,100,261,2844,4,0,0,24,0
2020-10-17,3129,98,257,2868,4,0,0,23,0
2020-10-18,3148,96,253,2891,4,0,0,23,0
2020-10-19,3166,94,248,2914,4,0,0,23,0
2020-10-20,3184,92,244,2936,4,0,0,22,0
2020-10-21,3202,90,240,2958,4,0,0,22,0
2020-10-22,3220,88,236,2980,4,0,0,21,0
2020-10-23,3237,86,232,3001,4,0,0,21,0
2020-10-24,3254,84,228,3022,4,0,0,21,0
2020-10-25,3271,82,224,3043,4,0,0,20,0
2020-10-26,3286,80,219,3063,4,0,0,20,0
2020-10-27,3302,79,215,3083,4,0,0,20,0
2020-10-28,3317,77,211,3102,4,0,0,19,0
2020-10-29,3332,75,207,3121,4,0,0,19,0
2020-10-30,3347,73,203,3140,4,0,0,18,0
2020-10-31,3361,71,199,3158,4,0,0,18,0
2020-11-01,3375,70,195,3176,4,0,0,18,0
2020-11-02,3388,68,191,3193,4,0,0,17,0
2020-11-03,3402,66,187,3211,4,0,0,17,0
2020-11-04,3414,64,183,3227,4,0,0,17,0
2020-11-05,3427,63,179,3244,4,0,0,16,0
2020-11-06,3439,61,175,3260,4,0,0,16,0
2020-11-07,3451,60,171,3276,4,0,0,16,0
2020-11-08,3462,58,167,3291,4,0,0,15,0
2020-11-09,3473,57,163,3306,4,0,0,15,0
2020-11-10,3485,55,160,3321,4,0,0,14,0
2020-11-11,3495,54,156,3335,4,0,0,14,0
2020-11-12,3505,52,152,3349,4,0,0,14,0
2020-11-13,3516,51,149,3363,4,0,0,14,0
2020-11-14,3525,49,145,3376,4,0,0,13,0
2020-11-15,3535,48,142,3389,4,0,0,13,0
2020-11-16,3544,47,138,3402,4,0,0,13,0
2020-11-17,3554,46,135,3415,4,0,0,12,0
2020-11-18,3564,44,132,3427,5,0,0,12,0
2020-11-19,3571,43,128,3438,5,0,0,12,0
2020-11-20,3580,42,125,3450,5,0,0,11,0
2020-11-21,3588,41,122,3461,5,0,0,11,0
