Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-19,407,106,113,290,4,0,11,10,0
2020-06-20,428,106,123,301,4,1,10,11,0
2020-06-21,448,107,132,312,4,2,9,12,0
2020-06-22,469,110,141,324,4,3,9,13,0
2020-06-23,491,114,150,337,4,4,9,13,0
2020-06-24,514,118,159,351,4,5,9,14,0
2020-06-25,539,123,168,366,5,5,9,15,0
2020-06-26,563,129,177,381,5,6,9,16,0
2020-06-27,588,135,186,397,5,6,10,17,0
2020-06-28,615,141,196,414,5,7,10,18,0
2020-06-29,644,148,206,432,6,7,10,18,0
2020-06-30,673,156,216,451,6,8,11,19,0
2020-07-01,704,163,227,471,6,8,11,20,0
2020-07-02,737,171,239,492,6,8,12,21,0
2020-07-03,771,180,251,513,7,9,12,23,0
2020-07-04,807,189,264,536,7,9,13,24,0
2020-07-05,844,198,277,560,7,10,14,25,0
2020-07-06,884,208,291,586,7,10,14,26,0
2020-07-07,925,218,305,612,8,11,15,27,0
2020-07-08,969,229,321,640,8,11,16,29,0
2020-07-09,1016,240,337,670,9,12,16,30,0
2020-07-10,1062,252,353,700,9,12,17,32,0
2020-07-11,1113,264,371,733,9,13,18,33,0
2020-07-12,1166,277,389,767,10,13,19,35,0
2020-07-13,1221,291,409,802,10,14,20,37,0
2020-07-14,1280,305,429,840,11,14,21,38,0
2020-07-15,1340,319,450,879,11,15,22,40,1
2020-07-16,1404,335,472,920,12,16,23,42,1
2020-07-17,1470,351,495,963,12,16,24,44,1
2020-07-18,1540,367,519,1008,13,17,25,47,1
2020-07-19,1614,385,544,1056,14,18,26,49,1
2020-07-20,1690,403,571,1105,14,19,27,51,1
2020-07-21,1771,422,598,1158,15,19,28,54,1
2020-07-22,1855,442,627,1212,16,20,30,56,1
2020-07-23,1943,462,657,1270,16,21,31,59,1
2020-07-24,2036,483,689,1330,17,22,32,62,1
2020-07-25,2132,506,721,1393,18,23,34,65,1
2020-07-26,2232,529,755,1458,19,24,35,68,1
2020-07-27,2338,553,791,1527,20,25,36,71,1
2020-07-28,2448,578,828,1600,20,25,38,74,1
2020-07-29,2562,603,866,1675,21,26,40,78,1
2020-07-30,2683,630,907,1754,22,27,41,81,1
2020-07-31,2809,658,948,1837,24,28,43,85,1
2020-08-01,2941,687,992,1924,25,29,44,89,1
2020-08-02,3077,716,1037,2014,26,30,46,93,1
2020-08-03,3220,747,1084,2109,27,31,48,97,1
2020-08-04,3368,778,1132,2208,28,32,50,102,1
2020-08-05,3524,811,1183,2311,30,33,52,106,1
2020-08-06,3685,845,1235,2419,31,34,53,111,1
2020-08-07,3853,879,1289,2532,32,35,55,116,1
2020-08-08,4028,915,1345,2649,34,36,57,121,2
2020-08-09,4210,952,1403,2772,35,37,59,126,2
2020-08-10,4400,989,1463,2900,37,38,61,131,2
2020-08-11,4596,1028,1524,3033,39,39,63,137,2
2020-08-12,4801,1067,1588,3172,41,40,65,143,2
2020-08-13,5012,1107,1653,3317,42,41,67,148,2
2020-08-14,5232,1148,1721,3467,44,41,69,154,2
2020-08-15,5460,1190,1790,3624,46,42,71,161,2
2020-08-16,5697,1232,1862,3787,48,43,72,167,2
2020-08-17,5943,1276,1935,3957,51,44,74,174,2
2020-08-18,6196,1319,2010,4133,53,44,76,180,2
2020-08-19,6457,1364,2086,4316,55,45,78,187,2
2020-08-20,6729,1408,2165,4506,58,45,79,194,2
2020-08-21,7007,1453,2244,4703,60,45,81,201,3
2020-08-22,7296,1499,2326,4907,63,45,82,209,3
2020-08-23,7593,1544,2409,5119,65,45,84,216,3
2020-08-24,7899,1590,2493,5338,68,45,85,224,3
2020-08-25,8214,1635,2579,5564,71,45,86,231,3
2020-08-26,8538,1680,2665,5799,74,45,87,239,3
2020-08-27,8871,1725,2753,6041,77,45,88,247,3
2020-08-28,9212,1769,2841,6291,80,44,89,255,3
2020-08-29,9563,1813,2930,6549,84,43,89,263,3
2020-08-30,9921,1856,3019,6815,87,43,90,271,3
2020-08-31,10289,1898,3109,7089,91,42,90,279,4
2020-09-01,10663,1940,3198,7371,94,40,90,287,4
2020-09-02,11047,1979,3288,7661,98,39,89,295,4
2020-09-03,11438,2018,3377,7959,102,38,89,303,4
2020-09-04,11836,2055,3465,8265,106,36,88,311,4
2020-09-05,12242,2091,3553,8579,110,34,87,319,4
2020-09-06,12654,2124,3639,8901,114,32,86,327,4
2020-09-07,13073,2156,3724,9231,118,30,84,334,4
2020-09-08,13498,2186,3808,9568,122,28,82,342,4
2020-09-09,13929,2213,3890,9912,127,26,80,349,4
