Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-11,1088,65,242,843,3,13,0,22,0
2020-07-12,1102,77,234,865,3,10,0,21,0
2020-07-13,1118,86,229,886,3,8,0,21,0
2020-07-14,1135,93,225,907,3,6,0,20,0
2020-07-15,1154,98,224,927,3,5,0,20,0
2020-07-16,1173,102,223,947,3,4,0,20,0
2020-07-17,1193,106,223,967,3,3,0,20,0
2020-07-18,1215,109,224,988,3,2,1,20,0
2020-07-19,1236,111,225,1008,3,2,1,20,0
2020-07-20,1257,113,226,1028,3,2,2,20,0
2020-07-21,1280,115,228,1049,3,2,2,21,0
2020-07-22,1303,116,230,1070,3,1,2,21,0
2020-07-23,1326,117,232,1091,3,1,2,21,0
2020-07-24,1349,119,234,1112,3,1,2,21,0
2020-07-25,1372,120,236,1133,3,1,2,21,0
2020-07-26,1396,121,238,1154,4,1,2,22,0
2020-07-27,1420,122,240,1176,4,1,2,22,0
2020-07-28,1444,123,242,1198,4,1,2,22,0
2020-07-29,1468,125,244,1220,4,1,2,22,0
2020-07-30,1493,126,247,1242,4,1,2,22,0
2020-07-31,1517,127,249,1264,4,1,2,23,0
2020-08-01,1542,128,251,1287,4,1,2,23,0
2020-08-02,1567,129,253,1310,4,1,2,23,0
2020-08-03,1592,130,255,1333,4,1,2,23,0
2020-08-04,1618,131,258,1356,4,1,2,23,0
2020-08-05,1643,132,260,1379,4,1,2,24,0
2020-08-06,1669,132,262,1403,4,1,2,24,0
2020-08-07,1695,133,264,1427,4,1,2,24,0
2020-08-08,1721,134,266,1451,4,1,2,24,0
2020-08-09,1748,135,268,1475,5,1,2,24,0
2020-08-10,1774,136,270,1499,5,1,2,25,0
2020-08-11,1802,137,273,1524,5,1,2,25,0
2020-08-12,1829,138,275,1549,5,1,2,25,0
2020-08-13,1856,139,277,1574,5,1,2,25,0
2020-08-14,1883,140,279,1599,5,1,2,25,0
2020-08-15,1910,140,281,1624,5,1,2,25,0
2020-08-16,1938,141,283,1650,5,1,2,26,0
2020-08-17,1965,142,285,1675,5,1,2,26,0
2020-08-18,1993,143,287,1701,5,1,2,26,0
2020-08-19,2021,144,289,1727,5,1,2,26,0
2020-08-20,2050,144,291,1754,5,1,2,26,0
2020-08-21,2077,145,292,1780,5,1,2,27,0
2020-08-22,2107,146,294,1807,6,1,2,27,0
2020-08-23,2135,147,296,1833,6,1,2,27,0
2020-08-24,2164,147,298,1860,6,1,2,27,0
2020-08-25,2193,148,300,1887,6,1,2,27,0
2020-08-26,2222,149,302,1914,6,1,2,27,0
2020-08-27,2251,149,303,1942,6,1,2,27,0
2020-08-28,2280,150,305,1969,6,1,2,28,0
2020-08-29,2310,150,307,1997,6,1,2,28,0
2020-08-30,2339,151,308,2025,6,1,2,28,0
