Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-19,2617,1145,2617,0,0,116,0,0,0
2020-07-20,2612,1249,2612,0,0,86,7,0,0
2020-07-21,2625,1326,2625,0,0,64,21,0,0
2020-07-22,2650,1384,2650,0,0,48,30,0,0
2020-07-23,2683,1426,2683,0,0,35,36,0,0
2020-07-24,2720,1457,2720,0,0,25,38,0,0
2020-07-25,2759,1479,2759,0,0,17,39,0,0
2020-07-26,2798,1492,2798,0,0,10,38,0,0
2020-07-27,2835,1500,2835,0,0,4,36,0,0
2020-07-28,2871,1502,2871,0,0,0,34,0,0
2020-07-29,2903,1499,2903,0,0,0,30,0,0
2020-07-30,2932,1492,2932,0,0,0,26,0,0
2020-07-31,2956,1481,2956,0,0,0,22,0,0
2020-08-01,2976,1467,2976,0,0,0,17,0,0
2020-08-02,2991,1449,2991,0,0,0,12,0,0
2020-08-03,3002,1429,3002,0,0,0,7,0,0
2020-08-04,3007,1406,3007,0,0,0,2,0,0
2020-08-05,3007,1380,3007,0,0,0,0,0,0
2020-08-06,3003,1352,3003,0,0,0,0,0,0
2020-08-07,2993,1322,2993,0,0,0,0,0,0
2020-08-08,2978,1291,2978,0,0,0,0,0,0
2020-08-09,2959,1258,2959,0,0,0,0,0,0
2020-08-10,2935,1224,2935,0,0,0,0,0,0
2020-08-11,2907,1189,2907,0,0,0,0,0,0
2020-08-12,2874,1153,2874,0,0,0,0,0,0
2020-08-13,2837,1116,2837,0,0,0,0,0,0
2020-08-14,2797,1079,2797,0,0,0,0,0,0
2020-08-15,2753,1042,2753,0,0,0,0,0,0
2020-08-16,2706,1005,2706,0,0,0,0,0,0
2020-08-17,2656,968,2656,0,0,0,0,0,0
2020-08-18,2603,931,2603,0,0,0,0,0,0
2020-08-19,2549,895,2549,0,0,0,0,0,0
2020-08-20,2492,859,2492,0,0,0,0,0,0
2020-08-21,2433,824,2433,0,0,0,0,0,0
2020-08-22,2373,789,2373,0,0,0,0,0,0
2020-08-23,2311,756,2311,0,0,0,0,0,0
2020-08-24,2249,723,2249,0,0,0,0,0,0
2020-08-25,2186,691,2186,0,0,0,0,0,0
2020-08-26,2123,659,2123,0,0,0,0,0,0
2020-08-27,2059,629,2059,0,0,0,0,0,0
2020-08-28,1995,600,1995,0,0,0,0,0,0
2020-08-29,1932,572,1932,0,0,0,0,0,0
2020-08-30,1868,545,1868,0,0,0,0,0,0
