Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-20,395,310,395,0,0,0,25,0,0
2020-07-21,417,288,417,0,0,0,18,0,0
2020-07-22,434,272,434,0,0,0,14,0,0
2020-07-23,446,260,446,0,0,0,10,0,0
2020-07-24,456,250,456,0,0,0,8,0,0
2020-07-25,463,244,463,0,0,0,6,0,0
2020-07-26,468,238,468,0,0,0,4,0,0
2020-07-27,471,234,471,0,0,0,3,0,0
2020-07-28,474,231,474,0,0,0,2,0,0
2020-07-29,476,228,476,0,0,0,2,0,0
2020-07-30,477,226,477,0,0,0,1,0,0
2020-07-31,478,225,478,0,0,0,1,0,0
2020-08-01,479,223,479,0,0,0,0,0,0
2020-08-02,479,222,479,0,0,0,0,0,0
2020-08-03,478,220,478,0,0,0,0,0,0
2020-08-04,478,219,478,0,0,0,0,0,0
2020-08-05,477,218,477,0,0,0,0,0,0
2020-08-06,477,217,477,0,0,0,0,0,0
2020-08-07,476,215,476,0,0,0,0,0,0
2020-08-08,475,214,475,0,0,0,0,0,0
2020-08-09,473,213,473,0,0,0,0,0,0
2020-08-10,472,212,472,0,0,0,0,0,0
2020-08-11,471,210,471,0,0,0,0,0,0
2020-08-12,469,209,469,0,0,0,0,0,0
2020-08-13,467,208,467,0,0,0,0,0,0
2020-08-14,466,206,466,0,0,0,0,0,0
2020-08-15,464,205,464,0,0,0,0,0,0
2020-08-16,462,203,462,0,0,0,0,0,0
2020-08-17,459,202,459,0,0,0,0,0,0
2020-08-18,457,200,457,0,0,0,0,0,0
2020-08-19,455,199,455,0,0,0,0,0,0
2020-08-20,452,197,452,0,0,0,0,0,0
2020-08-21,450,196,450,0,0,0,0,0,0
2020-08-22,447,194,447,0,0,0,0,0,0
2020-08-23,445,192,445,0,0,0,0,0,0
2020-08-24,442,191,442,0,0,0,0,0,0
2020-08-25,439,189,439,0,0,0,0,0,0
2020-08-26,436,187,436,0,0,0,0,0,0
2020-08-27,433,185,433,0,0,0,0,0,0
2020-08-28,430,184,430,0,0,0,0,0,0
2020-08-29,427,182,427,0,0,0,0,0,0
2020-08-30,424,180,424,0,0,0,0,0,0
2020-08-31,421,178,421,0,0,0,0,0,0
2020-09-01,417,176,417,0,0,0,0,0,0
