Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-11,150,12,34,115,1,2,0,3,0
2020-07-12,153,14,33,119,1,1,0,3,0
2020-07-13,156,15,33,122,1,1,0,3,0
2020-07-14,159,16,33,125,1,1,0,3,0
2020-07-15,162,16,33,128,1,1,0,3,0
2020-07-16,165,17,33,131,1,1,0,3,0
2020-07-17,169,17,34,134,1,0,0,3,0
2020-07-18,172,18,34,137,1,0,0,3,0
2020-07-19,175,18,34,140,1,0,0,3,0
2020-07-20,179,18,35,143,1,0,0,3,0
2020-07-21,182,19,35,146,1,0,0,3,0
2020-07-22,186,19,36,149,1,0,0,3,0
2020-07-23,190,19,36,153,1,0,1,3,0
2020-07-24,194,20,37,156,1,0,1,3,0
2020-07-25,197,20,37,159,1,0,1,3,0
2020-07-26,202,20,38,163,1,0,1,3,0
2020-07-27,205,21,38,166,1,0,1,3,0
2020-07-28,210,21,39,170,1,0,1,4,0
2020-07-29,214,21,40,173,1,0,1,4,0
2020-07-30,218,22,40,177,1,0,1,4,0
2020-07-31,222,22,41,180,1,0,1,4,0
2020-08-01,226,22,41,184,1,0,1,4,0
2020-08-02,231,22,42,188,1,0,1,4,0
2020-08-03,235,23,42,192,1,0,1,4,0
2020-08-04,239,23,43,195,1,0,1,4,0
2020-08-05,244,23,44,199,1,0,1,4,0
2020-08-06,248,24,44,203,1,0,1,4,0
2020-08-07,253,24,45,207,1,0,1,4,0
2020-08-08,259,24,46,212,1,0,1,4,0
2020-08-09,263,25,46,216,1,0,1,4,0
2020-08-10,268,25,47,220,1,0,1,4,0
2020-08-11,272,25,47,224,1,0,1,4,0
2020-08-12,277,25,48,228,1,0,1,4,0
2020-08-13,283,26,49,233,1,0,1,4,0
2020-08-14,287,26,49,237,1,0,1,4,0
2020-08-15,293,26,50,242,1,0,1,5,0
2020-08-16,298,27,51,246,1,0,1,5,0
2020-08-17,303,27,51,251,1,0,1,5,0
2020-08-18,308,27,52,255,1,0,1,5,0
2020-08-19,313,28,52,260,1,0,1,5,0
