Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-17,33759,4087,6627,27041,91,41,199,600,2
2020-07-18,34563,4133,6822,27648,93,55,190,618,2
2020-07-19,35378,4193,7010,28273,95,66,185,635,2
2020-07-20,36205,4262,7194,28914,97,74,182,652,2
2020-07-21,37046,4339,7375,29572,99,81,180,668,2
2020-07-22,37904,4422,7555,30247,102,86,180,685,2
2020-07-23,38777,4510,7736,30937,104,90,181,701,2
2020-07-24,39667,4601,7917,31644,106,94,182,717,2
2020-07-25,40578,4696,8101,32368,109,96,184,734,2
2020-07-26,41505,4793,8286,33108,111,99,187,751,3
2020-07-27,42452,4893,8473,33865,114,101,189,768,3
2020-07-28,43418,4995,8663,34639,116,103,192,785,3
2020-07-29,44406,5099,8856,35431,119,105,195,802,3
2020-07-30,45414,5204,9052,36240,122,107,197,820,3
2020-07-31,46443,5311,9251,37067,125,108,200,838,3
2020-08-01,47491,5420,9452,37912,127,110,203,856,3
2020-08-02,48562,5530,9657,38775,130,111,206,875,3
2020-08-03,49654,5642,9864,39657,133,113,209,894,3
2020-08-04,50769,5755,10075,40558,136,114,212,913,3
2020-08-05,51905,5869,10288,41478,139,115,216,932,3
2020-08-06,53065,5985,10505,42417,143,117,219,952,3
2020-08-07,54248,6102,10725,43377,146,118,221,972,3
2020-08-08,55452,6220,10947,44356,149,119,224,992,3
2020-08-09,56680,6339,11173,45355,152,120,227,1012,3
2020-08-10,57933,6460,11401,46376,156,121,230,1033,3
2020-08-11,59207,6582,11632,47416,159,122,233,1054,4
2020-08-12,60507,6704,11866,48478,163,123,236,1075,4
2020-08-13,61831,6828,12103,49561,167,124,238,1097,4
2020-08-14,63179,6952,12343,50666,170,125,241,1118,4
2020-08-15,64552,7078,12585,51793,174,126,244,1140,4
2020-08-16,65948,7204,12829,52941,178,127,246,1162,4
2020-08-17,67371,7331,13077,54112,182,127,249,1185,4
2020-08-18,68817,7458,13326,55305,186,128,251,1207,4
2020-08-19,70289,7586,13578,56521,190,129,253,1230,4
2020-08-20,71786,7715,13832,57760,194,129,255,1253,4
2020-08-21,73308,7844,14088,59022,198,129,257,1276,4
2020-08-22,74856,7974,14346,60307,203,130,259,1300,4
2020-08-23,76429,8103,14606,61616,207,130,261,1323,4
2020-08-24,78028,8233,14868,62948,212,130,263,1347,5
2020-08-25,79651,8364,15131,64304,216,130,264,1371,5
2020-08-26,81301,8494,15396,65684,221,130,266,1395,5
2020-08-27,82976,8624,15662,67088,226,130,267,1419,5
2020-08-28,84676,8754,15930,68516,230,130,268,1443,5
2020-08-29,86401,8883,16198,69968,235,129,269,1468,5
2020-08-30,88153,9013,16468,71445,240,129,270,1492,5
2020-08-31,89930,9141,16738,72947,245,128,271,1517,5
2020-09-01,91731,9270,17009,74472,250,128,271,1541,5
2020-09-02,93560,9397,17281,76023,256,127,272,1566,5
2020-09-03,95411,9524,17552,77598,261,126,272,1590,5
2020-09-04,97287,9650,17824,79197,266,125,272,1615,5
2020-09-05,99189,9775,18096,80821,272,124,272,1640,6
2020-09-06,101114,9898,18367,82470,277,123,271,1664,6
2020-09-07,103065,10021,18638,84144,283,122,271,1689,6
2020-09-08,105038,10142,18908,85841,289,120,270,1713,6
2020-09-09,107036,10262,19178,87564,294,119,269,1738,6
2020-09-10,109057,10380,19446,89311,300,117,267,1762,6
2020-09-11,111100,10496,19713,91081,306,115,266,1786,6
2020-09-12,113167,10610,19978,92877,312,113,264,1810,6
2020-09-13,115256,10723,20242,94696,318,111,262,1834,6
2020-09-14,117367,10833,20503,96539,325,109,260,1858,6
2020-09-15,119499,10941,20763,98405,331,107,258,1881,6
2020-09-16,121651,11047,21019,100295,337,104,255,1904,6
2020-09-17,123826,11150,21274,102208,344,102,252,1927,6
2020-09-18,126019,11251,21525,104144,350,99,249,1950,7
2020-09-19,128233,11349,21773,106103,357,96,246,1973,7
2020-09-20,130464,11444,22017,108084,363,93,242,1995,7
2020-09-21,132715,11536,22258,110087,370,90,239,2017,7
2020-09-22,134984,11626,22495,112112,377,87,234,2038,7
2020-09-23,137270,11712,22728,114158,384,84,230,2059,7
2020-09-24,139573,11795,22957,116225,391,81,226,2080,7
2020-09-25,141892,11874,23181,118313,398,77,221,2100,7
2020-09-26,144225,11950,23400,120420,405,74,216,2120,7
2020-09-27,146574,12023,23614,122548,412,70,211,2140,7
2020-09-28,148935,12092,23822,124694,419,67,205,2158,7
2020-09-29,151311,12157,24025,126860,426,63,200,2177,7
2020-09-30,153700,12218,24223,129043,434,59,194,2195,7
2020-10-01,156100,12276,24414,131245,441,55,188,2212,7
2020-10-02,158511,12329,24599,133463,449,51,181,2229,7
2020-10-03,160932,12379,24778,135698,456,47,175,2245,8
2020-10-04,163363,12424,24950,137949,464,43,168,2261,8
2020-10-05,165802,12465,25116,140215,471,39,161,2276,8
2020-10-06,168249,12502,25274,142496,479,34,154,2290,8
2020-10-07,170703,12535,25425,144791,487,30,147,2304,8
2020-10-08,173164,12564,25569,147100,495,26,139,2317,8
2020-10-09,175628,12588,25705,149421,502,22,131,2329,8
2020-10-10,178097,12608,25833,151754,510,17,124,2341,8
2020-10-11,180571,12623,25954,154099,518,13,116,2352,8
2020-10-12,183048,12634,26067,156455,526,8,108,2362,8
2020-10-13,185525,12641,26171,158820,534,4,99,2371,8
2020-10-14,188005,12643,26268,161195,542,0,91,2380,8
2020-10-15,190484,12641,26356,163578,550,0,83,2388,8
2020-10-16,192961,12635,26435,165968,558,0,74,2395,8
2020-10-17,195438,12624,26506,168366,566,0,66,2402,8
2020-10-18,197913,12609,26569,170770,574,0,57,2407,8
2020-10-19,200383,12589,26622,173179,582,0,48,2412,8
2020-10-20,202849,12565,26667,175592,590,0,40,2416,8
2020-10-21,205312,12537,26704,178010,598,0,31,2419,8
2020-10-22,207768,12505,26731,180430,607,0,22,2422,8
2020-10-23,210217,12468,26749,182853,615,0,13,2424,8
2020-10-24,212659,12428,26759,185277,623,0,4,2425,8
2020-10-25,215093,12383,26760,187702,631,0,0,2425,8
2020-10-26,217517,12335,26752,190126,639,0,0,2424,8
2020-10-27,219931,12282,26735,192549,647,0,0,2422,8
2020-10-28,222336,12226,26710,194971,655,0,0,2420,8
2020-10-29,224730,12166,26676,197390,664,0,0,2417,8
2020-10-30,227110,12102,26633,199805,672,0,0,2413,8
2020-10-31,229478,12034,26581,202217,680,0,0,2408,8
2020-11-01,231832,11964,26521,204623,688,0,0,2403,8
2020-11-02,234173,11889,26453,207024,696,0,0,2397,8
2020-11-03,236498,11812,26376,209418,704,0,0,2390,8
2020-11-04,238808,11731,26291,211805,712,0,0,2382,8
2020-11-05,241102,11647,26198,214184,720,0,0,2374,8
2020-11-06,243380,11560,26098,216554,728,0,0,2365,8
2020-11-07,245640,11470,25989,218915,736,0,0,2355,8
2020-11-08,247882,11378,25872,221266,744,0,0,2344,8
2020-11-09,250107,11283,25749,223606,752,0,0,2333,8
2020-11-10,252312,11185,25617,225935,760,0,0,2321,8
2020-11-11,254497,11085,25479,228251,767,0,0,2309,8
2020-11-12,256664,10983,25334,230555,775,0,0,2295,8
2020-11-13,258810,10878,25182,232845,783,0,0,2282,8
2020-11-14,260934,10771,25023,235121,790,0,0,2267,8
2020-11-15,263039,10663,24858,237383,798,0,0,2252,8
2020-11-16,265121,10552,24686,239629,806,0,0,2237,8
2020-11-17,267182,10440,24509,241860,813,0,0,2221,7
2020-11-18,269221,10326,24326,244074,821,0,0,2204,7
2020-11-19,271237,10211,24137,246272,828,0,0,2187,7
2020-11-20,273230,10094,23943,248452,835,0,0,2169,7
2020-11-21,275201,9976,23744,250615,842,0,0,2151,7
2020-11-22,277148,9857,23539,252759,850,0,0,2133,7
2020-11-23,279073,9737,23331,254885,857,0,0,2114,7
2020-11-24,280973,9616,23117,256992,864,0,0,2095,7
2020-11-25,282849,9494,22899,259079,871,0,0,2075,7
2020-11-26,284702,9371,22678,261146,878,0,0,2055,7
2020-11-27,286530,9248,22452,263193,885,0,0,2034,7
2020-11-28,288335,9124,22223,265220,892,0,0,2014,7
2020-11-29,290114,9000,21991,267225,898,0,0,1992,7
2020-11-30,291870,8875,21755,269210,905,0,0,1971,7
2020-12-01,293601,8750,21516,271173,912,0,0,1949,7
2020-12-02,295307,8625,21275,273114,918,0,0,1928,6
2020-12-03,296990,8500,21031,275034,925,0,0,1906,6
2020-12-04,298647,8375,20785,276931,931,0,0,1883,6
2020-12-05,300280,8251,20537,278806,937,0,0,1861,6
2020-12-06,301888,8126,20287,280658,943,0,0,1838,6
2020-12-07,303473,8001,20036,282487,950,0,0,1815,6
2020-12-08,305033,7877,19783,284294,956,0,0,1792,6
2020-12-09,306568,7754,19528,286078,962,0,0,1769,6
2020-12-10,308080,7630,19273,287839,968,0,0,1746,6
2020-12-11,309566,7508,19017,289576,973,0,0,1723,6
2020-12-12,311030,7386,18760,291291,979,0,0,1700,6
