Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-11,2266,66,496,1757,13,46,0,45,0
2020-07-12,2282,107,468,1800,14,34,0,42,0
2020-07-13,2306,138,450,1842,14,26,0,41,0
2020-07-14,2334,162,438,1882,14,20,0,40,0
2020-07-15,2368,180,432,1921,15,16,0,39,0
2020-07-16,2404,194,429,1960,15,12,0,39,0
2020-07-17,2443,205,429,1999,15,10,1,39,0
2020-07-18,2484,215,431,2037,16,8,3,39,0
2020-07-19,2526,223,434,2076,16,7,4,39,0
2020-07-20,2571,230,439,2116,16,6,5,40,0
2020-07-21,2616,236,444,2155,17,6,6,40,0
2020-07-22,2663,241,450,2196,17,5,6,41,0
2020-07-23,2711,246,457,2237,17,5,7,41,0
2020-07-24,2759,251,464,2278,17,5,7,42,0
2020-07-25,2809,256,471,2320,18,5,7,42,0
2020-07-26,2859,261,478,2363,18,5,8,43,0
2020-07-27,2910,265,486,2406,18,4,8,44,0
2020-07-28,2963,269,494,2450,19,4,8,45,0
2020-07-29,3016,274,502,2495,19,4,8,45,0
2020-07-30,3071,278,510,2541,20,4,8,46,0
2020-07-31,3125,283,518,2587,20,4,8,47,0
2020-08-01,3181,287,527,2634,20,4,8,48,0
2020-08-02,3238,292,535,2682,21,4,9,48,0
2020-08-03,3295,296,544,2730,21,4,9,49,0
2020-08-04,3353,300,552,2780,21,5,9,50,0
2020-08-05,3413,305,561,2830,22,5,9,51,0
2020-08-06,3473,310,570,2881,22,5,9,51,0
2020-08-07,3535,314,579,2933,23,5,9,52,0
2020-08-08,3596,319,588,2985,23,5,9,53,0
2020-08-09,3658,323,597,3038,23,5,9,54,0
2020-08-10,3723,328,606,3093,24,5,9,55,0
2020-08-11,3787,333,615,3148,24,5,9,56,0
2020-08-12,3853,337,625,3203,25,5,9,56,0
2020-08-13,3919,342,634,3260,25,5,9,57,0
2020-08-14,3986,347,643,3318,25,5,10,58,0
2020-08-15,4055,352,653,3376,26,5,10,59,0
2020-08-16,4124,356,663,3435,26,5,10,60,0
2020-08-17,4194,361,672,3495,27,5,10,61,0
2020-08-18,4265,366,682,3556,27,5,10,62,0
2020-08-19,4338,371,692,3618,28,5,10,62,0
2020-08-20,4411,376,702,3681,28,5,10,63,0
2020-08-21,4485,381,712,3744,29,5,10,64,0
2020-08-22,4559,385,721,3809,29,5,10,65,0
2020-08-23,4635,390,731,3874,30,5,10,66,1
2020-08-24,4713,395,742,3941,30,5,10,67,1
2020-08-25,4791,400,752,4008,31,5,10,68,1
2020-08-26,4869,405,762,4076,31,5,10,69,1
2020-08-27,4949,410,772,4145,32,5,10,70,1
