Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-17,1378,369,397,977,4,0,36,36,0
2020-06-18,1450,358,431,1014,5,0,31,39,0
2020-06-19,1520,353,461,1054,5,0,27,42,0
2020-06-20,1588,353,487,1096,5,2,25,44,0
2020-06-21,1657,356,511,1141,5,5,23,46,0
2020-06-22,1727,362,534,1188,5,7,22,48,0
2020-06-23,1799,370,556,1237,6,9,22,50,0
2020-06-24,1873,379,578,1289,6,10,22,52,0
2020-06-25,1948,390,600,1342,6,11,22,54,0
2020-06-26,2025,402,622,1397,6,12,22,56,0
2020-06-27,2106,414,645,1454,7,13,23,58,0
2020-06-28,2187,427,667,1513,7,14,23,60,0
2020-06-29,2272,441,691,1574,7,14,24,62,0
2020-06-30,2358,455,714,1637,7,15,24,65,0
2020-07-01,2450,470,739,1703,8,15,25,67,0
2020-07-02,2543,485,764,1771,8,16,26,69,0
2020-07-03,2639,501,790,1841,8,16,26,72,0
2020-07-04,2739,518,817,1913,9,17,27,74,0
2020-07-05,2842,535,845,1988,9,17,28,76,0
2020-07-06,2947,552,873,2065,9,18,29,79,0
2020-07-07,3057,571,902,2145,10,18,30,82,0
2020-07-08,3170,589,932,2228,10,19,31,84,0
2020-07-09,3287,608,964,2313,10,20,32,87,0
2020-07-10,3409,628,996,2402,11,20,33,90,0
2020-07-11,3533,648,1029,2493,11,21,34,93,0
2020-07-12,3662,669,1063,2587,12,21,35,96,0
2020-07-13,3794,691,1098,2684,12,22,36,99,0
2020-07-14,3932,713,1134,2785,13,22,37,103,0
2020-07-15,4073,735,1171,2889,13,23,38,106,0
2020-07-16,4219,759,1209,2996,14,24,39,109,0
2020-07-17,4369,782,1248,3107,14,24,40,113,1
2020-07-18,4524,807,1288,3221,15,25,41,117,1
2020-07-19,4684,832,1330,3339,15,26,42,120,1
2020-07-20,4850,858,1373,3461,16,26,43,124,1
2020-07-21,5020,884,1417,3587,16,27,45,128,1
2020-07-22,5195,911,1462,3716,17,28,46,132,1
2020-07-23,5375,939,1508,3850,17,28,47,136,1
2020-07-24,5561,968,1555,3988,18,29,48,141,1
2020-07-25,5754,997,1604,4131,19,30,50,145,1
2020-07-26,5951,1027,1654,4278,19,30,51,150,1
2020-07-27,6155,1057,1706,4429,20,31,52,154,1
2020-07-28,6364,1088,1758,4585,21,32,54,159,1
2020-07-29,6579,1120,1812,4746,21,32,55,164,1
2020-07-30,6802,1153,1868,4912,22,33,56,169,1
2020-07-31,7031,1186,1925,5083,23,34,58,174,1
2020-08-01,7266,1220,1983,5259,24,34,59,179,1
2020-08-02,7507,1254,2042,5440,25,35,60,185,1
2020-08-03,7755,1290,2103,5627,25,36,62,190,1
2020-08-04,8011,1325,2165,5820,26,36,63,196,1
2020-08-05,8274,1362,2229,6018,27,37,64,202,1
2020-08-06,8544,1399,2294,6222,28,38,66,208,1
2020-08-07,8821,1437,2360,6432,29,38,67,214,1
2020-08-08,9105,1476,2428,6647,30,39,69,220,1
2020-08-09,9397,1515,2497,6869,31,39,70,226,1
2020-08-10,9697,1554,2567,7098,32,40,71,232,1
2020-08-11,10005,1594,2639,7333,33,41,73,239,1
2020-08-12,10320,1635,2712,7574,34,41,74,245,1
2020-08-13,10644,1676,2787,7822,35,42,75,252,1
2020-08-14,10977,1718,2863,8077,37,42,77,259,1
2020-08-15,11316,1760,2940,8338,38,42,78,266,1
2020-08-16,11664,1803,3018,8607,39,43,79,273,1
2020-08-17,12021,1846,3098,8883,40,43,80,280,1
2020-08-18,12386,1889,3179,9166,41,44,82,288,1
2020-08-19,12760,1933,3261,9456,43,44,83,295,1
2020-08-20,13142,1977,3344,9754,44,44,84,303,1
2020-08-21,13534,2021,3428,10060,46,44,85,310,1
2020-08-22,13933,2066,3513,10373,47,45,86,318,1
2020-08-23,14341,2110,3599,10694,48,45,87,326,1
2020-08-24,14758,2155,3686,11022,50,45,87,334,2
2020-08-25,15184,2200,3774,11359,51,45,88,342,2
2020-08-26,15618,2245,3862,11703,53,45,89,350,2
2020-08-27,16063,2289,3952,12056,55,45,90,358,2
2020-08-28,16514,2334,4041,12417,56,44,90,366,2
2020-08-29,16976,2378,4132,12786,58,44,91,374,2
2020-08-30,17446,2422,4223,13163,60,44,91,382,2
2020-08-31,17923,2466,4314,13548,61,44,91,390,2
2020-09-01,18409,2509,4405,13941,63,43,92,399,2
2020-09-02,18905,2552,4497,14343,65,43,92,407,2
2020-09-03,19408,2594,4588,14753,67,42,92,415,2
2020-09-04,19920,2636,4680,15171,69,41,91,424,2
2020-09-05,20440,2677,4771,15598,71,41,91,432,2
2020-09-06,20968,2718,4862,16033,73,40,91,440,2
2020-09-07,21504,2757,4953,16476,75,39,90,448,2
2020-09-08,22047,2796,5043,16927,77,38,90,456,2
2020-09-09,22599,2834,5133,17387,79,37,89,464,2
2020-09-10,23156,2870,5221,17854,81,36,88,473,2
2020-09-11,23722,2906,5309,18330,83,35,87,480,2
2020-09-12,24294,2940,5396,18813,85,34,86,488,2
2020-09-13,24872,2974,5481,19304,87,32,85,496,2
2020-09-14,25459,3006,5566,19803,90,31,83,504,2
2020-09-15,26050,3036,5648,20310,92,30,82,511,2
2020-09-16,26648,3065,5730,20824,94,28,80,519,2
2020-09-17,27251,3093,5809,21345,97,27,78,526,2
2020-09-18,27859,3119,5887,21873,99,25,76,533,2
2020-09-19,28472,3143,5962,22409,101,23,74,540,2
2020-09-20,29091,3166,6036,22951,104,22,72,546,2
2020-09-21,29713,3187,6107,23500,106,20,70,553,3
2020-09-22,30340,3206,6176,24055,109,18,67,559,3
2020-09-23,30969,3224,6242,24616,111,16,65,565,3
2020-09-24,31603,3239,6306,25183,114,14,62,571,3
2020-09-25,32238,3253,6366,25755,117,13,59,576,3
2020-09-26,32877,3265,6424,26334,119,11,56,581,3
2020-09-27,33518,3274,6479,26917,122,9,53,586,3
2020-09-28,34160,3282,6531,27505,124,7,50,591,3
2020-09-29,34805,3288,6580,28098,127,5,47,595,3
2020-09-30,35450,3292,6625,28695,130,3,43,600,3
2020-10-01,36096,3294,6667,29296,133,1,40,603,3
2020-10-02,36741,3294,6705,29901,135,0,36,607,3
2020-10-03,37387,3292,6740,30509,138,0,33,610,3
2020-10-04,38033,3288,6772,31120,141,0,29,613,3
2020-10-05,38676,3282,6799,31733,144,0,25,615,3
2020-10-06,39319,3274,6823,32350,146,0,22,618,3
2020-10-07,39961,3264,6844,32968,149,0,18,619,3
2020-10-08,40600,3252,6860,33588,152,0,14,621,3
2020-10-09,41237,3238,6873,34209,155,0,10,622,3
2020-10-10,41870,3223,6881,34831,158,0,6,623,3
2020-10-11,42500,3206,6886,35454,160,0,3,623,3
2020-10-12,43128,3187,6887,36078,163,0,0,623,3
2020-10-13,43752,3166,6885,36701,166,0,0,623,3
2020-10-14,44371,3143,6878,37324,169,0,0,622,3
2020-10-15,44986,3119,6868,37946,172,0,0,622,3
2020-10-16,45596,3094,6854,38567,175,0,0,620,3
2020-10-17,46200,3067,6836,39187,177,0,0,619,3
2020-10-18,46800,3038,6815,39805,180,0,0,617,3
2020-10-19,47392,3009,6789,40420,183,0,0,614,3
2020-10-20,47981,2978,6761,41034,186,0,0,612,3
2020-10-21,48562,2945,6729,41645,188,0,0,609,3
2020-10-22,49137,2912,6693,42253,191,0,0,606,3
2020-10-23,49706,2877,6655,42857,194,0,0,602,3
2020-10-24,50268,2842,6613,43458,197,0,0,598,3
2020-10-25,50821,2805,6567,44055,199,0,0,594,3
2020-10-26,51369,2768,6519,44648,202,0,0,590,3
2020-10-27,51909,2730,6468,45236,205,0,0,585,3
2020-10-28,52440,2691,6414,45819,207,0,0,581,3
2020-10-29,52966,2651,6358,46398,210,0,0,575,3
2020-10-30,53483,2611,6299,46971,213,0,0,570,3
2020-10-31,53991,2570,6237,47539,215,0,0,564,3
2020-11-01,54493,2529,6173,48102,218,0,0,559,3
2020-11-02,54985,2487,6107,48658,220,0,0,553,3
2020-11-03,55470,2445,6039,49208,223,0,0,547,2
2020-11-04,55947,2403,5969,49753,225,0,0,540,2
2020-11-05,56415,2361,5897,50290,228,0,0,534,2
2020-11-06,56875,2318,5823,50822,230,0,0,527,2
2020-11-07,57325,2275,5747,51346,232,0,0,520,2
2020-11-08,57768,2233,5670,51863,235,0,0,513,2
2020-11-09,58203,2190,5592,52374,237,0,0,506,2
2020-11-10,58629,2147,5513,52877,239,0,0,499,2
2020-11-11,59048,2104,5432,53374,242,0,0,492,2
2020-11-12,59457,2062,5351,53862,244,0,0,484,2
2020-11-13,59858,2020,5268,54344,246,0,0,477,2
2020-11-14,60251,1978,5185,54818,248,0,0,469,2
2020-11-15,60635,1936,5101,55284,250,0,0,462,2
2020-11-16,61012,1894,5017,55743,252,0,0,454,2
2020-11-17,61380,1853,4932,56194,254,0,0,446,2
2020-11-18,61741,1812,4847,56638,256,0,0,439,2
2020-11-19,62093,1772,4762,57073,258,0,0,431,2
2020-11-20,62437,1732,4676,57501,260,0,0,423,2
2020-11-21,62775,1692,4591,57922,262,0,0,415,2
2020-11-22,63103,1653,4505,58334,264,0,0,408,2
2020-11-23,63425,1615,4420,58739,266,0,0,400,2
2020-11-24,63739,1577,4335,59136,268,0,0,392,2
2020-11-25,64045,1539,4250,59526,269,0,0,385,2
2020-11-26,64344,1502,4166,59907,271,0,0,377,2
2020-11-27,64637,1466,4082,60282,273,0,0,369,2
2020-11-28,64920,1430,3998,60648,274,0,0,362,2
2020-11-29,65198,1395,3915,61007,276,0,0,354,2
2020-11-30,65470,1360,3833,61359,278,0,0,347,2
2020-12-01,65734,1326,3752,61703,279,0,0,340,2
2020-12-02,65992,1292,3671,62040,281,0,0,332,2
2020-12-03,66242,1259,3591,62369,282,0,0,325,1
2020-12-04,66487,1227,3512,62691,284,0,0,318,1
2020-12-05,66724,1195,3433,63006,285,0,0,311,1
2020-12-06,66957,1164,3356,63314,287,0,0,304,1
2020-12-07,67183,1134,3279,63616,288,0,0,297,1
2020-12-08,67403,1104,3204,63910,289,0,0,290,1
2020-12-09,67618,1075,3130,64197,291,0,0,283,1
2020-12-10,67826,1046,3056,64478,292,0,0,277,1
2020-12-11,68029,1018,2984,64752,293,0,0,270,1
2020-12-12,68227,991,2913,65020,294,0,0,264,1
2020-12-13,68419,964,2843,65281,295,0,0,257,1
2020-12-14,68607,938,2774,65536,297,0,0,251,1
2020-12-15,68789,912,2706,65785,298,0,0,245,1
2020-12-16,68965,887,2639,66027,299,0,0,239,1
2020-12-17,69138,863,2574,66264,300,0,0,233,1
2020-12-18,69306,839,2510,66495,301,0,0,227,1
2020-12-19,69468,816,2446,66720,302,0,0,221,1
2020-12-20,69626,793,2384,66939,303,0,0,216,1
2020-12-21,69781,771,2324,67153,304,0,0,210,1
2020-12-22,69930,749,2264,67361,305,0,0,205,1
2020-12-23,70076,728,2206,67564,306,0,0,200,1
2020-12-24,70216,708,2148,67761,307,0,0,194,1
2020-12-25,70354,688,2092,67954,308,0,0,189,1
2020-12-26,70486,668,2037,68141,308,0,0,184,1
2020-12-27,70617,649,1984,68324,309,0,0,180,1
2020-12-28,70743,631,1931,68502,310,0,0,175,1
2020-12-29,70865,613,1879,68675,311,0,0,170,1
2020-12-30,70984,595,1829,68843,312,0,0,166,1
2020-12-31,71099,578,1780,69007,312,0,0,161,1
2021-01-01,71211,561,1732,69166,313,0,0,157,1
2021-01-02,71320,545,1685,69321,314,0,0,152,1
2021-01-03,71425,529,1639,69472,314,0,0,148,1
2021-01-04,71528,514,1594,69619,315,0,0,144,1
2021-01-05,71628,499,1550,69762,316,0,0,140,1
2021-01-06,71724,484,1507,69901,316,0,0,136,1
2021-01-07,71819,470,1466,70036,317,0,0,133,1
2021-01-08,71910,456,1425,70167,318,0,0,129,1
2021-01-09,71998,443,1385,70295,318,0,0,125,1
2021-01-10,72085,430,1347,70419,319,0,0,122,1
2021-01-11,72167,417,1309,70539,319,0,0,118,1
2021-01-12,72248,405,1272,70656,320,0,0,115,1
2021-01-13,72326,393,1236,70770,320,0,0,112,1
2021-01-14,72403,381,1201,70881,321,0,0,109,0
2021-01-15,72476,370,1167,70988,321,0,0,106,0
2021-01-16,72549,359,1134,71093,322,0,0,103,0
2021-01-17,72617,348,1101,71194,322,0,0,100,0
2021-01-18,72686,338,1070,71293,323,0,0,97,0
2021-01-19,72751,328,1039,71389,323,0,0,94,0
2021-01-20,72815,318,1009,71482,324,0,0,91,0
2021-01-21,72876,308,980,71572,324,0,0,89,0
2021-01-22,72936,299,952,71660,324,0,0,86,0
2021-01-23,72994,290,924,71745,325,0,0,84,0
2021-01-24,73050,282,897,71828,325,0,0,81,0
2021-01-25,73104,273,871,71908,325,0,0,79,0
2021-01-26,73158,265,846,71986,326,0,0,77,0
2021-01-27,73209,257,821,72062,326,0,0,74,0
2021-01-28,73258,249,797,72135,326,0,0,72,0
2021-01-29,73307,242,774,72206,327,0,0,70,0
2021-01-30,73354,234,751,72276,327,0,0,68,0
2021-01-31,73399,227,729,72343,327,0,0,66,0
2021-02-01,73443,220,707,72408,328,0,0,64,0
2021-02-02,73486,214,687,72471,328,0,0,62,0
2021-02-03,73527,207,666,72533,328,0,0,60,0
2021-02-04,73568,201,647,72592,329,0,0,59,0
2021-02-05,73606,195,627,72650,329,0,0,57,0
2021-02-06,73644,189,609,72706,329,0,0,55,0
2021-02-07,73681,183,591,72761,329,0,0,53,0
2021-02-08,73717,178,573,72814,330,0,0,52,0
2021-02-09,73751,172,556,72865,330,0,0,50,0
2021-02-10,73784,167,539,72915,330,0,0,49,0
2021-02-11,73816,162,523,72963,330,0,0,47,0
2021-02-12,73848,157,508,73010,330,0,0,46,0
2021-02-13,73878,152,492,73055,331,0,0,45,0
2021-02-14,73908,148,478,73099,331,0,0,43,0
2021-02-15,73936,143,463,73142,331,0,0,42,0
2021-02-16,73964,139,449,73184,331,0,0,41,0
2021-02-17,73991,134,436,73224,331,0,0,39,0
2021-02-18,74018,130,423,73263,332,0,0,38,0
2021-02-19,74043,126,410,73301,332,0,0,37,0
2021-02-20,74067,122,398,73337,332,0,0,36,0
2021-02-21,74091,119,386,73373,332,0,0,35,0
2021-02-22,74113,115,374,73407,332,0,0,34,0
2021-02-23,74136,112,363,73441,332,0,0,33,0
2021-02-24,74158,108,352,73473,333,0,0,32,0
2021-02-25,74179,105,341,73505,333,0,0,31,0
2021-02-26,74199,102,331,73535,333,0,0,30,0
2021-02-27,74219,98,321,73565,333,0,0,29,0
2021-02-28,74238,95,311,73594,333,0,0,28,0
2021-03-01,74256,93,302,73621,333,0,0,27,0
2021-03-02,74273,90,292,73648,333,0,0,26,0
2021-03-03,74290,87,283,73674,333,0,0,26,0
2021-03-04,74309,84,275,73700,334,0,0,25,0
2021-03-05,74324,82,266,73724,334,0,0,24,0
2021-03-06,74340,79,258,73748,334,0,0,23,0
2021-03-07,74355,77,250,73771,334,0,0,23,0
2021-03-08,74371,74,243,73794,334,0,0,22,0
2021-03-09,74384,72,235,73815,334,0,0,21,0
2021-03-10,74399,70,228,73837,334,0,0,21,0
2021-03-11,74412,68,221,73857,334,0,0,20,0
2021-03-12,74425,66,214,73877,334,0,0,19,0
2021-03-13,74438,64,208,73896,334,0,0,19,0
2021-03-14,74452,62,202,73915,335,0,0,18,0
2021-03-15,74463,60,195,73933,335,0,0,18,0
2021-03-16,74474,58,189,73950,335,0,0,17,0
2021-03-17,74486,56,184,73967,335,0,0,17,0
2021-03-18,74496,54,178,73983,335,0,0,16,0
2021-03-19,74507,53,173,73999,335,0,0,16,0
