Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-07,457,0,104,352,1,18,0,9,0
2020-07-08,458,16,96,361,1,14,0,9,0
2020-07-09,463,28,92,370,1,10,0,8,0
2020-07-10,469,38,90,378,1,8,0,8,0
2020-07-11,477,45,90,386,1,7,1,8,0
2020-07-12,486,52,91,394,1,6,2,8,0
2020-07-13,497,57,93,403,1,5,3,8,0
2020-07-14,508,62,96,411,1,4,3,9,0
2020-07-15,520,66,99,420,1,4,4,9,0
2020-07-16,534,70,104,429,1,4,4,9,0
2020-07-17,548,74,108,439,1,4,5,10,0
2020-07-18,563,78,113,449,1,4,5,10,0
2020-07-19,578,82,118,459,1,4,5,11,0
2020-07-20,594,86,123,470,1,4,6,11,0
2020-07-21,611,90,129,481,1,4,6,12,0
2020-07-22,629,95,135,493,1,4,6,12,0
2020-07-23,649,99,142,506,1,5,7,13,0
2020-07-24,668,104,148,519,1,5,7,13,0
2020-07-25,689,109,155,533,1,5,7,14,0
2020-07-26,711,114,163,547,1,5,8,15,0
2020-07-27,733,119,170,562,1,5,8,15,0
2020-07-28,757,124,178,578,1,6,8,16,0
2020-07-29,782,130,187,594,1,6,9,17,0
2020-07-30,807,136,195,611,1,6,9,18,0
2020-07-31,835,142,204,630,1,6,9,19,0
2020-08-01,863,148,214,648,1,6,10,19,0
2020-08-02,893,155,224,668,1,7,10,20,0
2020-08-03,924,162,234,689,1,7,10,21,0
2020-08-04,956,169,244,710,2,7,11,22,0
2020-08-05,990,176,255,733,2,7,11,23,0
2020-08-06,1025,183,267,756,2,8,12,24,0
2020-08-07,1062,191,279,781,2,8,12,25,0
2020-08-08,1100,199,291,807,2,8,13,26,0
2020-08-09,1140,207,304,834,2,8,13,28,0
2020-08-10,1181,216,317,862,2,9,14,29,0
2020-08-11,1224,225,331,891,2,9,14,30,0
2020-08-12,1268,234,345,921,2,9,14,31,0
2020-08-13,1315,243,360,953,2,9,15,33,0
2020-08-14,1363,252,375,986,2,10,15,34,0
2020-08-15,1413,262,390,1021,2,10,16,35,0
2020-08-16,1465,272,406,1057,2,10,16,37,0
2020-08-17,1519,282,423,1094,2,10,17,38,0
2020-08-18,1575,293,440,1133,2,11,17,40,0
2020-08-19,1634,303,458,1174,2,11,18,42,0
2020-08-20,1695,314,476,1216,3,11,18,43,0
2020-08-21,1756,325,494,1259,3,11,19,45,0
2020-08-22,1821,336,513,1305,3,11,19,47,0
2020-08-23,1888,348,533,1352,3,11,20,48,0
2020-08-24,1957,359,553,1401,3,11,20,50,0
2020-08-25,2028,370,573,1452,3,12,21,52,0
2020-08-26,2102,382,594,1505,3,12,21,54,0
2020-08-27,2177,394,615,1559,3,12,21,56,0
2020-08-28,2255,406,636,1616,3,12,22,58,0
2020-08-29,2336,417,658,1674,4,12,22,60,0
2020-08-30,2419,429,680,1735,4,12,22,62,0
2020-08-31,2503,441,702,1797,4,12,23,64,0
