Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-21,12888,1631,2181,10619,88,0,122,197,2
2020-07-22,13200,1533,2291,10819,90,0,92,207,2
2020-07-23,13496,1461,2375,11029,92,0,71,214,2
2020-07-24,13778,1409,2439,11245,94,0,54,220,2
2020-07-25,14051,1370,2489,11467,95,0,42,224,2
2020-07-26,14317,1341,2527,11693,97,0,33,228,2
2020-07-27,14579,1320,2558,11922,99,0,26,231,2
2020-07-28,14836,1305,2582,12153,101,0,21,233,2
2020-07-29,15090,1293,2601,12386,103,0,17,235,2
2020-07-30,15344,1284,2617,12622,105,0,14,236,2
2020-07-31,15595,1277,2630,12858,107,0,11,237,2
2020-08-01,15845,1272,2641,13095,109,0,9,238,2
2020-08-02,16094,1267,2649,13334,111,0,8,239,2
2020-08-03,16342,1263,2656,13573,113,0,6,239,2
2020-08-04,16590,1260,2662,13813,115,0,5,240,2
2020-08-05,16837,1256,2667,14053,117,0,4,240,2
2020-08-06,17082,1253,2670,14293,119,0,3,241,2
2020-08-07,17328,1250,2673,14534,121,0,2,241,2
2020-08-08,17572,1246,2674,14775,123,0,1,241,2
2020-08-09,17816,1243,2675,15016,125,0,0,241,2
2020-08-10,18060,1239,2675,15258,127,0,0,241,2
2020-08-11,18303,1235,2675,15499,129,0,0,241,2
2020-08-12,18545,1231,2674,15740,131,0,0,241,2
2020-08-13,18786,1226,2672,15981,133,0,0,241,2
2020-08-14,19026,1222,2669,16222,135,0,0,241,2
2020-08-15,19265,1217,2666,16462,137,0,0,240,2
2020-08-16,19502,1211,2661,16702,139,0,0,240,2
2020-08-17,19740,1206,2657,16942,141,0,0,240,2
2020-08-18,19976,1200,2651,17182,143,0,0,239,2
2020-08-19,20211,1194,2646,17420,145,0,0,239,2
2020-08-20,20445,1188,2639,17659,147,0,0,238,2
2020-08-21,20677,1182,2632,17896,149,0,0,237,2
2020-08-22,20908,1175,2624,18133,151,0,0,237,2
2020-08-23,21139,1168,2616,18370,153,0,0,236,2
2020-08-24,21367,1161,2607,18605,155,0,0,235,2
2020-08-25,21594,1154,2597,18840,157,0,0,234,2
2020-08-26,21820,1146,2587,19074,159,0,0,233,2
2020-08-27,22044,1138,2576,19307,161,0,0,232,2
2020-08-28,22266,1130,2565,19538,163,0,0,231,2
2020-08-29,22486,1122,2553,19769,164,0,0,230,2
2020-08-30,22706,1114,2541,19999,166,0,0,229,2
2020-08-31,22924,1105,2528,20228,168,0,0,228,2
2020-09-01,23140,1096,2515,20455,170,0,0,227,2
2020-09-02,23355,1088,2501,20682,172,0,0,225,2
2020-09-03,23568,1079,2487,20907,174,0,0,224,2
2020-09-04,23778,1069,2472,21130,176,0,0,223,2
2020-09-05,23988,1060,2457,21353,178,0,0,221,2
2020-09-06,24194,1051,2441,21574,179,0,0,220,2
2020-09-07,24399,1041,2425,21793,181,0,0,219,2
2020-09-08,24603,1031,2409,22011,183,0,0,217,2
2020-09-09,24805,1022,2392,22228,185,0,0,216,2
2020-09-10,25004,1012,2374,22443,187,0,0,214,2
2020-09-11,25201,1002,2357,22656,188,0,0,212,2
2020-09-12,25397,992,2339,22868,190,0,0,211,2
2020-09-13,25590,981,2320,23078,192,0,0,209,2
2020-09-14,25783,971,2302,23287,194,0,0,208,2
2020-09-15,25972,961,2283,23494,195,0,0,206,2
2020-09-16,26160,950,2264,23699,197,0,0,204,2
2020-09-17,26345,940,2244,23902,199,0,0,202,2
2020-09-18,26529,929,2224,24104,201,0,0,201,2
2020-09-19,26710,919,2204,24304,202,0,0,199,2
2020-09-20,26890,908,2184,24502,204,0,0,197,2
2020-09-21,27066,898,2163,24698,205,0,0,195,2
2020-09-22,27243,887,2143,24893,207,0,0,193,2
2020-09-23,27416,876,2122,25085,209,0,0,191,2
2020-09-24,27586,866,2100,25276,210,0,0,189,2
2020-09-25,27755,855,2079,25464,212,0,0,187,2
2020-09-26,27922,844,2058,25651,213,0,0,186,2
2020-09-27,28087,834,2036,25836,215,0,0,184,2
2020-09-28,28249,823,2014,26019,216,0,0,182,2
2020-09-29,28411,812,1993,26200,218,0,0,180,1
2020-09-30,28568,801,1971,26378,219,0,0,178,1
2020-10-01,28725,791,1949,26555,221,0,0,176,1
2020-10-02,28879,780,1927,26730,222,0,0,174,1
2020-10-03,29031,770,1904,26903,224,0,0,172,1
2020-10-04,29181,759,1882,27074,225,0,0,170,1
2020-10-05,29330,749,1860,27243,227,0,0,168,1
2020-10-06,29476,738,1838,27410,228,0,0,166,1
2020-10-07,29619,728,1815,27575,229,0,0,164,1
2020-10-08,29762,717,1793,27738,231,0,0,162,1
2020-10-09,29902,707,1771,27899,232,0,0,160,1
2020-10-10,30039,697,1748,28058,233,0,0,158,1
2020-10-11,30176,687,1726,28215,235,0,0,156,1
2020-10-12,30309,677,1704,28369,236,0,0,154,1
2020-10-13,30441,666,1682,28522,237,0,0,152,1
2020-10-14,30571,656,1659,28673,239,0,0,150,1
2020-10-15,30699,647,1637,28822,240,0,0,148,1
2020-10-16,30825,637,1615,28969,241,0,0,146,1
2020-10-17,30949,627,1593,29114,242,0,0,144,1
2020-10-18,31071,617,1571,29257,243,0,0,142,1
2020-10-19,31193,608,1550,29398,245,0,0,140,1
2020-10-20,31311,598,1528,29537,246,0,0,138,1
2020-10-21,31427,589,1506,29674,247,0,0,136,1
2020-10-22,31542,579,1485,29809,248,0,0,134,1
2020-10-23,31655,570,1464,29942,249,0,0,132,1
2020-10-24,31765,561,1442,30073,250,0,0,130,1
2020-10-25,31874,552,1421,30202,251,0,0,128,1
2020-10-26,31982,543,1400,30330,252,0,0,126,1
2020-10-27,32088,534,1380,30455,253,0,0,124,1
2020-10-28,32192,525,1359,30579,254,0,0,123,1
2020-10-29,32294,517,1338,30701,255,0,0,121,1
2020-10-30,32395,508,1318,30821,256,0,0,119,1
2020-10-31,32494,499,1298,30939,257,0,0,117,1
2020-11-01,32591,491,1278,31055,258,0,0,115,1
2020-11-02,32687,483,1258,31170,259,0,0,113,1
2020-11-03,32781,475,1238,31283,260,0,0,112,1
2020-11-04,32874,466,1219,31394,261,0,0,110,1
2020-11-05,32965,458,1200,31503,262,0,0,108,1
2020-11-06,33054,451,1181,31610,263,0,0,106,1
2020-11-07,33142,443,1162,31716,264,0,0,105,1
2020-11-08,33228,435,1143,31820,265,0,0,103,1
2020-11-09,33313,427,1124,31923,266,0,0,101,1
2020-11-10,33395,420,1106,32023,266,0,0,100,1
2020-11-11,33478,413,1088,32123,267,0,0,98,1
2020-11-12,33558,405,1070,32220,268,0,0,96,1
2020-11-13,33637,398,1052,32316,269,0,0,95,1
2020-11-14,33715,391,1035,32410,270,0,0,93,1
2020-11-15,33790,384,1017,32503,270,0,0,92,1
2020-11-16,33865,377,1000,32594,271,0,0,90,1
2020-11-17,33939,370,983,32684,272,0,0,89,1
2020-11-18,34012,364,967,32772,273,0,0,87,1
2020-11-19,34081,357,950,32858,273,0,0,86,1
2020-11-20,34151,351,934,32943,274,0,0,84,1
2020-11-21,34220,344,918,33027,275,0,0,83,1
2020-11-22,34286,338,902,33109,275,0,0,81,1
2020-11-23,34352,332,886,33190,276,0,0,80,1
2020-11-24,34417,326,871,33269,277,0,0,79,1
2020-11-25,34480,319,856,33347,277,0,0,77,1
2020-11-26,34542,314,840,33424,278,0,0,76,1
2020-11-27,34604,308,826,33499,279,0,0,74,1
2020-11-28,34663,302,811,33573,279,0,0,73,1
2020-11-29,34723,296,797,33646,280,0,0,72,1
2020-11-30,34779,291,782,33717,280,0,0,71,1
2020-12-01,34836,285,768,33787,281,0,0,69,1
2020-12-02,34892,280,754,33856,282,0,0,68,1
2020-12-03,34947,275,741,33924,282,0,0,67,1
2020-12-04,35000,269,727,33990,283,0,0,66,1
2020-12-05,35052,264,714,34055,283,0,0,64,1
2020-12-06,35104,259,701,34119,284,0,0,63,1
2020-12-07,35154,254,688,34182,284,0,0,62,1
2020-12-08,35204,250,676,34243,285,0,0,61,1
2020-12-09,35252,245,663,34304,285,0,0,60,0
2020-12-10,35300,240,651,34363,286,0,0,59,0
2020-12-11,35347,235,639,34422,286,0,0,58,0
2020-12-12,35393,231,627,34479,287,0,0,57,0
2020-12-13,35438,226,616,34535,287,0,0,55,0
2020-12-14,35482,222,604,34590,288,0,0,54,0
2020-12-15,35525,218,593,34644,288,0,0,53,0
2020-12-16,35568,214,582,34697,289,0,0,52,0
2020-12-17,35609,209,571,34749,289,0,0,51,0
2020-12-18,35649,205,560,34800,289,0,0,50,0
2020-12-19,35690,201,549,34851,290,0,0,50,0
2020-12-20,35729,197,539,34900,290,0,0,49,0
