Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-08,490,121,113,376,1,0,13,10,0
2020-07-09,513,108,125,387,1,0,10,11,0
2020-07-10,534,99,134,399,1,0,7,12,0
2020-07-11,552,92,140,411,1,0,5,13,0
2020-07-12,570,87,145,424,1,0,4,13,0
2020-07-13,586,83,148,437,1,0,3,13,0
2020-07-14,603,80,151,451,1,0,2,14,0
2020-07-15,618,77,152,465,1,0,1,14,0
2020-07-16,634,76,154,479,1,0,1,14,0
2020-07-17,648,74,154,493,1,0,1,14,0
2020-07-18,663,73,155,507,1,0,0,14,0
2020-07-19,677,72,155,521,1,0,0,14,0
2020-07-20,691,71,155,535,1,0,0,14,0
2020-07-21,705,71,155,549,1,0,0,14,0
2020-07-22,719,70,155,563,1,0,0,14,0
2020-07-23,732,70,154,577,1,0,0,14,0
2020-07-24,746,70,154,591,1,0,0,14,0
2020-07-25,760,69,154,605,1,0,0,14,0
2020-07-26,773,69,153,619,1,0,0,14,0
2020-07-27,787,69,153,633,1,0,0,14,0
2020-07-28,799,68,152,646,1,0,0,14,0
2020-07-29,813,68,152,660,1,0,0,14,0
2020-07-30,826,68,151,674,1,0,0,14,0
2020-07-31,840,67,151,688,1,0,0,14,0
2020-08-01,852,67,150,701,1,0,0,14,0
2020-08-02,866,67,150,715,1,0,0,14,0
2020-08-03,879,67,149,729,1,0,0,14,0
2020-08-04,892,66,149,742,1,0,0,14,0
2020-08-05,905,66,148,756,1,0,0,13,0
2020-08-06,918,66,148,769,1,0,0,13,0
2020-08-07,931,66,147,783,1,0,0,13,0
2020-08-08,944,65,147,796,1,0,0,13,0
2020-08-09,956,65,146,809,1,0,0,13,0
2020-08-10,969,65,146,822,1,0,0,13,0
2020-08-11,982,65,145,836,1,0,0,13,0
2020-08-12,995,65,145,849,1,0,0,13,0
2020-08-13,1007,64,144,862,1,0,0,13,0
2020-08-14,1020,64,144,875,1,0,0,13,0
2020-08-15,1032,64,143,888,1,0,0,13,0
2020-08-16,1045,64,143,901,1,0,0,13,0
2020-08-17,1057,63,142,914,1,0,0,13,0
2020-08-18,1070,63,142,927,1,0,0,13,0
2020-08-19,1082,63,141,940,1,0,0,13,0
2020-08-20,1095,63,141,953,1,0,0,13,0
2020-08-21,1106,62,140,965,1,0,0,13,0
2020-08-22,1119,62,140,978,1,0,0,13,0
2020-08-23,1131,62,139,991,1,0,0,13,0
