Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-28,1122,240,296,823,3,9,20,27,0
2020-06-29,1169,250,316,850,3,11,20,29,0
2020-06-30,1219,261,336,880,3,12,21,30,0
2020-07-01,1271,274,357,911,3,14,21,32,0
2020-07-02,1327,288,379,944,4,15,22,34,0
2020-07-03,1384,303,401,979,4,16,23,36,0
2020-07-04,1445,320,425,1016,4,17,24,38,0
2020-07-05,1508,337,449,1055,4,18,25,41,0
2020-07-06,1576,356,475,1097,4,19,27,43,0
2020-07-07,1647,375,502,1141,4,20,28,45,0
2020-07-08,1721,396,530,1187,4,21,29,48,0
2020-07-09,1801,418,560,1236,5,23,31,51,0
2020-07-10,1885,441,592,1288,5,24,33,54,0
2020-07-11,1973,465,625,1343,5,25,34,57,0
2020-07-12,2066,490,660,1401,5,26,36,60,0
2020-07-13,2164,517,697,1462,5,28,38,63,0
2020-07-14,2268,545,736,1526,6,29,40,67,0
2020-07-15,2377,575,777,1594,6,30,42,70,0
2020-07-16,2491,605,819,1666,6,32,44,74,0
2020-07-17,2614,638,865,1742,7,33,46,78,0
2020-07-18,2741,671,912,1822,7,35,49,83,0
2020-07-19,2874,707,961,1906,7,36,51,87,0
2020-07-20,3016,744,1014,1995,7,38,54,92,0
2020-07-21,3164,783,1068,2088,8,40,56,97,0
2020-07-22,3321,823,1126,2187,8,41,59,102,0
2020-07-23,3486,865,1186,2291,9,43,62,107,0
2020-07-24,3659,909,1249,2401,9,45,65,113,0
2020-07-25,3839,955,1314,2516,9,47,68,119,0
2020-07-26,4030,1002,1383,2637,10,49,71,125,0
2020-07-27,4230,1052,1455,2765,10,51,74,132,0
2020-07-28,4440,1103,1530,2899,11,53,77,139,1
2020-07-29,4661,1156,1609,3041,11,54,80,146,1
2020-07-30,4892,1212,1691,3189,12,56,84,153,1
2020-07-31,5134,1269,1776,3345,13,58,87,161,1
2020-08-01,5386,1328,1864,3509,13,60,91,169,1
2020-08-02,5652,1389,1957,3681,14,62,94,177,1
2020-08-03,5927,1451,2052,3861,14,64,98,186,1
2020-08-04,6217,1516,2152,4050,15,66,102,195,1
2020-08-05,6520,1582,2255,4249,16,67,105,204,1
2020-08-06,6835,1650,2361,4457,17,69,109,214,1
2020-08-07,7162,1720,2471,4674,17,70,112,224,1
2020-08-08,7505,1791,2585,4902,18,72,116,234,1
2020-08-09,7862,1863,2703,5140,19,73,120,245,1
2020-08-10,8233,1936,2824,5389,20,74,123,256,1
2020-08-11,8618,2011,2948,5649,21,75,126,267,1
2020-08-12,9017,2087,3075,5920,22,76,130,279,1
2020-08-13,9432,2163,3206,6203,23,77,133,290,1
2020-08-14,9862,2240,3340,6498,24,77,136,302,1
2020-08-15,10306,2317,3476,6805,25,77,138,315,1
2020-08-16,10768,2394,3616,7125,27,77,141,327,1
2020-08-17,11242,2471,3757,7457,28,77,143,340,1
2020-08-18,11732,2548,3901,7802,29,76,145,353,1
2020-08-19,12237,2623,4046,8160,31,75,147,366,1
2020-08-20,12758,2698,4194,8532,32,74,148,380,1
2020-08-21,13292,2771,4342,8917,33,72,149,393,1
2020-08-22,13841,2843,4491,9315,35,70,149,407,2
2020-08-23,14403,2912,4640,9727,36,68,149,420,2
2020-08-24,14979,2980,4789,10152,38,66,149,434,2
2020-08-25,15569,3044,4938,10591,40,63,148,447,2
2020-08-26,16169,3106,5085,11043,41,60,147,461,2
2020-08-27,16782,3164,5231,11508,43,56,145,474,2
2020-08-28,17407,3219,5375,11987,45,52,142,487,2
2020-08-29,18043,3269,5517,12479,47,48,140,500,2
2020-08-30,18687,3316,5655,12983,49,44,136,512,2
2020-08-31,19340,3357,5789,13500,51,39,132,524,2
2020-09-01,20002,3394,5920,14029,53,34,127,536,2
2020-09-02,20669,3427,6045,14569,55,29,122,548,2
2020-09-03,21343,3454,6165,15121,57,24,117,558,2
2020-09-04,22022,3475,6280,15683,59,18,111,569,2
2020-09-05,22705,3491,6388,16256,61,13,104,579,2
2020-09-06,23390,3502,6489,16838,63,7,97,588,2
2020-09-07,24077,3507,6583,17429,65,2,89,596,2
2020-09-08,24764,3507,6669,18028,67,0,81,604,2
2020-09-09,25453,3500,6748,18635,70,0,73,611,2
2020-09-10,26137,3489,6817,19248,72,0,64,617,2
2020-09-11,26820,3472,6878,19868,74,0,55,623,2
2020-09-12,27500,3449,6930,20493,77,0,46,628,2
2020-09-13,28174,3421,6973,21122,79,0,37,632,2
2020-09-14,28841,3389,7006,21754,81,0,27,635,2
2020-09-15,29504,3351,7030,22390,84,0,18,637,2
2020-09-16,30158,3309,7045,23027,86,0,8,638,2
2020-09-17,30805,3263,7050,23666,89,0,0,638,2
2020-09-18,31440,3212,7045,24304,91,0,0,638,2
2020-09-19,32066,3158,7031,24942,93,0,0,637,2
2020-09-20,32682,3101,7008,25578,96,0,0,635,2
2020-09-21,33284,3040,6975,26211,98,0,0,632,2
2020-09-22,33876,2977,6934,26842,100,0,0,628,2
2020-09-23,34455,2912,6884,27468,103,0,0,624,2
2020-09-24,35021,2844,6826,28090,105,0,0,618,2
2020-09-25,35573,2774,6760,28706,107,0,0,612,2
2020-09-26,36113,2703,6687,29316,110,0,0,606,2
2020-09-27,36638,2631,6607,29919,112,0,0,598,2
2020-09-28,37147,2558,6519,30514,114,0,0,590,2
2020-09-29,37643,2484,6426,31101,116,0,0,582,2
2020-09-30,38126,2410,6327,31680,119,0,0,573,2
2020-10-01,38592,2336,6222,32249,121,0,0,564,2
2020-10-02,39045,2262,6113,32809,123,0,0,554,2
2020-10-03,39483,2189,5999,33359,125,0,0,543,2
2020-10-04,39908,2116,5882,33899,127,0,0,533,2
2020-10-05,40316,2043,5760,34427,129,0,0,522,2
2020-10-06,40712,1972,5636,34945,131,0,0,510,2
2020-10-07,41094,1902,5510,35451,133,0,0,499,2
2020-10-08,41462,1833,5381,35946,135,0,0,487,2
2020-10-09,41816,1765,5251,36429,136,0,0,476,2
2020-10-10,42157,1699,5119,36900,138,0,0,464,2
2020-10-11,42485,1634,4986,37359,140,0,0,452,2
2020-10-12,42801,1571,4853,37806,142,0,0,440,2
2020-10-13,43104,1509,4720,38241,143,0,0,427,2
2020-10-14,43396,1449,4587,38664,145,0,0,415,2
2020-10-15,43675,1391,4454,39075,146,0,0,403,2
2020-10-16,43944,1334,4322,39474,148,0,0,391,1
2020-10-17,44202,1280,4192,39861,149,0,0,380,1
2020-10-18,44449,1227,4062,40236,151,0,0,368,1
2020-10-19,44685,1175,3934,40599,152,0,0,356,1
2020-10-20,44911,1126,3807,40951,153,0,0,345,1
2020-10-21,45130,1078,3683,41292,155,0,0,334,1
