date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-06-12,2254,257,717,1530,7,27,0,65,0
2020-06-13,2313,281,711,1595,7,20,0,64,0
2020-06-14,2377,299,711,1659,7,16,2,64,0
2020-06-15,2446,314,714,1724,8,13,5,65,0
2020-06-16,2517,326,720,1789,8,10,7,65,0
2020-06-17,2589,335,727,1854,8,9,8,66,0
2020-06-18,2664,343,736,1920,8,7,9,67,0
2020-06-19,2742,350,746,1987,9,7,10,67,0
2020-06-20,2820,357,756,2055,9,6,11,68,0
2020-06-21,2899,362,766,2124,9,5,11,69,0
2020-06-22,2980,368,777,2193,10,5,11,70,0
2020-06-23,3062,373,788,2264,10,5,11,71,0
2020-06-24,3146,377,800,2336,10,5,11,72,0
2020-06-25,3230,382,811,2409,10,4,11,73,0
2020-06-26,3315,386,822,2482,11,4,11,74,0
2020-06-27,3401,390,833,2557,11,4,11,75,0
2020-06-28,3488,394,844,2633,11,4,11,76,0
2020-06-29,3577,398,855,2710,12,4,11,77,0
2020-06-30,3665,402,866,2787,12,4,11,78,0
2020-07-01,3754,405,876,2866,12,3,10,79,0
2020-07-02,3846,409,887,2946,13,3,10,80,0
2020-07-03,3936,412,897,3026,13,3,10,81,0
2020-07-04,4029,415,907,3108,14,3,10,82,0
2020-07-05,4120,418,916,3190,14,3,10,83,0
2020-07-06,4214,421,926,3274,14,3,9,84,0
2020-07-07,4308,423,935,3358,15,2,9,85,0
2020-07-08,4402,426,944,3443,15,2,9,85,0
2020-07-09,4496,428,953,3528,15,2,9,86,0
2020-07-10,4592,430,961,3615,16,2,8,87,0
2020-07-11,4687,432,969,3702,16,2,8,88,0
2020-07-12,4784,434,977,3790,17,2,8,88,0
2020-07-13,4881,435,985,3879,17,1,7,89,0
2020-07-14,4977,437,992,3968,17,1,7,90,0
2020-07-15,5074,438,998,4058,18,1,7,90,0
2020-07-16,5172,439,1005,4149,18,1,6,91,0
2020-07-17,5269,440,1011,4240,18,1,6,92,0
2020-07-18,5368,440,1017,4332,19,0,5,92,0
2020-07-19,5465,441,1022,4424,19,0,5,92,0
2020-07-20,5564,441,1027,4517,20,0,5,93,0
2020-07-21,5661,441,1031,4610,20,0,4,93,0
2020-07-22,5758,441,1035,4703,20,0,4,94,0
2020-07-23,5857,441,1039,4797,21,0,3,94,0
2020-07-24,5954,440,1042,4891,21,0,3,94,0
2020-07-25,6053,439,1045,4986,22,0,3,95,0
2020-07-26,6150,438,1048,5080,22,0,2,95,0
2020-07-27,6248,437,1050,5175,23,0,2,95,0
2020-07-28,6344,436,1051,5270,23,0,1,95,0
2020-07-29,6440,434,1052,5365,23,0,1,95,0
2020-07-30,6538,433,1053,5461,24,0,0,95,0
2020-07-31,6633,431,1053,5556,24,0,0,95,0
2020-08-01,6729,429,1053,5651,25,0,0,95,0
2020-08-02,6825,427,1053,5747,25,0,0,95,0
2020-08-03,6919,425,1052,5842,25,0,0,95,0
2020-08-04,7013,422,1050,5937,26,0,0,95,0
2020-08-05,7106,419,1048,6032,26,0,0,95,0
2020-08-06,7200,417,1046,6127,27,0,0,95,0
2020-08-07,7292,414,1043,6222,27,0,0,94,0
2020-08-08,7384,411,1040,6316,28,0,0,94,0
2020-08-09,7475,407,1037,6410,28,0,0,94,0
2020-08-10,7565,404,1033,6504,28,0,0,94,0
2020-08-11,7655,401,1029,6597,29,0,0,93,0
2020-08-12,7743,397,1024,6690,29,0,0,93,0
2020-08-13,7832,393,1019,6783,30,0,0,92,0
2020-08-14,7919,389,1014,6875,30,0,0,92,0
2020-08-15,8004,386,1008,6966,30,0,0,91,0
2020-08-16,8090,382,1002,7057,31,0,0,91,0
2020-08-17,8174,377,995,7148,31,0,0,90,0
2020-08-18,8258,373,989,7237,32,0,0,89,0
2020-08-19,8341,369,982,7327,32,0,0,89,0
2020-08-20,8421,365,974,7415,32,0,0,88,0
2020-08-21,8503,360,967,7503,33,0,0,87,0
2020-08-22,8583,356,959,7591,33,0,0,87,0
2020-08-23,8660,351,950,7677,33,0,0,86,0
2020-08-24,8739,346,942,7763,34,0,0,85,0
2020-08-25,8815,342,933,7848,34,0,0,84,0
2020-08-26,8891,337,924,7932,35,0,0,84,0
2020-08-27,8965,332,915,8015,35,0,0,83,0
2020-08-28,9039,328,906,8098,35,0,0,82,0
2020-08-29,9111,323,896,8179,36,0,0,81,0
2020-08-30,9182,318,886,8260,36,0,0,80,0
2020-08-31,9252,313,876,8340,36,0,0,79,0
2020-09-01,9322,308,866,8419,37,0,0,78,0
2020-09-02,9390,303,856,8497,37,0,0,77,0
2020-09-03,9456,299,845,8574,37,0,0,77,0
2020-09-04,9523,294,835,8650,38,0,0,76,0
2020-09-05,9588,289,824,8726,38,0,0,75,0
2020-09-06,9652,284,814,8800,38,0,0,74,0
2020-09-07,9715,279,803,8873,39,0,0,73,0
2020-09-08,9776,274,792,8945,39,0,0,72,0
2020-09-09,9837,270,781,9017,39,0,0,71,0
2020-09-10,9897,265,770,9087,40,0,0,70,0
2020-09-11,9954,260,758,9156,40,0,0,69,0
2020-09-12,10011,255,747,9224,40,0,0,68,0
2020-09-13,10068,251,736,9292,40,0,0,67,0
2020-09-14,10124,246,725,9358,41,0,0,66,0
2020-09-15,10178,241,714,9423,41,0,0,65,0
2020-09-16,10230,237,702,9487,41,0,0,64,0
2020-09-17,10284,232,691,9551,42,0,0,63,0
2020-09-18,10335,228,680,9613,42,0,0,62,0
2020-09-19,10385,223,669,9674,42,0,0,61,0
2020-09-20,10434,219,658,9734,42,0,0,60,0
2020-09-21,10482,214,646,9793,43,0,0,59,0
2020-09-22,10529,210,635,9851,43,0,0,58,0
2020-09-23,10576,206,624,9909,43,0,0,57,0
2020-09-24,10621,202,613,9965,43,0,0,56,0
2020-09-25,10666,198,602,10020,44,0,0,55,0
2020-09-26,10710,193,592,10074,44,0,0,54,0
2020-09-27,10752,189,581,10127,44,0,0,53,0
2020-09-28,10793,185,570,10179,44,0,0,52,0
2020-09-29,10836,181,560,10231,45,0,0,51,0
2020-09-30,10875,178,549,10281,45,0,0,50,0
2020-10-01,10914,174,539,10330,45,0,0,49,0
2020-10-02,10952,170,528,10379,45,0,0,48,0
2020-10-03,10989,166,518,10426,45,0,0,47,0
2020-10-04,11027,163,508,10473,46,0,0,46,0
2020-10-05,11062,159,498,10518,46,0,0,45,0
2020-10-06,11097,155,488,10563,46,0,0,44,0
2020-10-07,11131,152,478,10607,46,0,0,43,0
2020-10-08,11165,149,469,10650,46,0,0,42,0
2020-10-09,11198,145,459,10692,47,0,0,42,0
2020-10-10,11230,142,450,10733,47,0,0,41,0
2020-10-11,11261,139,440,10774,47,0,0,40,0
2020-10-12,11291,136,431,10813,47,0,0,39,0
2020-10-13,11321,132,422,10852,47,0,0,38,0
2020-10-14,11350,129,413,10890,47,0,0,37,0
2020-10-15,11380,126,405,10927,48,0,0,37,0
2020-10-16,11407,123,396,10963,48,0,0,36,0
2020-10-17,11434,121,387,10999,48,0,0,35,0
2020-10-18,11460,118,379,11033,48,0,0,34,0
2020-10-19,11486,115,371,11067,48,0,0,34,0
2020-10-20,11512,112,363,11101,48,0,0,33,0
2020-10-21,11537,110,355,11133,49,0,0,32,0
2020-10-22,11561,107,347,11165,49,0,0,31,0
2020-10-23,11584,104,339,11196,49,0,0,31,0
2020-10-24,11608,102,332,11227,49,0,0,30,0
2020-10-25,11630,99,324,11257,49,0,0,29,0
2020-10-26,11652,97,317,11286,49,0,0,29,0
2020-10-27,11673,95,310,11314,49,0,0,28,0
2020-10-28,11694,92,303,11342,49,0,0,27,0
2020-10-29,11715,90,296,11369,50,0,0,27,0
2020-10-30,11734,88,289,11395,50,0,0,26,0
2020-10-31,11753,86,282,11421,50,0,0,26,0
2020-11-01,11773,84,276,11447,50,0,0,25,0
2020-11-02,11790,82,269,11471,50,0,0,24,0
2020-11-03,11809,80,263,11496,50,0,0,24,0
2020-11-04,11826,78,257,11519,50,0,0,23,0
2020-11-05,11843,76,251,11542,50,0,0,23,0
2020-11-06,11860,74,245,11565,50,0,0,22,0
