Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-26,216,24,59,156,1,3,0,5,0
2020-06-27,221,27,59,161,1,2,0,5,0
2020-06-28,226,29,59,166,1,2,0,5,0
2020-06-29,233,30,59,172,2,2,1,5,0
2020-06-30,239,32,60,177,2,1,1,5,0
2020-07-01,245,33,61,182,2,1,1,5,0
2020-07-02,252,34,62,188,2,1,1,6,0
2020-07-03,258,35,63,193,2,1,1,6,0
2020-07-04,265,36,64,199,2,1,1,6,0
2020-07-05,272,37,65,205,2,1,1,6,0
2020-07-06,280,38,67,211,2,1,1,6,0
2020-07-07,287,39,68,217,2,1,1,6,0
2020-07-08,294,40,69,223,2,1,1,6,0
2020-07-09,302,40,71,229,2,1,1,6,0
2020-07-10,310,41,72,236,2,1,2,7,0
2020-07-11,318,42,74,242,2,1,2,7,0
2020-07-12,326,43,75,249,2,1,2,7,0
2020-07-13,335,44,77,256,2,1,2,7,0
2020-07-14,344,45,79,263,2,1,2,7,0
2020-07-15,352,45,80,270,2,1,2,7,0
2020-07-16,361,46,82,277,2,1,2,7,0
2020-07-17,371,47,84,285,2,1,2,8,0
2020-07-18,380,48,85,292,3,1,2,8,0
2020-07-19,390,49,87,300,3,1,2,8,0
2020-07-20,400,50,89,308,3,1,2,8,0
2020-07-21,409,51,90,316,3,1,2,8,0
2020-07-22,419,52,92,324,3,1,2,8,0
2020-07-23,429,52,94,332,3,1,2,8,0
2020-07-24,440,53,96,341,3,1,2,9,0
2020-07-25,450,54,97,350,3,1,2,9,0
2020-07-26,460,55,99,358,3,1,2,9,0
2020-07-27,471,56,101,367,3,1,2,9,0
2020-07-28,483,57,103,377,3,1,2,9,0
2020-07-29,493,58,104,386,3,1,2,9,0
2020-07-30,504,58,106,395,3,1,2,10,0
2020-07-31,517,59,108,405,4,1,2,10,0
2020-08-01,529,60,110,415,4,1,2,10,0
2020-08-02,541,61,112,425,4,1,2,10,0
2020-08-03,552,62,113,435,4,1,2,10,0
2020-08-04,564,63,115,445,4,1,2,10,0
2020-08-05,577,63,117,456,4,1,2,11,0
2020-08-06,589,64,119,466,4,1,2,11,0
2020-08-07,602,65,121,477,4,1,2,11,0
2020-08-08,614,66,122,488,4,1,2,11,0
2020-08-09,627,67,124,499,4,1,2,11,0
2020-08-10,640,67,126,510,4,1,2,11,0
2020-08-11,655,68,128,522,5,1,2,12,0
2020-08-12,667,69,129,533,5,1,2,12,0
2020-08-13,681,70,131,545,5,1,2,12,0
2020-08-14,695,70,133,557,5,1,2,12,0
2020-08-15,709,71,135,569,5,1,2,12,0
2020-08-16,722,72,136,581,5,1,2,12,0
2020-08-17,736,72,138,593,5,1,2,12,0
2020-08-18,750,73,139,606,5,1,2,13,0
2020-08-19,764,73,141,618,5,1,2,13,0
2020-08-20,780,74,143,631,6,1,2,13,0
2020-08-21,794,75,144,644,6,1,2,13,0
2020-08-22,809,75,146,657,6,1,1,13,0
2020-08-23,823,76,147,670,6,0,1,13,0
2020-08-24,839,76,149,684,6,0,1,13,0
2020-08-25,853,77,150,697,6,0,1,14,0
2020-08-26,868,77,151,711,6,0,1,14,0
2020-08-27,883,77,153,724,6,0,1,14,0
2020-08-28,898,78,154,738,6,0,1,14,0
2020-08-29,914,78,155,752,7,0,1,14,0
2020-08-30,929,78,156,766,7,0,1,14,0
2020-08-31,944,79,157,780,7,0,1,14,0
2020-09-01,960,79,159,794,7,0,1,14,0
2020-09-02,976,79,160,809,7,0,1,14,0
2020-09-03,991,79,161,823,7,0,1,14,0
2020-09-04,1006,79,161,838,7,0,1,15,0
2020-09-05,1021,80,162,852,7,0,1,15,0
2020-09-06,1038,80,163,867,8,0,1,15,0
2020-09-07,1054,80,164,882,8,0,1,15,0
2020-09-08,1069,80,165,896,8,0,1,15,0
2020-09-09,1084,80,165,911,8,0,1,15,0
2020-09-10,1100,80,166,926,8,0,1,15,0
2020-09-11,1116,80,167,941,8,0,1,15,0
2020-09-12,1131,80,167,956,8,0,0,15,0
2020-09-13,1147,80,167,971,9,0,0,15,0
2020-09-14,1163,79,168,986,9,0,0,15,0
2020-09-15,1179,79,168,1002,9,0,0,15,0
2020-09-16,1194,79,168,1017,9,0,0,15,0
2020-09-17,1210,79,169,1032,9,0,0,15,0
2020-09-18,1225,79,169,1047,9,0,0,15,0
2020-09-19,1240,78,169,1062,9,0,0,15,0
2020-09-20,1255,78,169,1077,9,0,0,15,0
2020-09-21,1272,78,169,1093,10,0,0,15,0
2020-09-22,1287,77,169,1108,10,0,0,15,0
2020-09-23,1301,77,168,1123,10,0,0,15,0
