Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-25,1018,262,268,742,8,0,27,24,0
2020-06-26,1067,235,292,767,8,0,20,26,0
2020-06-27,1111,215,309,794,8,0,14,28,0
2020-06-28,1153,199,322,823,8,0,10,29,0
2020-06-29,1191,187,330,852,9,0,7,30,0
2020-06-30,1227,178,336,882,9,0,4,30,0
2020-07-01,1261,171,340,912,9,0,3,31,0
2020-07-02,1295,165,342,943,10,0,1,31,0
2020-07-03,1327,161,343,974,10,0,0,31,0
2020-07-04,1357,157,343,1004,10,0,0,31,0
2020-07-05,1388,154,342,1035,11,0,0,31,0
2020-07-06,1418,152,341,1066,11,0,0,31,0
2020-07-07,1448,149,340,1097,11,0,0,31,0
2020-07-08,1477,147,338,1127,12,0,0,30,0
2020-07-09,1506,146,336,1158,12,0,0,30,0
2020-07-10,1534,144,334,1188,12,0,0,30,0
2020-07-11,1563,143,332,1218,13,0,0,30,0
2020-07-12,1591,141,330,1248,13,0,0,30,0
2020-07-13,1617,140,327,1277,13,0,0,29,0
2020-07-14,1645,138,325,1307,13,0,0,29,0
2020-07-15,1673,137,323,1336,14,0,0,29,0
2020-07-16,1699,136,320,1365,14,0,0,29,0
2020-07-17,1725,135,318,1393,14,0,0,29,0
2020-07-18,1752,134,315,1422,15,0,0,28,0
2020-07-19,1778,132,313,1450,15,0,0,28,0
2020-07-20,1803,131,310,1478,15,0,0,28,0
2020-07-21,1830,130,308,1506,16,0,0,28,0
2020-07-22,1855,129,305,1534,16,0,0,27,0
2020-07-23,1880,128,303,1561,16,0,0,27,0
2020-07-24,1904,127,300,1588,16,0,0,27,0
2020-07-25,1930,126,298,1615,17,0,0,27,0
2020-07-26,1954,124,295,1642,17,0,0,27,0
2020-07-27,1979,123,293,1669,17,0,0,26,0
2020-07-28,2003,122,291,1695,17,0,0,26,0
2020-07-29,2027,121,288,1721,18,0,0,26,0
2020-07-30,2051,120,286,1747,18,0,0,26,0
2020-07-31,2073,119,283,1772,18,0,0,25,0
2020-08-01,2098,118,281,1798,19,0,0,25,0
2020-08-02,2120,117,278,1823,19,0,0,25,0
2020-08-03,2143,116,276,1848,19,0,0,25,0
2020-08-04,2165,115,273,1873,19,0,0,25,0
2020-08-05,2188,113,271,1897,20,0,0,24,0
2020-08-06,2210,112,269,1921,20,0,0,24,0
2020-08-07,2232,111,266,1946,20,0,0,24,0
2020-08-08,2253,110,264,1969,20,0,0,24,0
2020-08-09,2276,109,262,1993,21,0,0,24,0
2020-08-10,2297,108,259,2017,21,0,0,23,0
2020-08-11,2318,107,257,2040,21,0,0,23,0
2020-08-12,2339,106,255,2063,21,0,0,23,0
2020-08-13,2359,105,252,2086,21,0,0,23,0
2020-08-14,2380,104,250,2108,22,0,0,22,0
2020-08-15,2401,103,248,2131,22,0,0,22,0
2020-08-16,2420,102,245,2153,22,0,0,22,0
2020-08-17,2440,101,243,2175,22,0,0,22,0
2020-08-18,2461,100,241,2197,23,0,0,22,0
2020-08-19,2479,99,238,2218,23,0,0,21,0
2020-08-20,2499,98,236,2240,23,0,0,21,0
2020-08-21,2518,97,234,2261,23,0,0,21,0
2020-08-22,2537,96,232,2282,23,0,0,21,0
2020-08-23,2557,95,230,2303,24,0,0,21,0
2020-08-24,2574,94,227,2323,24,0,0,20,0
2020-08-25,2593,93,225,2344,24,0,0,20,0
2020-08-26,2611,92,223,2364,24,0,0,20,0
2020-08-27,2630,91,221,2384,25,0,0,20,0
2020-08-28,2648,91,219,2404,25,0,0,20,0
2020-08-29,2665,90,217,2423,25,0,0,19,0
2020-08-30,2682,89,214,2443,25,0,0,19,0
2020-08-31,2699,88,212,2462,25,0,0,19,0
2020-09-01,2717,87,210,2481,26,0,0,19,0
2020-09-02,2734,86,208,2500,26,0,0,19,0
2020-09-03,2750,85,206,2518,26,0,0,19,0
2020-09-04,2767,84,204,2537,26,0,0,18,0
2020-09-05,2783,83,202,2555,26,0,0,18,0
2020-09-06,2800,82,200,2573,27,0,0,18,0
2020-09-07,2816,82,198,2591,27,0,0,18,0
2020-09-08,2832,81,196,2609,27,0,0,18,0
2020-09-09,2847,80,194,2626,27,0,0,17,0
2020-09-10,2863,79,192,2644,27,0,0,17,0
2020-09-11,2878,78,190,2661,27,0,0,17,0
2020-09-12,2894,77,188,2678,28,0,0,17,0
2020-09-13,2909,77,186,2695,28,0,0,17,0
2020-09-14,2924,76,184,2712,28,0,0,17,0
2020-09-15,2938,75,182,2728,28,0,0,16,0
2020-09-16,2954,74,181,2745,28,0,0,16,0
2020-09-17,2968,73,179,2761,28,0,0,16,0
2020-09-18,2983,73,177,2777,29,0,0,16,0
2020-09-19,2997,72,175,2793,29,0,0,16,0
2020-09-20,3010,71,173,2808,29,0,0,16,0
2020-09-21,3024,70,171,2824,29,0,0,15,0
2020-09-22,3038,69,170,2839,29,0,0,15,0
2020-09-23,3051,69,168,2854,29,0,0,15,0
2020-09-24,3065,68,166,2869,30,0,0,15,0
2020-09-25,3078,67,164,2884,30,0,0,15,0
2020-09-26,3091,66,162,2899,30,0,0,15,0
2020-09-27,3105,66,161,2914,30,0,0,14,0
2020-09-28,3117,65,159,2928,30,0,0,14,0
2020-09-29,3129,64,157,2942,30,0,0,14,0
2020-09-30,3142,64,156,2956,30,0,0,14,0
2020-10-01,3155,63,154,2970,31,0,0,14,0
2020-10-02,3167,62,152,2984,31,0,0,14,0
2020-10-03,3180,62,151,2998,31,0,0,14,0
2020-10-04,3191,61,149,3011,31,0,0,13,0
2020-10-05,3203,60,147,3025,31,0,0,13,0
2020-10-06,3215,59,146,3038,31,0,0,13,0
2020-10-07,3226,59,144,3051,31,0,0,13,0
2020-10-08,3239,58,143,3064,32,0,0,13,0
2020-10-09,3250,57,141,3077,32,0,0,13,0
2020-10-10,3261,57,140,3089,32,0,0,13,0
2020-10-11,3272,56,138,3102,32,0,0,12,0
2020-10-12,3282,56,136,3114,32,0,0,12,0
2020-10-13,3293,55,135,3126,32,0,0,12,0
2020-10-14,3303,54,133,3138,32,0,0,12,0
2020-10-15,3314,54,132,3150,32,0,0,12,0
2020-10-16,3326,53,131,3162,33,0,0,12,0
2020-10-17,3336,52,129,3174,33,0,0,12,0
2020-10-18,3346,52,128,3185,33,0,0,11,0
2020-10-19,3356,51,126,3197,33,0,0,11,0
2020-10-20,3366,51,125,3208,33,0,0,11,0
2020-10-21,3375,50,123,3219,33,0,0,11,0
2020-10-22,3385,50,122,3230,33,0,0,11,0
2020-10-23,3395,49,121,3241,33,0,0,11,0
2020-10-24,3404,48,119,3252,33,0,0,11,0
2020-10-25,3415,48,118,3263,34,0,0,11,0
2020-10-26,3424,47,117,3273,34,0,0,10,0
2020-10-27,3433,47,115,3284,34,0,0,10,0
2020-10-28,3442,46,114,3294,34,0,0,10,0
2020-10-29,3451,46,113,3304,34,0,0,10,0
2020-10-30,3460,45,111,3315,34,0,0,10,0
2020-10-31,3469,45,110,3325,34,0,0,10,0
2020-11-01,3477,44,109,3334,34,0,0,10,0
2020-11-02,3486,44,108,3344,34,0,0,10,0
2020-11-03,3495,43,106,3354,35,0,0,10,0
2020-11-04,3503,43,105,3363,35,0,0,9,0
2020-11-05,3512,42,104,3373,35,0,0,9,0
2020-11-06,3520,42,103,3382,35,0,0,9,0
2020-11-07,3528,41,102,3391,35,0,0,9,0
2020-11-08,3535,41,100,3400,35,0,0,9,0
2020-11-09,3543,40,99,3409,35,0,0,9,0
2020-11-10,3551,40,98,3418,35,0,0,9,0
2020-11-11,3559,39,97,3427,35,0,0,9,0
2020-11-12,3567,39,96,3436,35,0,0,9,0
2020-11-13,3574,38,95,3444,35,0,0,9,0
2020-11-14,3583,38,94,3453,36,0,0,8,0
2020-11-15,3590,37,93,3461,36,0,0,8,0
2020-11-16,3598,37,92,3470,36,0,0,8,0
2020-11-17,3604,37,90,3478,36,0,0,8,0
2020-11-18,3611,36,89,3486,36,0,0,8,0
2020-11-19,3618,36,88,3494,36,0,0,8,0
2020-11-20,3625,35,87,3502,36,0,0,8,0
2020-11-21,3632,35,86,3510,36,0,0,8,0
2020-11-22,3638,34,85,3517,36,0,0,8,0
2020-11-23,3645,34,84,3525,36,0,0,8,0
2020-11-24,3651,34,83,3532,36,0,0,7,0
2020-11-25,3658,33,82,3540,36,0,0,7,0
2020-11-26,3665,33,81,3547,37,0,0,7,0
2020-11-27,3672,32,80,3555,37,0,0,7,0
2020-11-28,3678,32,79,3562,37,0,0,7,0
2020-11-29,3684,32,78,3569,37,0,0,7,0
2020-11-30,3691,31,78,3576,37,0,0,7,0
2020-12-01,3697,31,77,3583,37,0,0,7,0
2020-12-02,3703,30,76,3590,37,0,0,7,0
2020-12-03,3709,30,75,3597,37,0,0,7,0
2020-12-04,3714,30,74,3603,37,0,0,7,0
2020-12-05,3720,29,73,3610,37,0,0,7,0
2020-12-06,3725,29,72,3616,37,0,0,6,0
2020-12-07,3731,29,71,3623,37,0,0,6,0
2020-12-08,3736,28,70,3629,37,0,0,6,0
2020-12-09,3743,28,70,3636,37,0,0,6,0
