Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-19,4025,1230,1170,2841,14,0,135,106,1
2020-06-20,4260,1150,1294,2951,15,0,108,117,1
2020-06-21,4481,1099,1394,3072,15,0,89,126,1
2020-06-22,4694,1067,1477,3201,16,0,75,134,1
2020-06-23,4902,1051,1548,3337,17,0,65,140,1
2020-06-24,5107,1045,1611,3479,17,0,58,146,1
2020-06-25,5312,1047,1667,3627,18,6,54,151,1
2020-06-26,5518,1055,1720,3779,19,11,51,156,1
2020-06-27,5726,1067,1769,3937,20,15,48,160,1
2020-06-28,5936,1083,1817,4098,21,17,47,164,1
2020-06-29,6149,1101,1864,4264,21,19,46,169,1
2020-06-30,6366,1121,1910,4434,22,21,46,173,1
2020-07-01,6589,1143,1957,4609,23,22,46,177,1
2020-07-02,6814,1166,2003,4787,24,24,46,181,1
2020-07-03,7045,1190,2050,4970,25,24,47,185,1
2020-07-04,7280,1214,2097,5157,26,25,47,190,1
2020-07-05,7519,1240,2144,5348,27,26,48,194,1
2020-07-06,7765,1266,2193,5544,28,26,49,198,1
2020-07-07,8015,1293,2242,5744,29,27,50,203,1
2020-07-08,8270,1320,2292,5948,30,28,50,207,1
2020-07-09,8532,1348,2343,6158,31,28,51,212,1
2020-07-10,8797,1376,2394,6371,32,29,52,217,1
2020-07-11,9070,1405,2447,6590,33,29,53,221,1
2020-07-12,9347,1434,2500,6813,34,30,54,226,1
2020-07-13,9630,1464,2554,7041,35,30,55,231,1
2020-07-14,9919,1494,2609,7274,36,30,56,236,1
2020-07-15,10214,1525,2665,7511,38,31,57,241,1
2020-07-16,10515,1556,2722,7754,39,31,58,246,1
2020-07-17,10823,1587,2780,8003,40,32,58,251,1
2020-07-18,11136,1619,2839,8256,41,32,59,257,1
2020-07-19,11457,1652,2899,8515,43,33,60,262,1
2020-07-20,11783,1684,2960,8779,44,33,61,268,1
2020-07-21,12115,1718,3021,9049,45,34,62,273,1
2020-07-22,12455,1751,3084,9324,47,34,63,279,1
2020-07-23,12801,1786,3147,9606,48,34,64,285,1
2020-07-24,13153,1820,3211,9892,50,35,65,290,1
2020-07-25,13513,1855,3277,10185,51,35,66,296,1
